User,Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,Sentiment1,Positive,Negative,Neutral
ShahraDinesh,#Malnutrition and hunger are raising their heads due to #Covid19 outbreak. Scientific intervention and innovation is key to achieving food and nutritional security for all. #Agriculture #FoodSecurity #Nutrition,2020-05-16 11:24:00+00:00,0,1,#Malnutrition #Covid19 #Agriculture #FoodSecurity #Nutrition,Mumbai,Malnutrition and hunger are raising their heads due to Covid19 outbreak Scientific intervention and innovation is key to achieving food and nutritional security for all Agriculture FoodSecurity Nutrition,-1,20,5,14
vshnv_c,"Serious action is needed against the chief of @PypAyurved #babaramdev who is actively spreading misinformation among the masses regarding the #COVID19 cure, and giving scientifically unproven advices for treating it. @AUThackeray @CMOMaharashtra",2020-05-16 10:07:37+00:00,0,1,#babaramdev #COVID19,Mumbai,Serious action is needed against the chief of babaramdev who is actively spreading misinformation among the masses regarding the COVID19 cure and giving scientifically unproven advices for treating it,-1,20,6,14
SabaLadha7,"First sanitize, then do whatever guys. #trusaniz #handsanitizer #instagram #instagood #lockdown #staysafe #indiafightscorona #covid19 #stayhome #quarantinelife #shilpashetty #besaafbesafe@trusaniz @Mumbai, Maharashtra https://www.instagram.com/p/CAPpIpMFgmt/?igshid=wi3ctutchhqn",2020-05-16 09:54:21+00:00,0,0,#trusaniz #handsanitizer #instagram #instagood #lockdown #staysafe #indiafightscorona #covid19 #stayhome #stayhome #quarantinelife #shilpashetty #besaafbesafe,Mumbai,First sanitize then do whatever guys trusaniz handsanitizer instagram instagood lockdown staysafe indiafightscorona covid19 stayhome quarantinelife shilpashetty besaafbesafe Maharashtra,1,21,6,14
MotilalOswalPWM,"An insightful and inspirational #webinar session by Dr. @velumania, Creator - @Thyrocare sharing his journey &amp; traits of his #success ,Thryocare’s journey, and his view on #COVID19. #View: https://youtu.be/BHTHftvpuB4 #WinningWithKnowledge #ProudOfMOPrivateWealth",2020-05-16 09:42:22+00:00,10,35,#webinar #success #COVID19 #View #WinningWithKnowledge #ProudOfMOPrivateWealth,Mumbai,An insightful and inspirational webinar session by Dr Creator sharing his journey amp traits of his success Thryocare s journey and his view on COVID19 View WinningWithKnowledge ProudOfMOPrivateWealth,1,22,6,14
Mundra08,"Data shared by @jyotishelar from @THMumbai : As on 12th May, Mumbai's Critical care infrastructure Dedicated #COVID19 hospitals (DCH) Capacity : 3,663 Occupied : 3,496 (95%) DCH (ICU) Capacity : 421 Occupied : 387 (92%) DCHC : ~85% Occupied DCHC (ICU) : 100% Occupied ",2020-05-16 09:41:32+00:00,2,1,#COVID19,Mumbai,Data shared by from As on 12th May Mumbai s Critical care infrastructure Dedicated COVID19 hospitals DCH Capacity 3 663 Occupied 3 496 95 DCH ICU Capacity 421 Occupied 387 92 DCHC 85 Occupied DCHC ICU 100 Occupied,0,22,6,15
nishjamvwal,Where are we going in terms of the future with #covid19 will things come back to normal? Is there a normal anymore? Has life permanently changed? #NishaJamVwal #ZoomConference Tweet @nishjamvwal #KeepTheLockdown #coronaupdatesindia,2020-05-16 09:35:20+00:00,0,7,#covid19 #NishaJamVwal #ZoomConference #KeepTheLockdown #coronaupdatesindia,Mumbai,Where are we going in terms of the future with covid19 will things come back to normal Is there a normal anymore Has life permanently changed NishaJamVwal ZoomConference Tweet KeepTheLockdown coronaupdatesindia,1,23,6,15
mayankbhagwat,#Mumbai 1140 policemen from #Mumbai and #Maharashtra have tested #Covid19 positive 10 men have lost their live battling the virus 268 men have recovered 862 (88 officers 774 men) are still under treatment @DGPMaharashtra @AnilDeshmukhNCP @IPS_Association @oiseaulibre3,2020-05-16 09:06:41+00:00,0,1,#Mumbai #Mumbai #Maharashtra #Covid19,Mumbai,Mumbai 1140 policemen from Mumbai and Maharashtra have tested Covid19 positive 10 men have lost their live battling the virus 268 men have recovered 862 88 officers 774 men are still under treatment Association,1,24,6,15
vijayrpandey,A small work was done by me for needy people during #Lockdown and it has been recognitsed through Appreciation letter. Thanks everyone. #CoronaWarriorsAward #Covid19 ,2020-05-16 07:39:09+00:00,29,46,#Lockdown #CoronaWarriorsAward #Covid19,Mumbai,A small work was done by me for needy people during Lockdown and it has been recognitsed through Appreciation letter Thanks everyone CoronaWarriorsAward Covid19,-1,24,7,15
jatinjkothari,"3 more #COVID19 cases reported among Central Industrial Security Force (CISF) personnel in the last 24 hours, the total number of cases among the force, across the country is now at 118: #CISF #coronavirus #CoronaUpdatesInIndia #CoronavirusLockdown",2020-05-16 07:14:37+00:00,0,0,#COVID19 #CISF #coronavirus #CoronaUpdatesInIndia #CoronavirusLockdown,Mumbai,3 more COVID19 cases reported among Central Industrial Security Force CISF personnel in the last 24 hours the total number of cases among the force across the country is now at 118 CISF coronavirus CoronaUpdatesInIndia CoronavirusLockdown,1,25,7,15
sachinmedhekar,Anniversary celebrations In times of #COVID19 at #covidmumbai #Covid_19india,2020-05-16 06:12:54+00:00,1,2,#COVID19 #covidmumbai #Covid_19india,Mumbai,Anniversary celebrations In times of COVID19 at covidmumbai Covid 19india,0,25,7,16
hwctindia,Water in Holy river of #Ganga sparking clean due to #Lockdown and no visitors! Fishes clearly enjoying the clean water and no #pollution! Truely loving it ! Please #like and #follow our page! http://www.human-welfare.org #nature #hwct #birds #corona #covid19 #peace,2020-05-16 06:12:36+00:00,1,4,#Ganga #Lockdown #pollution #like #follow #nature #hwct #birds #corona #covid19 #peace,Mumbai,Water in Holy river of Ganga sparking clean due to Lockdown and no visitors Fishes clearly enjoying the clean water and no pollution Truely loving it Please like and follow our page nature hwct birds corona covid19 peace,1,26,7,16
KapilSewani,Pseudo intellectuals are killing the economy #COVID19,2020-05-16 05:44:15+00:00,0,0,#COVID19,Mumbai,Pseudo intellectuals are killing the economy COVID19,0,26,7,17
Mundra08,"https://m.economictimes.com/news/company/corporate-trends/india-incs-traditional-csr-may-end-up-in-containment/articleshow/75541815.cms ""Near &amp; medium-term focus of India’s CSR donors will be #COVID19 &amp; funding for traditional CSR activity will be severely impacted.( by 30-60%). Article by @Kiran_ET on 5th May. Sir, other areas of #publichealth will also get affected. Cc :@hegde_aparna",2020-05-16 05:40:18+00:00,1,3,#COVID19 #publichealth,Mumbai,Near amp medium term focus of India s CSR donors will be COVID19 amp funding for traditional CSR activity will be severely impacted by 30 60 Article by ET on 5th May Sir other areas of publichealth will also get affected Cc aparna,-1,26,8,17
VidyutMShah,Why distance our self socially? We need #PhysicalDistancing and not #SocialDistancing in fight against #Covid19. @ndtv @ZeeNews @ABPNews @CatchNews @republic @indiatvnews @aajtak @,2020-05-16 05:29:45+00:00,0,0,#PhysicalDistancing #SocialDistancing #Covid19,Mumbai,Why distance our self socially We need PhysicalDistancing and not SocialDistancing in fight against Covid19,1,27,8,17
IamRitzBitzz05,What and why is this happening??? Why aren’t these people in masks and gloves? If this is to eradicate #COVID19 May the Almighty save them! ,2020-05-16 04:27:43+00:00,0,1,#COVID19,Mumbai,What and why is this happening Why aren t these people in masks and gloves If this is to eradicate COVID19 May the Almighty save them,0,27,8,18
CVmagazine,Never an easy decision to make. @JCBmachines restructures with demands for its machines falling by half in #COVID19 ,2020-05-16 03:31:13+00:00,0,1,#COVID19,Mumbai,Never an easy decision to make restructures with demands for its machines falling by half in COVID19,1,28,8,18
niteeen4,"It's a blessing to moderate session on issues of #MSME with Brahma, Vishnu &amp; Mahesh of the subject @aajtak @BJP4India @ZeeBusiness @PTI_News @PIB_India @ZeeNews @TimesNow @Manisha3005 #MSMEs #webinar #COVID19 – at Mumbai",2020-05-16 03:17:30+00:00,1,4,#MSME #MSMEs #webinar #COVID19,Mumbai,It s a blessing to moderate session on issues of MSME with Brahma Vishnu amp Mahesh of the subject News India MSMEs webinar COVID19 at Mumbai,-1,28,9,18
Gautamjaluka,@MumbaiPolice @CMOMaharashtra @DGPMaharashtra @OfficeofUT @PMOIndia @HMOIndia @WHO #COVID2019india #COVID19 so why we are House arrest last 60 days ?? ,2020-05-16 02:50:37+00:00,0,0,#COVID2019india #COVID19,Mumbai,COVID2019india COVID19 so why we are House arrest last 60 days,-1,28,10,18
IAnuragChand,"Good Morning!! Just going through the news on @abpmajhatv at 7 AM. The news shown about #NaviMumbai has some corrections. The total cases of #covid19 is 1,048 but on @abpmajhatv it’s showing as 10,048 kindly correct. #StayHome #StaySafe Thanks.",2020-05-16 01:43:03+00:00,0,0,#NaviMumbai #covid19 #StayHome #StayHome #StaySafe,Mumbai,Good Morning Just going through the news on at 7 AM The news shown about NaviMumbai has some corrections The total cases of covid19 is 1 048 but on it s showing as 10 048 kindly correct StayHome StaySafe Thanks,1,29,10,18
santoshiitbhu,"#COVID19 Timely warning from the Oracle, T N Ninan in his weekend musings: https://www.business-standard.com/article/opinion/covid-19-big-picture-brace-for-a-disaster-much-bigger-than-you-expected-120051501271_1.html @bsindia Brace for a disaster much bigger than you expected.",2020-05-16 01:19:42+00:00,0,0,#COVID19,Mumbai,COVID19 Timely warning from the Oracle T N Ninan in his weekend musings Brace for a disaster much bigger than you expected,-1,29,11,18
sdutta2911,Most unfortunate Fallout of #covid19 #WuhanVirus #layoffs not sure what the situation is @Uber Indian operations,2020-05-15 20:46:05+00:00,0,1,#covid19 #WuhanVirus #layoffs,Mumbai,Most unfortunate Fallout of covid19 WuhanVirus layoffs not sure what the situation is Indian operations,-1,29,12,18
syedzama172,Shri @RahulGandhi ji will be addressing a Press Conference today (16th May) at 12 PM #Pressconference #RahulGandhi #Congress #IndiaFightsCorona #COVID19,2020-05-15 19:21:47+00:00,0,0,#Pressconference #RahulGandhi #Congress #IndiaFightsCorona #COVID19,Mumbai,Shri ji will be addressing a Press Conference today 16th May at 12 PM Pressconference RahulGandhi Congress IndiaFightsCorona COVID19,0,29,12,19
prasenjit_dbroy,"Rule #1: Never Set It To 2020 Rule #2: Don't Forget Rule #1 #BackToTheFuture #DeLorean #DMC #McFly #Memes #Coronavirus #COVID19 #Pandemic to #Endemic @Mumbai, Maharashtra https://www.instagram.com/p/CAOE41zFFzO/?igshid=1wt1xnrfmxt6l",2020-05-15 19:17:36+00:00,0,1,#BackToTheFuture #DeLorean #DMC #McFly #Memes #Coronavirus #COVID19 #Pandemic #Endemic,Mumbai,Rule 1 Never Set It To 2020 Rule 2 Don t Forget Rule 1 BackToTheFuture DeLorean DMC McFly Memes Coronavirus COVID19 Pandemic to Endemic Maharashtra,0,29,12,20
