Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,sadness,joy,fear,tentative,confident,anger
"#India fares better as compared with other countries having the highest number of confirmed #COVID19 cases. Thankful to @narendramodi govt for a timely, determined &amp; farsighted decision of lockdown at an early stage.#IndiaFightsCorona via NaMo App",2020-05-21 05:55:27+00:00,0,0,#India #COVID19 #IndiaFightsCorona,Delhi,India fares better as compared with other countries having the highest number of confirmed COVID19 cases Thankful to govt for a timely determined amp farsighted decision of lockdown at an early stage IndiaFightsCorona via NaMo App,"[{'score': 0.679641, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.880895, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"A joint initiative of Ministry of #Commerce &amp; #Industry and Ministry of #Agriculture &amp; #Farmers Welfare, Government of #India, #APEDA sets up #Export Promotion Forum (EPF) with the major participation of Industry for #Dairy Products. #IndianFood #AgriExport #COVID19 ",2020-05-21 05:34:49+00:00,29,131,#Commerce #Industry #Agriculture #Farmers #India #APEDA #Export #Dairy #IndianFood #AgriExport #COVID19,Delhi,A joint initiative of Ministry of Commerce amp Industry and Ministry of Agriculture amp Farmers Welfare Government of India APEDA sets up Export Promotion Forum EPF with the major participation of Industry for Dairy Products IndianFood AgriExport COVID19,[],,,,,,,
Read my exclusive story @TopStoryy #Delhi: Family torn between #coronadeath &amp; #SOP. A dear price to pay for #Coviddeath at #AIIMS. Paid Rs 6K for coffin &amp; Rs 8K for hearse van. 6 Mem of family tests #Covid19+ #Delhgovt @DelhiPolice @ArvindKejriwal @drharshvardhan @MoHFW_INDIA,2020-05-21 05:26:51+00:00,6,14,#Delhi #coronadeath #SOP #Coviddeath #AIIMS #Covid19 #Delhgovt,Delhi,Read my exclusive story Delhi Family torn between coronadeath amp SOP A dear price to pay for Coviddeath at AIIMS Paid Rs 6K for coffin amp Rs 8K for hearse van 6 Mem of family tests Covid19 Delhgovt INDIA,[],,,,,,,
"Today is 50th day of our relief services during #COVID19, we extend our heartfelt gratitude to all the volunteers, collaborators &amp; donors. Thank you everyone for bringing hope and relief to those hit hard by the current crisis. #IndiaFightsCorona #MigrantLabourers #sharetocare",2020-05-21 05:19:14+00:00,2,13,#COVID19 #IndiaFightsCorona #MigrantLabourers #sharetocare,Delhi,Today is 50th day of our relief services during COVID19 we extend our heartfelt gratitude to all the volunteers collaborators amp donors Thank you everyone for bringing hope and relief to those hit hard by the current crisis IndiaFightsCorona MigrantLabourers sharetocare,"[{'score': 0.897018, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
#IndiaFightsCorona Stigma around #COVID19 can discourage people to take necessary steps to fight the virus. Break the stigma. Share this information and help us to help you. #TiraskarNahiTilakKaro #HealthForAll #SwasthaBharat #CoronaOutbreak ,2020-05-21 05:07:34+00:00,0,1,#IndiaFightsCorona #COVID19 #TiraskarNahiTilakKaro #HealthForAll #SwasthaBharat #CoronaOutbreak,Delhi,IndiaFightsCorona Stigma around COVID19 can discourage people to take necessary steps to fight the virus Break the stigma Share this information and help us to help you TiraskarNahiTilakKaro HealthForAll SwasthaBharat CoronaOutbreak,"[{'score': 0.544176, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
Really excited to share my experience at @StartupWeekend so My team @main_inspire Ended up in top 100 in first attempt. DuE to #COVID19 this time it was online but still happy with their management skills. #startupweekend @techstars #techstar @GoogleStartups,2020-05-21 04:49:02+00:00,0,4,#COVID19 #startupweekend #techstar,Delhi,Really excited to share my experience at so My team inspire Ended up in top 100 in first attempt DuE to COVID19 this time it was online but still happy with their management skills startupweekend techstar,"[{'score': 0.929208, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Good move to hasten the progress of #Covid19 ,2020-05-21 04:44:12+00:00,0,0,#Covid19,Delhi,Good move to hasten the progress of Covid19,"[{'score': 0.86329, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"#COVID19 *Spike of 5,609 #COVID19 cases &amp; 132 deaths in the last 24 hours. Total number of cases in the country now at 112359, including 63624 active cases &amp; 3435 deaths*",2020-05-21 04:41:15+00:00,3,21,#COVID19 #COVID19,Delhi,COVID19 Spike of 5 609 COVID19 cases amp 132 deaths in the last 24 hours Total number of cases in the country now at 112359 including 63624 active cases amp 3435 deaths,"[{'score': 0.651826, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
Never giveup because you never know if success is waiting for your just another try. #todayquotes #BeSafe #StayAtHome #COVID19 #BanTikTokInIndia,2020-05-21 04:29:55+00:00,0,0,#todayquotes #BeSafe #StayAtHome #StayAtHome #COVID19 #BanTikTokInIndia,Delhi,Never giveup because you never know if success is waiting for your just another try todayquotes BeSafe StayAtHome COVID19 BanTikTokInIndia,"[{'score': 0.704228, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Attending office after two months. Never before I have seen so much vacant parking space at the India Habitat Centre #Delhi #Covid19 – at India Habitat Centre,2020-05-21 04:09:55+00:00,1,11,#Delhi #Covid19,Delhi,Attending office after two months Never before I have seen so much vacant parking space at the India Habitat Centre Delhi Covid19 at India Habitat Centre,[],,,,,,,
"Get here your brand promotion, advertising and marketing tips by realdigitalmarketer.#safelife #staysafe #stayathome #socialdistancing #coronavirus #covid19 #covid_19 #digitalmarketing #businessowner #businessstrategy #smallbusiness #startup #motivational #sucess #branding",2020-05-21 04:06:08+00:00,0,1,#safelife #staysafe #stayathome #stayathome #socialdistancing #coronavirus #covid19 #covid_19 #digitalmarketing #businessowner #businessstrategy #smallbusiness #startup #motivational #sucess #branding,Delhi,Get here your brand promotion advertising and marketing tips by realdigitalmarketer safelife staysafe stayathome socialdistancing coronavirus covid19 covid 19 digitalmarketing businessowner businessstrategy smallbusiness startup motivational sucess branding,"[{'score': 0.600501, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Parenting in Covid :- Day 20 - ‘Raise yourself before you raise your child’ #parentinganswersbyjasminkumar #jasminkumar #parentingincovid #parentinginlockdown #parenting #covid19 #motherhood #fatherhood #lockdownstories #childreninlockdown #empoweredparentsforum,2020-05-21 03:39:39+00:00,0,1,#parentinganswersbyjasminkumar #jasminkumar #parentingincovid #parentinginlockdown #parenting #covid19 #motherhood #fatherhood #lockdownstories #childreninlockdown #empoweredparentsforum,Delhi,Parenting in Covid Day 20 Raise yourself before you raise your child parentinganswersbyjasminkumar jasminkumar parentingincovid parentinginlockdown parenting covid19 motherhood fatherhood lockdownstories childreninlockdown empoweredparentsforum,[],,,,,,,
Thought of the day #morningvibes #morningmotivation #morningthought #hardwork #hardworkpayoff #bekind #bepositive #thinkpositive #Thuresdayvibes #thuresdaythought #thuresdaymotibation #thuresdayquotes #realestate #Covid19#stayshomestaysafe – at Sector 81 Noida,2020-05-21 03:32:56+00:00,1,1,#morningvibes #morningmotivation #morningthought #hardwork #hardworkpayoff #bekind #bepositive #thinkpositive #Thuresdayvibes #thuresdaythought #thuresdaymotibation #thuresdayquotes #realestate,Delhi,Thought of the day morningvibes morningmotivation morningthought hardwork hardworkpayoff bekind bepositive thinkpositive Thuresdayvibes thuresdaythought thuresdaymotibation thuresdayquotes realestate Covid19 stayshomestaysafe at Sector 81 Noida,"[{'score': 0.600129, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Modus operandi of domestic flight resumption to be finalised today: 35% of original capacity to be allowed on metro-metro routes 50% flights of original capacity to be allowed on metro- other routes Delhi Airport to have only 14 flights per hour #aviation during #COVID19,2020-05-21 03:18:34+00:00,11,19,#aviation #COVID19,Delhi,Modus operandi of domestic flight resumption to be finalised today 35 of original capacity to be allowed on metro metro routes 50 flights of original capacity to be allowed on metro other routes Delhi Airport to have only 14 flights per hour aviation during COVID19,[],,,,,,,
Resilience and Rebuilding the Post Covid World #coronavirus #COVID19 ,2020-05-21 02:30:49+00:00,1,0,#coronavirus #COVID19,Delhi,Resilience and Rebuilding the Post Covid World coronavirus COVID19,"[{'score': 0.52231, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Hello May This spring is a bit different, but remember better days are ahead Happy friday . . . . . crescent_011 #quarantinelife #covid19 #socialdistancing #staysafe #weekendvibes #springtime #may… https://www.instagram.com/p/B_o-_wfgYil/?igshid=1c0a5eoauokoe",2020-05-21 02:19:07+00:00,0,0,#quarantinelife #covid19 #socialdistancing #staysafe #weekendvibes #springtime #may,Delhi,Hello May This spring is a bit different but remember better days are ahead Happy friday crescent 011 quarantinelife covid19 socialdistancing staysafe weekendvibes springtime may,"[{'score': 0.923199, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.733853, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,1.0,,
Good move will definitely aid in the faster spread of #Covid19 ,2020-05-21 01:13:55+00:00,0,0,#Covid19,Delhi,Good move will definitely aid in the faster spread of Covid19,"[{'score': 0.684112, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.825035, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,1.0,
"Really wishing for the world, family, and friends not forgetting acquaintances. #ThoughtsAndPrayers #CycloneAmphan #covid19",2020-05-20 19:28:49+00:00,0,0,#ThoughtsAndPrayers #CycloneAmphan #covid19,Delhi,Really wishing for the world family and friends not forgetting acquaintances ThoughtsAndPrayers CycloneAmphan covid19,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
#COVID19 #Delhi #Mumbai @MoCA_GoI @HardeepSPuri @drharshvardhan @LtGovDelhi @ArvindKejriwal @msisodia @SatyendarJain Please do not allow flights from places like Mumbai to come to Delhi. Asymptomatic people can spread the infection to everyone on a flight.... 1/2,2020-05-20 18:29:56+00:00,3,7,#COVID19 #Delhi #Mumbai,Delhi,COVID19 Delhi Mumbai GoI Please do not allow flights from places like Mumbai to come to Delhi Asymptomatic people can spread the infection to everyone on a flight 1 2,[],,,,,,,
"Commercial launch of Agappe Chitra Magna RNA isolation kit for detection of #corona on May21, 4.30pm,Cochin *validated at National Institute of Virology for #Covid19 *India needs app 8lakh kits/month in 6months *priced appRs150/kit.Reduce testing cost&amp;dependence on imported kits",2020-05-20 17:46:33+00:00,1,6,#corona #Covid19,Delhi,Commercial launch of Agappe Chitra Magna RNA isolation kit for detection of corona on May21 4 30pm Cochin validated at National Institute of Virology for Covid19 India needs app 8lakh kits month in 6months priced appRs150 kit Reduce testing cost amp dependence on imported kits,"[{'score': 0.564476, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Import clearance at very competitive rates. Contact us 9878177737 #pandemic #thermometer #india #logistics #import #supplychain #covid #covid19 #coronavirus #corona #medical #medicalequipment #worldwide #daily #instadaily #instapost #instagram #customers #global #stayhome #stay,2020-05-20 17:45:32+00:00,0,1,#pandemic #thermometer #india #logistics #import #supplychain #covid #covid19 #coronavirus #corona #medical #medicalequipment #worldwide #daily #instadaily #instapost #instagram #customers #global #stayhome #stayhome #stay,Delhi,Import clearance at very competitive rates Contact us 9878177737 pandemic thermometer india logistics import supplychain covid covid19 coronavirus corona medical medicalequipment worldwide daily instadaily instapost instagram customers global stayhome stay,[],,,,,,,
U.S. President @realDonaldTrump has announced that the U.S. will donate ventilators to India to support its fight against . @SharmaKhemchand #COVID19 ,2020-05-20 17:39:56+00:00,0,0,#COVID19,Delhi,U S President has announced that the U S will donate ventilators to India to support its fight against COVID19,[],,,,,,,
"""And the virus crisis has made them appreciate even more the beauty of Italy's rural villages -- so much so that some are looking to invest in more cheap properties."" (Via @CNNTravel) #COVID19 ",2020-05-20 17:07:21+00:00,0,0,#COVID19,Delhi,And the virus crisis has made them appreciate even more the beauty of Italy s rural villages so much so that some are looking to invest in more cheap properties Via COVID19,"[{'score': 0.662323, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.8152, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
The Congress Party can suspend @AditiSinghINC for telling the truth to @priyankagandhi (vadra). But unable to take action on @PankajPuniaINC for passing lewd comments on Sri Ram. #COVID19 #CongExposesCong @Rajput_Ramesh @desimojito,2020-05-20 17:00:02+00:00,0,0,#COVID19 #CongExposesCong,Delhi,The Congress Party can suspend for telling the truth to vadra But unable to take action on for passing lewd comments on Sri Ram COVID19 CongExposesCong Ramesh,"[{'score': 0.514891, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
UPDATE: SpiceJet is closed for sale #aviation during #COVID19 ,2020-05-20 16:48:39+00:00,0,6,#aviation #COVID19,Delhi,UPDATE SpiceJet is closed for sale aviation during COVID19,[],,,,,,,
"Looks like SpiceJet has already opened for sale 25 May Delhi-Mumbai priced at Rs 17,000 #aviation during #COVID19 ",2020-05-20 16:25:58+00:00,13,16,#aviation #COVID19,Delhi,Looks like SpiceJet has already opened for sale 25 May Delhi Mumbai priced at Rs 17 000 aviation during COVID19,"[{'score': 0.704683, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
Click on the link and give it a try! https://www.google.co.uk/amp/s/amp.formula1.com/en/latest/article.quiz-can-you-name-the-f1-car-from-one-close-up-image.7bTuRTTwtWnWmaZCr62w0N.html #F1inschool #STEM #corona #coronavirus #quiz #canyoudoit #challenge #try #covid19 #lockdown #quarantine #F1,2020-05-20 16:14:18+00:00,0,3,#F1inschool #STEM #corona #coronavirus #quiz #canyoudoit #challenge #try #covid19 #lockdown #quarantine #F1,Delhi,Click on the link and give it a try F1inschool STEM corona coronavirus quiz canyoudoit challenge try covid19 lockdown quarantine F1,"[{'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
#Farmer Connect Portal #Digital Marketing Platform #FarmerConnrct #agriculture #export #COVID19 #DoublingFarmersIncome Please connect with us to post your sale offers / buying enquiries at the below link: http://farmerconnect.apeda.gov.in/,2020-05-20 16:12:49+00:00,13,41,#Farmer #Digital #FarmerConnrct #agriculture #export #COVID19 #DoublingFarmersIncome,Delhi,Farmer Connect Portal Digital Marketing Platform FarmerConnrct agriculture export COVID19 DoublingFarmersIncome Please connect with us to post your sale offers buying enquiries at the below link,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"To promote ease of doing business and discuss the issues and challenges impacting inorganic growth due to #COVID19, #ASSOCHAM is organising a Web-Confluence 'Corporate Restructuring, M&amp;A and Joint Venture'. : 23 May : 11 AM : https://bit.ly/3bKmrlP",2020-05-20 14:55:38+00:00,13,15,#COVID19 #ASSOCHAM,Delhi,To promote ease of doing business and discuss the issues and challenges impacting inorganic growth due to COVID19 ASSOCHAM is organising a Web Confluence Corporate Restructuring M amp A and Joint Venture 23 May 11 AM,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Got out of the house after 72 days and needless to say, the fresh air felt absolutely terrific! Gosh! #coffee #delhi #lockdown #covid19 #Starbucks @Starbucks @StarbucksIndia – at Starbucks",2020-05-20 13:21:18+00:00,0,6,#coffee #delhi #lockdown #covid19 #Starbucks,Delhi,Got out of the house after 72 days and needless to say the fresh air felt absolutely terrific Gosh coffee delhi lockdown covid19 Starbucks at Starbucks,"[{'score': 0.694702, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,1.0,
"“More than money, we need food to sustain ourselves. This dry ration kit will be sufficient for our entire family for a month & to help us remain hopeful in the times of #covid19.” Badal Karmakar, Adharani Tea Garden, Tripura @FISGlobal https://bit.ly/2XH181c #IndiaShares",2020-05-20 13:14:09+00:00,2,10,#covid19 #IndiaShares,Delhi,More than money we need food to sustain ourselves This dry ration kit will be sufficient for our entire family for a month to help us remain hopeful in the times of covid19 Badal Karmakar Adharani Tea Garden Tripura IndiaShares,"[{'score': 0.567308, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Noida- Delhi border is sealed. UP government hasn't given permission yet. So where will Noida citizens take a flight from? Jewar? https://www.google.com/amp/s/amp.scroll.in/latest/962461/covid-19-delhi-noida-border-will-remain-sealed-interstate-movement-banned-says-up-district-dm #aviation during #COVID19,2020-05-20 12:50:12+00:00,11,47,#aviation #COVID19,Delhi,Noida Delhi border is sealed UP government hasn t given permission yet So where will Noida citizens take a flight from Jewar aviation during COVID19,[],,,,,,,
No airlines informed ! No airports informed ! Govt of India runs on Twitter ! #aviation during #COVID19 ,2020-05-20 11:59:13+00:00,160,624,#aviation #COVID19,Delhi,No airlines informed No airports informed Govt of India runs on Twitter aviation during COVID19,"[{'score': 0.563568, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.929993, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
"Do not eat your full while your #Neighbours is #hungry: The Messenger of Allah, (Peace and blessings be upon him) says:"" He is not a believer who eats his fill whilst his neighbour beside him goes hungry"" (Bukhari). #Covid19 #KnowIslam",2020-05-20 11:26:50+00:00,1,4,#Neighbours #hungry #Covid19 #KnowIslam,Delhi,Do not eat your full while your Neighbours is hungry The Messenger of Allah Peace and blessings be upon him says He is not a believer who eats his fill whilst his neighbour beside him goes hungry Bukhari Covid19 KnowIslam,"[{'score': 0.685566, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Do not eat your full while your #neighbour is #hungry: The Messenger of Allah, (Peace and blessings be upon him) says:"" He is not a believer who eats his fill whilst his neighbour beside him goes hungry"" (Bukhari). #Covid19 #KnowIslam",2020-05-20 11:13:35+00:00,2,6,#neighbour #hungry #Covid19 #KnowIslam,Delhi,Do not eat your full while your neighbour is hungry The Messenger of Allah Peace and blessings be upon him says He is not a believer who eats his fill whilst his neighbour beside him goes hungry Bukhari Covid19 KnowIslam,"[{'score': 0.679817, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
#MentalPeace in the times of #COVID19 ! #StayHomeStaySafe #home #MentalHealthAwareness #ConnectWithNature #naturelovers #TerrisGarden #Gardening #Greens #Bloom #natureishealing,2020-05-20 11:10:37+00:00,0,0,#MentalPeace #COVID19 #StayHomeStaySafe #home #MentalHealthAwareness #ConnectWithNature #naturelovers #TerrisGarden #Gardening #Greens #Bloom #natureishealing,Delhi,MentalPeace in the times of COVID19 StayHomeStaySafe home MentalHealthAwareness ConnectWithNature naturelovers TerrisGarden Gardening Greens Bloom natureishealing,"[{'score': 0.645787, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"""Taking all precautions like screening for signs of #COVID19 with the help of thermal scanners, we've been able to reach our patients after a long time &amp; successfully conduct safe OPDs. It is hard to describe how glad they felt to see us."" Navneet, #SmileOnWheels, #Rajasthan",2020-05-20 11:10:14+00:00,3,24,#COVID19 #SmileOnWheels #Rajasthan,Delhi,Taking all precautions like screening for signs of COVID19 with the help of thermal scanners we ve been able to reach our patients after a long time amp successfully conduct safe OPDs It is hard to describe how glad they felt to see us Navneet SmileOnWheels Rajasthan,[],,,,,,,
Mixed waste is a breeding ground for #Covid19 @vaid_shashi @AnumaVidisha @RakhiSinha @BDUTT @sagarikaghose @mkvenu1 @AinaraKaur @iamneerajkanwar @somnathaa @dmgbnagar @MoJSDoWRRDGR @SwachhBharatGov @SwachSurvekshan,2020-05-20 09:48:40+00:00,1,1,#Covid19,Delhi,Mixed waste is a breeding ground for Covid19 shashi,[],,,,,,,
#India’s trade ministry is proposing a tax holiday for companies bringing new #investments - @BagaiLegal https://www.linkedin.com/feed/update/urn:li:activity:6668803031380828160 #tax #corporate #employment #trade #ministry #government #textiles #telecom #industry #economics #finance #lockdown #coronavirus #covid19 #BagaiLegal,2020-05-20 09:42:21+00:00,0,1,#India #investments #tax #corporate #employment #trade #ministry #government #textiles #telecom #industry #economics #finance #lockdown #coronavirus #covid19 #BagaiLegal,Delhi,India s trade ministry is proposing a tax holiday for companies bringing new investments tax corporate employment trade ministry government textiles telecom industry economics finance lockdown coronavirus covid19 BagaiLegal,"[{'score': 0.546148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"#StayHomeStaySafe #DelhiFightsCorona 534 fresh #COVID19 in last 24 hours largest single - day spike @ArvindKejriwal total 11088, recovered 5192; death toll 176 @SatyendarJain Cumulative testing done till date -150282 @LtGovDelhi Containment zone 69 @TheDailyPioneer",2020-05-20 09:18:32+00:00,0,3,#StayHomeStaySafe #DelhiFightsCorona #COVID19,Delhi,StayHomeStaySafe DelhiFightsCorona 534 fresh COVID19 in last 24 hours largest single day spike total 11088 recovered 5192 death toll 176 Cumulative testing done till date 150282 Containment zone 69,[],,,,,,,
Always Remember Germs Are Always Waiting for you. Must follow these two precautions to protect your lives and others. 1- Wash Hands with Soap & Water Frequently 2- Keep Object & Surface Clean Around You. #Precautions #COVID19 #physicaldistance #ImmunityPower #BoostImunity,2020-05-20 09:17:03+00:00,0,0,#Precautions #COVID19 #physicaldistance #ImmunityPower #BoostImunity,Delhi,Always Remember Germs Are Always Waiting for you Must follow these two precautions to protect your lives and others 1 Wash Hands with Soap Water Frequently 2 Keep Object Surface Clean Around You Precautions COVID19 physicaldistance ImmunityPower BoostImunity,"[{'score': 0.53206, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.550576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.520338, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,1.0,
"534 more #COVID19 cases reported in Delhi in the last 24 hours. Total cases 11,088 including 5,720 active cases &amp; 176 deaths. #coronaupdatesDelhi #Delhi",2020-05-20 09:04:39+00:00,0,0,#COVID19 #coronaupdatesDelhi #Delhi,Delhi,534 more COVID19 cases reported in Delhi in the last 24 hours Total cases 11 088 including 5 720 active cases amp 176 deaths coronaupdatesDelhi Delhi,[],,,,,,,
What the hell is happening #Bangalore #CycloneAmphan #covid19 May God bless all peeps ,2020-05-20 08:42:14+00:00,1,3,#Bangalore #CycloneAmphan #covid19,Delhi,What the hell is happening Bangalore CycloneAmphan covid19 May God bless all peeps,"[{'score': 0.658822, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"#COVID19 is the first pandemic in human history where technology is being used on a massive scale to keep people safe, productive and connected while being physically apart. Join the fight against #COVID19 with the #CallForCode initiative. @ibm_in #IBM https://ibm.co/3bEM5sT",2020-05-20 08:34:55+00:00,0,0,#COVID19 #COVID19 #CallForCode #IBM,Delhi,COVID19 is the first pandemic in human history where technology is being used on a massive scale to keep people safe productive and connected while being physically apart Join the fight against COVID19 with the CallForCode initiative in IBM,[],,,,,,,
