Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,analytical,confident,tentative,anger,fear
"30 new Covid-19 cases reported in Karnataka, taking the total number of cases to 565: State health department #COVID19 #Karnataka #CoronavirusOutbreak",2020-05-02 17:41:01+00:00,0,0,#COVID19 #Karnataka #CoronavirusOutbreak,Mumbai,30 new Covid 19 cases reported in Karnataka taking the total number of cases to 565 State health department COVID19 Karnataka CoronavirusOutbreak,[],,,,,,,
"The Current Situation, is like Watermelon. From Outside its Green Zone. When Open it will Turn Red. #covidupdate #COVID19 #TrendingNow",2020-05-02 17:33:10+00:00,0,0,#covidupdate #COVID19 #TrendingNow,Mumbai,The Current Situation is like Watermelon From Outside its Green Zone When Open it will Turn Red covidupdate COVID19 TrendingNow,[],,,,,,,
"384 new positive #COVID19 cases and 3 deaths have been reported in #Delhi today. Total active cases stand at 2802 now. 64 deaths have been reported in the national capital till date: Directorate General of Health Services, Delhi Govt.",2020-05-02 17:28:01+00:00,0,1,#COVID19 #Delhi,Mumbai,384 new positive COVID19 cases and 3 deaths have been reported in Delhi today Total active cases stand at 2802 now 64 deaths have been reported in the national capital till date Directorate General of Health Services Delhi Govt,"[{'score': 0.652651, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"#JUSTIN || 1 death and 17 new #coronavirus cases recorded in #Telangana today. With this, the total no of cases mounts to 1,061 of which 533 are active cases. 35 patients discharged today. 29 #COVID19 deaths and 499 discharges have been recorded so far in the state ",2020-05-02 17:27:48+00:00,0,2,#JUSTIN #coronavirus #Telangana #COVID19,Mumbai,JUSTIN 1 death and 17 new coronavirus cases recorded in Telangana today With this the total no of cases mounts to 1 061 of which 533 are active cases 35 patients discharged today 29 COVID19 deaths and 499 discharges have been recorded so far in the state,"[{'score': 0.645489, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"Among all the #COVID19 positive cases, highest are in the age group of 21-30 years. Of the total no of cases, 705 are male and 356 are female #CautionYesPanicNo #coronavirus #COVID__19",2020-05-02 17:24:31+00:00,0,0,#COVID19 #CautionYesPanicNo #coronavirus #COVID__19,Mumbai,Among all the COVID19 positive cases highest are in the age group of 21 30 years Of the total no of cases 705 are male and 356 are female CautionYesPanicNo coronavirus COVID 19,"[{'score': 0.641317, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.622101, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
"547 new #COVID19 cases &amp; 27 deaths have been reported in Mumbai today, taking the total number of cases to 8172 &amp; deaths to 322. 137 patients discharged today after recovery; total 1704 patients discharged till today: Public Health Department, #Mumbai. #Maharashtra",2020-05-02 17:17:50+00:00,0,2,#COVID19 #Mumbai #Maharashtra,Mumbai,547 new COVID19 cases amp 27 deaths have been reported in Mumbai today taking the total number of cases to 8172 amp deaths to 322 137 patients discharged today after recovery total 1704 patients discharged till today Public Health Department Mumbai Maharashtra,"[{'score': 0.608032, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"70 persons have tested positive for #COVID19 today and 7 deaths have been reported in last 24 hours in West #Bengal. 45 patients have been discharged in the last 24 hours: Health Department, West Bengal",2020-05-02 17:15:44+00:00,0,1,#COVID19 #Bengal,Mumbai,70 persons have tested positive for COVID19 today and 7 deaths have been reported in last 24 hours in West Bengal 45 patients have been discharged in the last 24 hours Health Department West Bengal,"[{'score': 0.56787, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
"Three more deaths have been reported in #Pune district today. Death toll due to #COVID19 rises to 103 in the district: Health Officials, Pune #Maharashtra",2020-05-02 17:14:15+00:00,1,2,#Pune #COVID19 #Maharashtra,Mumbai,Three more deaths have been reported in Pune district today Death toll due to COVID19 rises to 103 in the district Health Officials Pune Maharashtra,"[{'score': 0.506727, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
106 persons have tested positive for #COVID19 today in Rajasthan; taking the total number of positive cases to 2772. 6 deaths have been reported today; death toll rises to 68: #Rajasthan Health Department,2020-05-02 17:13:41+00:00,0,1,#COVID19 #Rajasthan,Mumbai,106 persons have tested positive for COVID19 today in Rajasthan taking the total number of positive cases to 2772 6 deaths have been reported today death toll rises to 68 Rajasthan Health Department,"[{'score': 0.770831, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
#Delhi: One more area has been removed from the #COVID19 containment zones list; total 5 zones have been removed from the list till now. ,2020-05-02 17:12:31+00:00,0,1,#Delhi #COVID19,Mumbai,Delhi One more area has been removed from the COVID19 containment zones list total 5 zones have been removed from the list till now,[],,,,,,,
#Delhi: The total number of containment zones in the national capital is now at 96. #COVID19 ,2020-05-02 17:12:19+00:00,0,1,#Delhi #COVID19,Mumbai,Delhi The total number of containment zones in the national capital is now at 96 COVID19,[],,,,,,,
"#COVID19 death toll in #Telangana rises to 29; total cases 1,061 after 17 people test positive, active cases 533",2020-05-02 17:11:37+00:00,1,2,#COVID19 #Telangana,Mumbai,COVID19 death toll in Telangana rises to 29 total cases 1 061 after 17 people test positive active cases 533,"[{'score': 0.767592, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
Happy to be part of #Asmita project for Menstrual Hygiene thru SHGs @MissionUmed &amp; happier when partners @MSInSociety choose it for distribution to needy during #COVID19 Thank you @EssarFoundation Dashasutri leading to overall development of rural women @DAY_NRLM @MoRD_GOI,2020-05-02 15:53:02+00:00,5,28,#Asmita #COVID19,Mumbai,Happy to be part of Asmita project for Menstrual Hygiene thru SHGs amp happier when partners choose it for distribution to needy during COVID19 Thank you Dashasutri leading to overall development of rural women NRLM GOI,"[{'score': 0.923481, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.515576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"If you must travel, take these steps to protect yourself & others from #COVID19 during your trip. #lockdownindia #COVID__19 #StayHome #StayHomeSaveLives",2020-05-02 15:33:45+00:00,0,1,#COVID19 #lockdownindia #COVID__19 #StayHome #StayHome #StayHomeSaveLives,Mumbai,If you must travel take these steps to protect yourself others from COVID19 during your trip lockdownindia COVID 19 StayHome StayHomeSaveLives,"[{'score': 0.607231, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"TOM, THANK YOU SO MUCH FOR THIS MAGICAL TREAT! #StayHome #COVID19 ",2020-05-02 15:27:12+00:00,0,0,#StayHome #StayHome #COVID19,Mumbai,TOM THANK YOU SO MUCH FOR THIS MAGICAL TREAT StayHome COVID19,"[{'score': 0.723896, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"547 new #COVID19 cases &amp; 27 deaths have been reported in #Mumbai today, taking the total number of cases to 8172 &amp; deaths to 322. 137 patients discharged today after recovery; total 1704 patients discharged till today: Public Health Department, Mumbai. #Maharashtra",2020-05-02 15:11:31+00:00,0,0,#COVID19 #Mumbai #Maharashtra,Mumbai,547 new COVID19 cases amp 27 deaths have been reported in Mumbai today taking the total number of cases to 8172 amp deaths to 322 137 patients discharged today after recovery total 1704 patients discharged till today Public Health Department Mumbai Maharashtra,"[{'score': 0.608032, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
You are not a true Maggi lover If you don’t lick the plate clean Try our best ever chilli cheese garlic Maggi only @ThinkDeliciousc Coming soon on #Zomato #swiggy #covid19 #quarantine #strong #stayhome #staysafe #stayhealthy #zomato #huffposttaste #buzz,2020-05-02 14:42:53+00:00,0,0,#Zomato #swiggy #covid19 #quarantine #strong #stayhome #stayhome #staysafe #stayhealthy #zomato #huffposttaste #buzz,Mumbai,You are not a true Maggi lover If you don t lick the plate clean Try our best ever chilli cheese garlic Maggi only Coming soon on Zomato swiggy covid19 quarantine strong stayhome staysafe stayhealthy zomato huffposttaste buzz,"[{'score': 0.69697, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
@MumbaiPolice @AnilDeshmukhNCP @OfficeofUT @narendramodi Even after calling police several times police is not taking strict action against those boys. When called they just say we're sending Police but no action. Plz send forces and help mumbai.Cases of #covid19 near me ,2020-05-02 14:39:23+00:00,0,0,#covid19,Mumbai,Even after calling police several times police is not taking strict action against those boys When called they just say we re sending Police but no action Plz send forces and help mumbai Cases of covid19 near me,"[{'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"Contact tracing ,which is critical 2 combat of #COVID19 is bound to have an element of inbuilt surveillance. Without this feature containment will be a sham . Data available thru app 2 be used solely 4 health mgmt purposes. Now stop spreading skepticism based on wild speculation ",2020-05-02 14:30:05+00:00,2,3,#COVID19,Mumbai,Contact tracing which is critical 2 combat of COVID19 is bound to have an element of inbuilt surveillance Without this feature containment will be a sham Data available thru app 2 be used solely 4 health mgmt purposes Now stop spreading skepticism based on wild speculation,"[{'score': 0.641136, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Homemade spinach paneer/cottage cheese ravioli! check out the details on the process in highlights! What are you enjoying for dinner tonight? #foodiesofindia #pasta #homemade #cooking #covid19 #lockdown #mumbai @… https://www.instagram.com/p/B_sDgk1pg4W/?igshid=1ujmzdsqp8m8w,2020-05-02 14:11:24+00:00,0,1,#foodiesofindia #pasta #homemade #cooking #covid19 #lockdown #mumbai,Mumbai,Homemade spinach paneer cottage cheese ravioli check out the details on the process in highlights What are you enjoying for dinner tonight foodiesofindia pasta homemade cooking covid19 lockdown mumbai,"[{'score': 0.723231, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Feeling Proud to See @IndiaCoastGuard Supporting to feel Proud for working and give strength for #FightAgainstCoronavirus Thank You to @IndiaCoastGuard. Thanks to our Frontline #CovidWarriors. Thank U @narendramodi ji will shower petals on #COVID19 hospitals. @PMOIndia,2020-05-02 13:44:41+00:00,2,2,#FightAgainstCoronavirus #CovidWarriors #COVID19,Mumbai,Feeling Proud to See Supporting to feel Proud for working and give strength for FightAgainstCoronavirus Thank You to Thanks to our Frontline CovidWarriors Thank U ji will shower petals on COVID19 hospitals,"[{'score': 0.969333, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
The planned flypast of the aircraft of the Indian Air Force tomorrow is to salute the brave #COVID19 warriors who have been tirelessly and selflessly working during these unprecedented times of Coronavirus pandemic: Ministry of Defence ,2020-05-02 13:42:48+00:00,0,1,#COVID19,Mumbai,The planned flypast of the aircraft of the Indian Air Force tomorrow is to salute the brave COVID19 warriors who have been tirelessly and selflessly working during these unprecedented times of Coronavirus pandemic Ministry of Defence,[],,,,,,,
"The BEST conductor, who tested positive for #Covid19 on April 18, his second test turns out negative. The conductor discharged from hospital today.",2020-05-02 13:36:10+00:00,0,0,#Covid19,Mumbai,The BEST conductor who tested positive for Covid19 on April 18 his second test turns out negative The conductor discharged from hospital today,"[{'score': 0.808447, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560944, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
hallelujah . @ThinkDeliciousc Coming soon #zomto#swiggy #covid19 #quarantine #strong #stayhome #staysafe #stayhealthy #zomato #huffposttaste #buzzfeedfood #food52 #feedfeed #foodgram #foodstagram #foodlover #comfortfood #indianfoodblogger #india,2020-05-02 13:06:04+00:00,0,0,#covid19 #quarantine #strong #stayhome #stayhome #staysafe #stayhealthy #zomato #huffposttaste #buzzfeedfood #food52 #feedfeed #foodgram #foodstagram #foodlover #comfortfood #indianfoodblogger #india,Mumbai,hallelujah Coming soon zomto swiggy covid19 quarantine strong stayhome staysafe stayhealthy zomato huffposttaste buzzfeedfood food52 feedfeed foodgram foodstagram foodlover comfortfood indianfoodblogger india,[],,,,,,,
Welcome Shri @rsprasad’s move of urging the electronics industry to discover new opportunities in the wake of the situation surrounding #COVID19 &amp; make India a manufacturing hub for electronic goods. https://bit.ly/3d2tveA #IndiaFightsCorona @GoI_MeitY @COVIDNewsByMIB,2020-05-02 12:49:22+00:00,0,12,#COVID19 #IndiaFightsCorona,Mumbai,Welcome Shri s move of urging the electronics industry to discover new opportunities in the wake of the situation surrounding COVID19 amp make India a manufacturing hub for electronic goods IndiaFightsCorona MeitY,"[{'score': 0.800591, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.535726, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
56 Positive Patients Recover from #COVID19 #MiraBhayanderCoronaUpdates #StayHomeStaySafe,2020-05-02 12:40:55+00:00,0,0,#COVID19 #MiraBhayanderCoronaUpdates #StayHomeStaySafe,Mumbai,56 Positive Patients Recover from COVID19 MiraBhayanderCoronaUpdates StayHomeStaySafe,"[{'score': 0.520745, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
Though tired & haggered with duties the spirit of police never dies. To protect us from #Covid19 #chennaiopolice here is a short video of #144InnuyirKaakka.initiative by #GreaterChennaiPolice. story &amp; Direction :-@itsmekaga Brother you did fantastic job,2020-05-02 12:26:09+00:00,3,10,#Covid19 #chennaiopolice #144InnuyirKaakka #GreaterChennaiPolice,Mumbai,Though tired haggered with duties the spirit of police never dies To protect us from Covid19 chennaiopolice here is a short video of 144InnuyirKaakka initiative by GreaterChennaiPolice story amp Direction Brother you did fantastic job,"[{'score': 0.633265, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Local Resident Prasham Doshi,went to Rajawadi Municipal hospital Ghatkopar to cheer #COVID19 #Patients He was received by Humble Doctors,Nurses&amp;Hospital staff with tears in eyes.Patients were cheerful,Big relief&amp;support for Doctors @narendramodi",2020-05-02 12:21:19+00:00,4,14,#COVID19 #Patients,Mumbai,Local Resident Prasham Doshi went to Rajawadi Municipal hospital Ghatkopar to cheer COVID19 Patients He was received by Humble Doctors Nurses amp Hospital staff with tears in eyes Patients were cheerful Big relief amp support for Doctors,"[{'score': 0.576068, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
https://youtu.be/Mw89S1TY4V0 गुज़र जायेगा ये लम्हा| Dedicated to the brave warriors fighting against the #Covid19 pandemic. #GuzarJaegaYehLamha #ShubhangiAtre #ShahbazKhan #AnandArnold #SurmaiTete #SandeepNahar #DOPAjayRauniyar #DrAnupamMishra #ArmaannTahil #DrPraveenSingh #PMModi,2020-05-02 12:02:44+00:00,0,2,#Covid19 #GuzarJaegaYehLamha #ShubhangiAtre #ShahbazKhan #AnandArnold #SurmaiTete #SandeepNahar #DOPAjayRauniyar #DrAnupamMishra #ArmaannTahil #DrPraveenSingh #PMModi,Mumbai,Dedicated to the brave warriors fighting against the Covid19 pandemic GuzarJaegaYehLamha ShubhangiAtre ShahbazKhan AnandArnold SurmaiTete SandeepNahar DOPAjayRauniyar DrAnupamMishra ArmaannTahil DrPraveenSingh PMModi,"[{'score': 0.718054, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Labour Day 2020: How coronavirus lockdown left migrant workers in distress....... . @satejss . #satejshinde #midday #middayonline #instaphoto #lockdown #37thday #COVID19 #labourday #migrant #worker – at Four Bungalows,2020-05-02 11:46:18+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown #37thday #COVID19 #labourday #migrant #worker,Mumbai,Labour Day 2020 How coronavirus lockdown left migrant workers in distress satejshinde midday middayonline instaphoto lockdown 37thday COVID19 labourday migrant worker at Four Bungalows,[],,,,,,,
Epi 13 of #TimesOfCorona with daily info on #Covid19 and news to keep you updated! #MurakSingh taking over! #Rapchik watch out!,2020-05-02 11:28:42+00:00,0,1,#TimesOfCorona #Covid19 #MurakSingh #Rapchik,Mumbai,Epi 13 of TimesOfCorona with daily info on Covid19 and news to keep you updated MurakSingh taking over Rapchik watch out,[],,,,,,,
"Wheat pasta with sautéed veggies and olive oil for a change to surprise my tummy! What is your go to pasta? #foodiesofindia #pasta #cooking #homemade #covid19 #lockdown #mumbai @Mumbai, Maharashtra https://www.instagram.com/p/B_ruI7IJrtL/?igshid=e1c4b4iqnfc0",2020-05-02 11:04:39+00:00,0,1,#foodiesofindia #pasta #cooking #homemade #covid19 #lockdown #mumbai,Mumbai,Wheat pasta with saut ed veggies and olive oil for a change to surprise my tummy What is your go to pasta foodiesofindia pasta cooking homemade covid19 lockdown mumbai Maharashtra,"[{'score': 0.62849, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
SET 03 - 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30/04/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask,2020-05-02 10:53:52+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask,Mumbai,SET 03 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30 04 2020 satejshinde midday middayonline twitterphoto lockdown 37thday COVID19 kandivali borivali mask,[],,,,,,,
SET 02 - 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30/04/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask,2020-05-02 10:53:00+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask,Mumbai,SET 02 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30 04 2020 satejshinde midday middayonline twitterphoto lockdown 37thday COVID19 kandivali borivali mask,[],,,,,,,
SET 01- 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30/04/2020. . @satejss . #satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask – at Kandivali East,2020-05-02 10:50:07+00:00,0,0,#satejshinde #midday #middayonline #twitterphoto #lockdown #37thday #COVID19 #kandivali #borivali #mask,Mumbai,SET 01 37th day of nationwide lockdown at Kandivali and Borivali in Mumbai on 30 04 2020 satejshinde midday middayonline twitterphoto lockdown 37thday COVID19 kandivali borivali mask at Kandivali East,[],,,,,,,
"Next year (2021), I don’t want to hear about the Oscars, Golden Globes.I don’t want to see celebrities..Next year, I want to see Doctor,Nurse, Health care worker, Police,Farmer, Electric,BusDrivers,Shop,grocery_workers, and all other essential workers..as Celebrities..#COVID19.. ",2020-05-02 10:46:33+00:00,0,7,#COVID19,Mumbai,Next year 2021 I don t want to hear about the Oscars Golden Globes I don t want to see celebrities Next year I want to see Doctor Nurse Health care worker Police Farmer Electric BusDrivers Shop grocery workers and all other essential workers as Celebrities COVID19,[],,,,,,,
"62 new #COVID19 cases reported in Andhra Pradesh in the last 24 hours, taking the total number of positive cases in the state to 1525. The death toll stands at 33: #AndhraPradesh Health Department",2020-05-02 07:04:49+00:00,0,0,#COVID19 #AndhraPradesh,Mumbai,62 new COVID19 cases reported in Andhra Pradesh in the last 24 hours taking the total number of positive cases in the state to 1525 The death toll stands at 33 AndhraPradesh Health Department,"[{'score': 0.567034, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"9 new #COVID19 positive cases have been reported from 1st May, 5:00 PM to 2nd May, 12:00 noon. The total number of positive cases in the state is now 598: Government of #Karnataka",2020-05-02 06:59:39+00:00,0,0,#COVID19 #Karnataka,Mumbai,9 new COVID19 positive cases have been reported from 1st May 5 00 PM to 2nd May 12 00 noon The total number of positive cases in the state is now 598 Government of Karnataka,"[{'score': 0.505278, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#PalgharLynching accused, aged 55, tests positive for #Covid19 . He was in Wada police lockup. All other lynching suspects (around 30) in the lockup taken for testing. TOI",2020-05-02 06:58:50+00:00,0,0,#PalgharLynching #Covid19,Mumbai,PalgharLynching accused aged 55 tests positive for Covid19 He was in Wada police lockup All other lynching suspects around 30 in the lockup taken for testing TOI,"[{'score': 0.672841, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1.0,
#BreakingNews #MumbaiPolice register FIR against one person for allegedly assaulting a police team while the team was on #COVID19 related enforcement duty in Kurla Pipeline area on April 29. The accused is yet to be arrested. (ANI) #CoronavirusLockdown #COVID19outbreak,2020-05-02 06:58:25+00:00,1,0,#BreakingNews #MumbaiPolice #COVID19 #CoronavirusLockdown #COVID19outbreak,Mumbai,BreakingNews MumbaiPolice register FIR against one person for allegedly assaulting a police team while the team was on COVID19 related enforcement duty in Kurla Pipeline area on April 29 The accused is yet to be arrested ANI CoronavirusLockdown COVID19outbreak,"[{'score': 0.504453, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1.0,
"#Breakingnews | 122 jawans from single CRPF battalion in Delhi test COVID-19 positive, results of 100 more awaited. #covid19 #coronavirusinindia #coronavirusupdate #newsx",2020-05-02 06:56:57+00:00,2,0,#Breakingnews #covid19 #coronavirusinindia #coronavirusupdate #newsx,Mumbai,Breakingnews 122 jawans from single CRPF battalion in Delhi test COVID 19 positive results of 100 more awaited covid19 coronavirusinindia coronavirusupdate newsx,"[{'score': 0.706402, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
Can you help get my #petition to 99 signatures by the end of today? I started a petition and I need you to sign and share it now. #Covid19 #Doctors #HealthcareHeroes #healthcare #CoronaUpdatesInIndia #MumbaiPolice #Mumbai @narendramodi @rashtrapatibhvn,2020-05-02 06:56:24+00:00,1,7,#petition #Covid19 #Doctors #HealthcareHeroes #healthcare #CoronaUpdatesInIndia #MumbaiPolice #Mumbai,Mumbai,Can you help get my petition to 99 signatures by the end of today I started a petition and I need you to sign and share it now Covid19 Doctors HealthcareHeroes healthcare CoronaUpdatesInIndia MumbaiPolice Mumbai,[],,,,,,,
