Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,joy,confident,anger,sadness,tentative,fear
"We stand by Italy during these trying times. Share your Support for our Italian friends, They are our colleagues, friends and family. Cari amici, siamo con voi. #COVID19 #WeStandWithItaly",2020-03-22 02:13:50+00:00,0,0,#COVID19 #WeStandWithItaly,Mumbai,We stand by Italy during these trying times Share your Support for our Italian friends They are our colleagues friends and family Cari amici siamo con voi COVID19 WeStandWithItaly,"[{'score': 0.629066, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-22 01:59:01+00:00,0,2,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Good decision. Not to terminate the employee/workers from job or to reduce their wages in view of outbreak of #COVID19 @MaheshMhatre @patilarchana @Nishigandha269 @mayankbhagwat @AmitBhadricha @MeghRaajPatil @sandeepramdasi @Madhuri47_47_47,2020-03-22 01:53:49+00:00,14,39,#COVID19,Mumbai,Good decision Not to terminate the employee workers from job or to reduce their wages in view of outbreak of COVID19 47 47,"[{'score': 0.746925, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Let's stay in and be the national hero in finding the Pandemic! #COVID19 #PublicCurfew #Coronaseabbachona,2020-03-22 01:40:30+00:00,0,0,#COVID19 #PublicCurfew #Coronaseabbachona,Mumbai,Let s stay in and be the national hero in finding the Pandemic COVID19 PublicCurfew Coronaseabbachona,"[{'score': 0.572181, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 22:23:44+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
@CMOMaharashtra We the people of Maharashtra are with you in all your efforts to fight this #WarAgainstVirus. We are Proud that we are having you as CM in this crucial time. #coronavirus #COVID19 #coronavirusindia #StaySafeStayHome,2020-03-21 20:08:01+00:00,0,0,#WarAgainstVirus #coronavirus #COVID19 #coronavirusindia #StaySafeStayHome,Mumbai,We the people of Maharashtra are with you in all your efforts to fight this WarAgainstVirus We are Proud that we are having you as CM in this crucial time coronavirus COVID19 coronavirusindia StaySafeStayHome,"[{'score': 0.790134, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 20:07:49+00:00,1,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Indian Council of Medical Research (ICMR) issues guidelines for #COVID19 testing by private laboratories. Maximum cost for testing samples capped at Rs 4,500 (Rs 1,500 for screening test for likely cases &amp; additional Rs 3,000 for confirmation test).#coronavirus",2020-03-21 20:06:34+00:00,2,3,#COVID19 #coronavirus,Mumbai,Indian Council of Medical Research ICMR issues guidelines for COVID19 testing by private laboratories Maximum cost for testing samples capped at Rs 4 500 Rs 1 500 for screening test for likely cases amp additional Rs 3 000 for confirmation test coronavirus,"[{'score': 0.554382, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"Dear all, It is extremely important for you to isolate yourself (social distancing) for the weeks to come until the situation is under control.. Behave wisely & don't risk yourself or others unnecessarily! #Covid19 #Quarantine – at Mumbra Bazaar",2020-03-21 19:46:32+00:00,1,4,#Covid19 #Quarantine,Mumbai,Dear all It is extremely important for you to isolate yourself social distancing for the weeks to come until the situation is under control Behave wisely don t risk yourself or others unnecessarily Covid19 Quarantine at Mumbra Bazaar,[],,,,,,,
"Feeling trapped in #SelfIsolation?! Not able to freely roam anywhere?! Now think about how these Innocent animals must feel locked up in Zoo's, and how that is considered a tourist attraction. #coexist #JantaCurfew #COVID19",2020-03-21 19:38:28+00:00,0,0,#SelfIsolation #coexist #JantaCurfew #COVID19,Mumbai,Feeling trapped in SelfIsolation Not able to freely roam anywhere Now think about how these Innocent animals must feel locked up in Zoo s and how that is considered a tourist attraction coexist JantaCurfew COVID19,"[{'score': 0.571567, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"What if, middle of the road out of no where I start running screaming, ""oh shit Corona shit corona bhago corona"" *Public dhulai pakka* #COVID19 #JantaCurfew #LockdownMumbai #IndiaFightsCorona",2020-03-21 19:37:04+00:00,0,1,#COVID19 #JantaCurfew #LockdownMumbai #IndiaFightsCorona,Mumbai,What if middle of the road out of no where I start running screaming oh shit Corona shit corona bhago corona Public dhulai pakka COVID19 JantaCurfew LockdownMumbai IndiaFightsCorona,"[{'score': 0.862055, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,1.0,,,
"Stat from around the world is quite morbid. 11,000 deaths reported from #Covid19 Iran - 1556 Spain - 1300 Italy - 4825 France - 562 UK - 220 Netherlands - 136 Switzerland - 56 In USA, New York city alone has recorded 43 We are doing way better but praying for this to pass soon",2020-03-21 19:17:03+00:00,3,6,#Covid19,Mumbai,Stat from around the world is quite morbid 11 000 deaths reported from Covid19 Iran 1556 Spain 1300 Italy 4825 France 562 UK 220 Netherlands 136 Switzerland 56 In USA New York city alone has recorded 43 We are doing way better but praying for this to pass soon,[],,,,,,,
All religious and spiritual practices lead to one deep realisation: We Are One. All is One. #fightcoronavirus #covid19 #weareone #earth #human #corona #coronavirus #staystrong #stayhealthy #CoronavirusPandemic #religions #coronavirusindia #CoronaCrisis,2020-03-21 18:37:18+00:00,0,0,#fightcoronavirus #covid19 #weareone #earth #human #corona #coronavirus #staystrong #stayhealthy #CoronavirusPandemic #religions #coronavirusindia #CoronaCrisis,Mumbai,All religious and spiritual practices lead to one deep realisation We Are One All is One fightcoronavirus covid19 weareone earth human corona coronavirus staystrong stayhealthy CoronavirusPandemic religions coronavirusindia CoronaCrisis,"[{'score': 0.73959, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.546148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Stay informed on #COVID19! These are 7 simple steps to protect yourself and others from #coronavirus. via @WHO &lt;/a,2020-03-21 18:36:02+00:00,0,0,#COVID19 #coronavirus,Mumbai,Stay informed on COVID19 These are 7 simple steps to protect yourself and others from coronavirus via lt a,"[{'score': 0.756871, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
Stay informed on #COVID19! These are 7 simple steps to protect yourself and others from #coronavirus. via @WHO &lt;/a,2020-03-21 18:35:20+00:00,0,1,#COVID19 #coronavirus,Mumbai,Stay informed on COVID19 These are 7 simple steps to protect yourself and others from coronavirus via lt a,"[{'score': 0.756871, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.865159, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
(#shotononeplus7t and edited in #lightroomccmobile and #snapseed) #covid_19 #covıd19 #corona #shotononeplus #shotonop7t #who #quarantineandchill,2020-03-21 18:33:17+00:00,0,0,#shotononeplus7t #lightroomccmobile #snapseed #covid_19 #cov #corona #shotononeplus #shotonop7t #who #quarantineandchill,Mumbai,shotononeplus7t and edited in lightroomccmobile and snapseed covid 19 cov d19 corona shotononeplus shotonop7t who quarantineandchill,[],,,,,,,
"Medical teams dispatched to combat the #COVID19 in Hubei Province have been embarking on their journey bck home this week, as the situation has largely improved in the epicenter of the #coronavirus outbreak.They hugged,said their goodbyes to residents, even shed tear upon leaving",2020-03-21 18:32:44+00:00,0,0,#COVID19 #coronavirus,Mumbai,Medical teams dispatched to combat the COVID19 in Hubei Province have been embarking on their journey bck home this week as the situation has largely improved in the epicenter of the coronavirus outbreak They hugged said their goodbyes to residents even shed tear upon leaving,"[{'score': 0.87934, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCoronavirus https://cards.twitter.com/cards/18ce53z9zje/980zq",2020-03-21 18:15:59+00:00,0,0,#COVID19 #IndiaFightsCoronavirus,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCoronavirus,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"India is hoping to kill #Covid19 by banking on the heat and banging on pots and pans. Test, test, test. ",2020-03-21 18:14:21+00:00,31,126,#Covid19,Mumbai,India is hoping to kill Covid19 by banking on the heat and banging on pots and pans Test test test,[],,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 18:12:50+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Sanitization of vehicle @CMOMaharashtra @PMOIndia @rajeshtope11 @AjitPawarSpeaks @PawarSpeaks #CoronavirusPandemic #CoronaChainScare #CoronaUpdatesInIndia #CoronaCrisis #CoronaStopKaroNa #Coronaindia #coronamaharashtra #Corona #COVIDIOT #COVIDー19 #Covid_19 #COVID19 #rajeshtope,2020-03-21 17:54:23+00:00,0,0,#CoronavirusPandemic #CoronaChainScare #CoronaUpdatesInIndia #CoronaCrisis #CoronaStopKaroNa #Coronaindia #coronamaharashtra #Corona #COVIDIOT #COVID #Covid_19 #COVID19 #rajeshtope,Mumbai,Sanitization of vehicle CoronavirusPandemic CoronaChainScare CoronaUpdatesInIndia CoronaCrisis CoronaStopKaroNa Coronaindia coronamaharashtra Corona COVIDIOT COVID 19 Covid 19 COVID19 rajeshtope,[],,,,,,,
Send her to London back she will get her treated there. #COVID19,2020-03-21 17:54:04+00:00,0,0,#COVID19,Mumbai,Send her to London back she will get her treated there COVID19,[],,,,,,,
There seems to be no end in sight for Italy. Why is it so bad in Italy than anywhere else especially given their strict and early lockdown? Anyone have any answers? #Covid19 ,2020-03-21 17:27:14+00:00,91,463,#Covid19,Mumbai,There seems to be no end in sight for Italy Why is it so bad in Italy than anywhere else especially given their strict and early lockdown Anyone have any answers Covid19,"[{'score': 0.611551, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.88939, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,1.0,
Government of India and team who's fighting day and night to protect us from Corona WE SALUTE YOU. THANK YOU. #COVID19 #JanataCurfew #LockdownMumbai #IndiaFightsCorona,2020-03-21 17:09:05+00:00,0,2,#COVID19 #JanataCurfew #LockdownMumbai #IndiaFightsCorona,Mumbai,Government of India and team who s fighting day and night to protect us from Corona WE SALUTE YOU THANK YOU COVID19 JanataCurfew LockdownMumbai IndiaFightsCorona,"[{'score': 0.517738, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
Must Watch This.. Hand Sanitizer Ft. Go Corona #coronavirus #covid19 #gocorona #mangalpandey #CoronavirusPandemic #COVIDー19 #coronavirusindia #CoronaChainScare #CoronaVirusUpdates,2020-03-21 16:59:52+00:00,0,0,#coronavirus #covid19 #gocorona #mangalpandey #CoronavirusPandemic #COVID #coronavirusindia #CoronaChainScare #CoronaVirusUpdates,Mumbai,Must Watch This Hand Sanitizer Ft Go Corona coronavirus covid19 gocorona mangalpandey CoronavirusPandemic COVID 19 coronavirusindia CoronaChainScare CoronaVirusUpdates,"[{'score': 0.649467, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
A friendly reminder tomorrow is #JanataCurfew till 5pm post five don't come out on roads to celebrate as if we have won India vs Pakistan cricket game. Stay indoors. #COVID19 #LockdownMumbai #IndiaFightsCorona,2020-03-21 16:58:12+00:00,1,5,#JanataCurfew #COVID19 #LockdownMumbai #IndiaFightsCorona,Mumbai,A friendly reminder tomorrow is JanataCurfew till 5pm post five don t come out on roads to celebrate as if we have won India vs Pakistan cricket game Stay indoors COVID19 LockdownMumbai IndiaFightsCorona,"[{'score': 0.769198, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 16:46:17+00:00,0,2,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Must Watch This.. Go Corona ft. Mangal Pandey. #coronavirus #covid19 #gocorona #mangalpandey #CoronavirusPandemic #COVIDー19 #coronavirusindia #CoronaChainScare #CoronaVirusUpdates,2020-03-21 16:44:00+00:00,0,0,#coronavirus #covid19 #gocorona #mangalpandey #CoronavirusPandemic #COVID #coronavirusindia #CoronaChainScare #CoronaVirusUpdates,Mumbai,Must Watch This Go Corona ft Mangal Pandey coronavirus covid19 gocorona mangalpandey CoronavirusPandemic COVID 19 coronavirusindia CoronaChainScare CoronaVirusUpdates,"[{'score': 0.542216, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
90% of them are Running to UP! One of the positive Effects of #Covid19 #sorrynotsorry ,2020-03-21 16:36:58+00:00,0,0,#Covid19 #sorrynotsorry,Mumbai,90 of them are Running to UP One of the positive Effects of Covid19 sorrynotsorry,"[{'score': 0.590398, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,1.0,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 16:28:35+00:00,7,31,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Since we know its a crisis over #Covid19 &amp; hand sanitizers are out of stock from the market so @narendramodi ji being a chemist &amp; responsible citizen of my country i am making it in my lab &amp; distributing it free of cost. I request all chemists to come forward for it @PMOIndia,2020-03-21 16:15:35+00:00,1,7,#Covid19,Mumbai,Since we know its a crisis over Covid19 amp hand sanitizers are out of stock from the market so ji being a chemist amp responsible citizen of my country i am making it in my lab amp distributing it free of cost I request all chemists to come forward for it,[],,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 16:05:38+00:00,0,1,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 15:54:43+00:00,0,1,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"Curfew of the people, by the people, for the people to fight #COVID19. As a responsible citizen, come forward &amp; respond to PM @narendramodi’s call for Janta Curfew by taking the ‘I Support Janta Curfew” pledge. #IndiaFightsCorona",2020-03-21 15:33:28+00:00,0,0,#COVID19 #IndiaFightsCorona,Mumbai,Curfew of the people by the people for the people to fight COVID19 As a responsible citizen come forward amp respond to PM s call for Janta Curfew by taking the I Support Janta Curfew pledge IndiaFightsCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
#COVID19 Select coming from abroad have started to take paracetamol pills to get their body temperature down; to pass through thermal screening at Airports. Such idiots should be in prison..Let's all pray to tide over this pandemic at the earliest @drharshvardhan @PMOIndia,2020-03-21 15:25:22+00:00,0,2,#COVID19,Mumbai,COVID19 Select coming from abroad have started to take paracetamol pills to get their body temperature down to pass through thermal screening at Airports Such idiots should be in prison Let s all pray to tide over this pandemic at the earliest,[],,,,,,,
