Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,analytical,sadness,tentative,fear,anger
Dead Muslim man denied burial by four Muslim Graveyards. Receives a burial at Hindu graveyard. Such news will not be published by mainstream media #COVID19 #coronavirus #lockdown #LockdownExtended #lockdown2020 #Lockdown5point0 #lockdownextension https://www.newindianexpress.com/states/telangana/2020/may/27/muslim-mans-final-journey-turns-arduous-laid-to-rest-in-hindu-cemetery-in-telangana-2148449.amp?__twitter_impression=true,2020-05-30 17:49:21+00:00,1,1,#COVID19 #coronavirus #lockdown #LockdownExtended #lockdown2020 #Lockdown5point0 #lockdownextension,Mumbai,Dead Muslim man denied burial by four Muslim Graveyards Receives a burial at Hindu graveyard Such news will not be published by mainstream media COVID19 coronavirus lockdown LockdownExtended lockdown2020 Lockdown5point0 lockdownextension,[],,,,,,,
What are the chances that the vaccine wll be of Chinese origin? #covid19,2020-05-30 17:44:03+00:00,0,0,#covid19,Mumbai,What are the chances that the vaccine wll be of Chinese origin covid19,[],,,,,,,
This pharmaceutical giant can make a breakthrough let's keep the hopes on the hope shown by pfizer. #COVID19 #Pfizer #vaccine #FightagainstCoronavirus #pharmaindustry #disruption #technology #healthcare,2020-05-30 17:25:57+00:00,1,1,#COVID19 #Pfizer #vaccine #FightagainstCoronavirus #pharmaindustry #disruption #technology #healthcare,Mumbai,This pharmaceutical giant can make a breakthrough let s keep the hopes on the hope shown by pfizer COVID19 Pfizer vaccine FightagainstCoronavirus pharmaindustry disruption technology healthcare,"[{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
@AnilKapoor sir this is getting viral on social media what's your take on this just wanted to know how you handle this kind of things #lockdown #COVID19 #coronavirus,2020-05-30 17:21:43+00:00,1,1,#lockdown #COVID19 #coronavirus,Mumbai,sir this is getting viral on social media what s your take on this just wanted to know how you handle this kind of things lockdown COVID19 coronavirus,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"The exclusive coverage of ""States Recovering from COVID-19"" by the ""Black & White"" team. Releasing tomorrow. Stay Tuned. #learners #internationalschool #igsceinternational #covid19 #india #savingcountry #garodiaeducation #giclm",2020-05-30 17:08:39+00:00,0,2,#learners #internationalschool #igsceinternational #covid19 #india #savingcountry #garodiaeducation #giclm,Mumbai,The exclusive coverage of States Recovering from COVID 19 by the Black White team Releasing tomorrow Stay Tuned learners internationalschool igsceinternational covid19 india savingcountry garodiaeducation giclm,[],,,,,,,
Yesterday we had a session with one of the popular #RJ of @FeverFMOfficial @RangeeliRuchi and loved her spirit of keeping people engaged n entertained during #COVID19.”Mic On toh Personal life Off” was the take away from that session for any #RJ,2020-05-30 17:00:36+00:00,0,6,#RJ #COVID19 #RJ,Mumbai,Yesterday we had a session with one of the popular RJ of and loved her spirit of keeping people engaged n entertained during COVID19 Mic On toh Personal life Off was the take away from that session for any RJ,"[{'score': 0.618139, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.540225, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
I do not think the US will exit the WHO. However such circumstances can be created so that the all the members countries can pull China out of the WHO. #CoronavirusPandemic #COVID19 @ANI,2020-05-30 16:22:27+00:00,0,2,#CoronavirusPandemic #COVID19,Mumbai,I do not think the US will exit the WHO However such circumstances can be created so that the all the members countries can pull China out of the WHO CoronavirusPandemic COVID19,"[{'score': 0.87565, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Ward wise growth of new #Covid19 cases in Mumbai. The most significant rise seems to be coming from outer areas. Though the highest numbers may not be necessarily from these areas. @ndtv @ndtvindia,2020-05-30 16:12:13+00:00,0,3,#Covid19,Mumbai,Ward wise growth of new Covid19 cases in Mumbai The most significant rise seems to be coming from outer areas Though the highest numbers may not be necessarily from these areas,"[{'score': 0.516953, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.789303, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,1.0,,
30 day's to win over #covid19 #Lockdown5 @PMOIndia @CMOMaharashtra @PuneCityPolice @collectorpune1 @COVIDNewsByMIB @IHSgov,2020-05-30 15:57:13+00:00,0,0,#covid19 #Lockdown5,Mumbai,30 day s to win over covid19 Lockdown5,"[{'score': 0.771324, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Indian Opposition is losing it.... Comments against #unlockone seem so shallow and without thought ! And on the other hand @AmitShah highlighted need for a united fight against #COVID19 ! Just shows difference in attitude ! #India,2020-05-30 15:51:16+00:00,0,0,#unlockone #COVID19 #India,Mumbai,Indian Opposition is losing it Comments against unlockone seem so shallow and without thought And on the other hand highlighted need for a united fight against COVID19 Just shows difference in attitude India,"[{'score': 0.75152, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
@PMOIndia @narendramodi @AmitShah Great responses on @IndiaToday interview ! Feel really good to have the current Govt at the centre ! particularly through these times! #COVID19 #indiaunitedagainstcovid #COVID19Pandemic,2020-05-30 15:22:21+00:00,0,0,#COVID19 #indiaunitedagainstcovid #COVID19Pandemic,Mumbai,Great responses on interview Feel really good to have the current Govt at the centre particularly through these times COVID19 indiaunitedagainstcovid COVID19Pandemic,"[{'score': 0.764343, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.731735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"Thank You!!!! Protect yourself and others. The onus is on us. Together we will fight #COVID19. ""Stay home and Stay safe "" Regards, *Dr.Swati Desai* (Principal) *Vaishali Patankar* (B. Com Co-ordinator) *Anita Yadav* (http://B.Com Night Co-ordinator) Next",2020-05-30 14:47:06+00:00,0,0,#COVID19,Mumbai,Thank You Protect yourself and others The onus is on us Together we will fight COVID19 Stay home and Stay safe Regards Dr Swati Desai Principal Vaishali Patankar B Com Co ordinator Anita Yadav Night Co ordinator Next,"[{'score': 0.717766, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
one more day for #lockdown phase 4 to end. what's ahead now? phase 5 or something new? what do you guys think? #Mumbai is still the worst affected! #Mumbai #Maharashtra #mirabhayandar #thane #lockdown #CoronavirusLockdown #COVID19 #coronavirus,2020-05-30 14:33:54+00:00,0,0,#lockdown #Mumbai #Mumbai #Maharashtra #mirabhayandar #thane #lockdown #CoronavirusLockdown #COVID19 #coronavirus,Mumbai,one more day for lockdown phase 4 to end what s ahead now phase 5 or something new what do you guys think Mumbai is still the worst affected Mumbai Maharashtra mirabhayandar thane lockdown CoronavirusLockdown COVID19 coronavirus,"[{'score': 0.539235, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
Wearing mask while driving can be extremely dangerous @MoHFW_INDIA @PIBHomeAffairs there must be clarification on the same #COVID19 #Lockdown5 #India #facemask,2020-05-30 14:19:18+00:00,1,1,#COVID19 #Lockdown5 #India #facemask,Mumbai,Wearing mask while driving can be extremely dangerous INDIA there must be clarification on the same COVID19 Lockdown5 India facemask,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.618451, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
#MNCDFrelief donated 100 units of PPE face shields to the @mybmcWardHW team for it's Frontline warriors &amp; swm workers. We also appreciate the efforts of the Assistant Muncipal Commsioner Mr. Vinayak Vispute &amp; team for their aggressive fight against #Covid19 crises. @VVVispute – at BMC H Ward West,2020-05-30 14:06:30+00:00,28,54,#MNCDFrelief #Covid19,Mumbai,MNCDFrelief donated 100 units of PPE face shields to the team for it s Frontline warriors amp swm workers We also appreciate the efforts of the Assistant Muncipal Commsioner Mr Vinayak Vispute amp team for their aggressive fight against Covid19 crises at BMC H Ward West,[],,,,,,,
#Covid19 #Lockdown5 #CoronaUpdates #India 1-No restrictions on inter-state and intro-state movements of persons anf goods 2-State to decide based on its assement @artikashuklaias @oiseaulibre3 @astikkp @Mumbaikhabar9 @AUThackeray,2020-05-30 13:46:43+00:00,2,1,#Covid19 #Lockdown5 #CoronaUpdates #India,Mumbai,Covid19 Lockdown5 CoronaUpdates India 1 No restrictions on inter state and intro state movements of persons anf goods 2 State to decide based on its assement,"[{'score': 0.651964, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.851087, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,1.0,,,,
We would like to extend our thanks and Salute to our SuperHeroes @MumbaiPolice @mybmc for serving selflessly on the streets so that we can be safe indoors! #Imaginarium #Covid19 #coronavirus #covid_19india #indiafightscorona #policemen #VocalforLocal #mybmc #MumbaiPolice,2020-05-30 13:33:31+00:00,0,1,#Imaginarium #Covid19 #coronavirus #covid_19india #indiafightscorona #policemen #VocalforLocal #mybmc #MumbaiPolice,Mumbai,We would like to extend our thanks and Salute to our SuperHeroes for serving selflessly on the streets so that we can be safe indoors Imaginarium Covid19 coronavirus covid 19india indiafightscorona policemen VocalforLocal mybmc MumbaiPolice,"[{'score': 0.809841, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
#Covid19 #India #Lockdown5 shall continue in #Containment Zones till #June 30 State authorities to demarcate Containment Zoes (( Received on what’s App)),2020-05-30 13:32:57+00:00,0,0,#Covid19 #India #Lockdown5 #Containment #June,Mumbai,Covid19 India Lockdown5 shall continue in Containment Zones till June 30 State authorities to demarcate Containment Zoes Received on what s App,[],,,,,,,
"And #HealthcareHeroes , workers should not fall to the profit making business models of pvt labs alone, by avoiding regular testing of employees working in #COVID19 #PANDEMIC",2020-05-30 13:21:07+00:00,0,0,#HealthcareHeroes #COVID19 #PANDEMIC,Mumbai,And HealthcareHeroes workers should not fall to the profit making business models of pvt labs alone by avoiding regular testing of employees working in COVID19 PANDEMIC,[],,,,,,,
"Simply denying testing to such employees, as they are not falling in any particular category will be hazardous to society and citizens of Mumbai as Such, It's my sincere request to all pvt labs operating in #MumbaiFightsCovid19 for #COVID19 @CMOMaharashtra @rajeshtope11 @ndtvA",2020-05-30 13:21:06+00:00,0,0,#MumbaiFightsCovid19 #COVID19,Mumbai,Simply denying testing to such employees as they are not falling in any particular category will be hazardous to society and citizens of Mumbai as Such It s my sincere request to all pvt labs operating in MumbaiFightsCovid19 for COVID19,"[{'score': 0.73677, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"Asymptomatic person can also be a source or viral flu like infection, hence I request to @ICMRDELHI to create guidelines for pvt employees in lab, lab technicians,healthcare staff should be tested for the disease #Covid19 on regular basis, @ProfCong @mybmcHealthDept",2020-05-30 13:21:05+00:00,0,0,#Covid19,Mumbai,Asymptomatic person can also be a source or viral flu like infection hence I request to to create guidelines for pvt employees in lab lab technicians healthcare staff should be tested for the disease Covid19 on regular basis,"[{'score': 0.550576, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"Various Healthcare workers are risking their lives by Working for such Pvt labs, these people, lab technicians, sample collection staff are at higher risk of Viral disease , these people should be tested on regular basis, @TOIIndiaNews #Hospital #COVID19 #HealthcareHeroes",2020-05-30 13:21:04+00:00,0,0,#Hospital #COVID19 #HealthcareHeroes,Mumbai,Various Healthcare workers are risking their lives by Working for such Pvt labs these people lab technicians sample collection staff are at higher risk of Viral disease these people should be tested on regular basis Hospital COVID19 HealthcareHeroes,"[{'score': 0.575991, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
8 American 3 Brazilian 3 Indian companies Alpha Design Technologies Pvt. Ltd. Bharat Forge Ltd. &amp; Medha Servo Drives Pvt. Ltd. get licence to manufacture indigenously developed #ventilators for critical #COVID19 patients. @RojerNath @drdineshias,2020-05-30 11:33:47+00:00,7,23,#ventilators #COVID19,Mumbai,8 American 3 Brazilian 3 Indian companies Alpha Design Technologies Pvt Ltd Bharat Forge Ltd amp Medha Servo Drives Pvt Ltd get licence to manufacture indigenously developed ventilators for critical COVID19 patients,[],,,,,,,
A Guide to mask use... #Covid19 #StopTheSpread #StayHome #StaySafe #mask,2020-05-30 11:03:25+00:00,1,2,#Covid19 #StopTheSpread #StayHome #StayHome #StaySafe #mask,Mumbai,A Guide to mask use Covid19 StopTheSpread StayHome StaySafe mask,[],,,,,,,
"MASALA PAVVV! Finally got my masala pav craving satiated! How do you like your masala pav? #foodiesofindia #mumbai #indianfood #spicy #covid19 @Mumbai, Maharashtra https://www.instagram.com/p/CAzyowHpQ7N/?igshid=zhg10ferx3rt",2020-05-30 10:49:15+00:00,0,0,#foodiesofindia #mumbai #indianfood #spicy #covid19,Mumbai,MASALA PAVVV Finally got my masala pav craving satiated How do you like your masala pav foodiesofindia mumbai indianfood spicy covid19 Maharashtra,"[{'score': 0.785972, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Data on #ward wise #COVID19 positive cases &amp; growth rate in #Mumbai as on #May 29. #CoronaUpdates #CoronaVirusUpdates,2020-05-30 10:42:23+00:00,0,0,#ward #COVID19 #Mumbai #May #CoronaUpdates #CoronaVirusUpdates,Mumbai,Data on ward wise COVID19 positive cases amp growth rate in Mumbai as on May 29 CoronaUpdates CoronaVirusUpdates,"[{'score': 0.711462, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#Maharashtra CM @OfficeofUT thank actor #SalmanKhan for distributing sanitizer bottles for police personnel @DeccanHerald #COVID19 #CoronaWarriors #Coronavirus,2020-05-30 10:15:41+00:00,0,1,#Maharashtra #SalmanKhan #COVID19 #CoronaWarriors #Coronavirus,Mumbai,Maharashtra CM thank actor SalmanKhan for distributing sanitizer bottles for police personnel COVID19 CoronaWarriors Coronavirus,[],,,,,,,
"This thread exposes the spin on #Mumbai #covid19 cases. You can convince a few editors at Mayor's bungalow over a chitty chat, but people are buying this. Exodus from Mumbai is real #MaharashtraFightsCorona",2020-05-30 09:16:31+00:00,20,56,#Mumbai #covid19 #MaharashtraFightsCorona,Mumbai,This thread exposes the spin on Mumbai covid19 cases You can convince a few editors at Mayor s bungalow over a chitty chat but people are buying this Exodus from Mumbai is real MaharashtraFightsCorona,[],,,,,,,
Your 6 month moratorium is useless madam! We are into huge loss. #NirmalaSitharaman #COVID19 #IndianEconomy,2020-05-30 09:15:30+00:00,0,0,#NirmalaSitharaman #COVID19 #IndianEconomy,Mumbai,Your 6 month moratorium is useless madam We are into huge loss NirmalaSitharaman COVID19 IndianEconomy,"[{'score': 0.679472, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
https://timesofindia.indiatimes.com/city/mumbai/maharashtra-spitting-smoking-to-bring-6-months-jail-repeat-offence-2-years/articleshow/76101054.cms Sad that it’s taken a #pandemic #COVID19 to ban spitting in #Mumbai - this city is like one big spittoon.,2020-05-30 08:08:00+00:00,1,3,#pandemic #COVID19 #Mumbai,Mumbai,Sad that it s taken a pandemic COVID19 to ban spitting in Mumbai this city is like one big spittoon,"[{'score': 0.583578, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,1.0,,,
@vinayverma99 @RaviScalpel @SukanyaDr #COVID19 is our hottest topic. Look where we stand in achieving global goals in maternal &amp; child nutrition. Scary future.,2020-05-30 06:20:16+00:00,0,2,#COVID19,Mumbai,COVID19 is our hottest topic Look where we stand in achieving global goals in maternal amp child nutrition Scary future,"[{'score': 0.589821, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Before buying a product #justask Where Was It Made? #BoycottChineseProducts #Covid19,2020-05-30 06:15:28+00:00,0,0,#justask #BoycottChineseProducts #Covid19,Mumbai,Before buying a product justask Where Was It Made BoycottChineseProducts Covid19,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"In last 24 hours, 114 police personnel have tested positive for #Coronavirus in #Maharashtra and 1 personnel has died due to the virus. The total number of #COVID19 infected personnel is now 2,325 in the state and 26 have died so far: #MaharashtraPolice",2020-05-30 05:38:08+00:00,1,1,#Coronavirus #Maharashtra #COVID19 #MaharashtraPolice,Mumbai,In last 24 hours 114 police personnel have tested positive for Coronavirus in Maharashtra and 1 personnel has died due to the virus The total number of COVID19 infected personnel is now 2 325 in the state and 26 have died so far MaharashtraPolice,"[{'score': 0.643948, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
49 new #COVID19 positive cases have been reported in the state till 10:30 am today; taking the total number of cases to 8414. Death toll stands at 185 after one death was reported today: #Rajasthan Health Department,2020-05-30 05:32:18+00:00,0,1,#COVID19 #Rajasthan,Mumbai,49 new COVID19 positive cases have been reported in the state till 10 30 am today taking the total number of cases to 8414 Death toll stands at 185 after one death was reported today Rajasthan Health Department,"[{'score': 0.520338, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
#Covid19 #Maharashtra @DGPMaharashtra Positive cases #Mumbai @MumbaiPolice Active Cases- 1330 175 officers and 1155 men Dead- 26 Attack on #HealthcareHeroes 43 #Doctors #Nurses #Police injured 86 @docbhooshan @WHO @doctorsoumya @AUThackeray @AnilDeshmukhNCP @Mumbaikhabar9,2020-05-30 05:15:51+00:00,4,2,#Covid19 #Maharashtra #Mumbai #HealthcareHeroes #Doctors #Nurses #Police,Mumbai,Covid19 Maharashtra Positive cases Mumbai Active Cases 1330 175 officers and 1155 men Dead 26 Attack on HealthcareHeroes 43 Doctors Nurses Police injured 86,"[{'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
#Odisha reports 96 new #COVID19 positive cases; taking the total number of cases to 1819. Active cases stand at 833: State Health Department. ,2020-05-30 04:59:46+00:00,0,0,#Odisha #COVID19,Mumbai,Odisha reports 96 new COVID19 positive cases taking the total number of cases to 1819 Active cases stand at 833 State Health Department,"[{'score': 0.720015, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
Personnel engaged at work / supervising to wear complete PPE (noticed individuals without helmet). Face masks too is compulsory. #COVID19,2020-05-30 04:20:33+00:00,3,2,#COVID19,Mumbai,Personnel engaged at work supervising to wear complete PPE noticed individuals without helmet Face masks too is compulsory COVID19,[],,,,,,,
"Highest spike of 7,964 new #COVID19 cases and 265 deaths in the last 24 hours in #India. Total number of cases in the country now at 1,73,763 including 86422 active cases, 82370 cured/discharged/migrated and 4971 deaths: Ministry of Health and Family Welfare",2020-05-30 03:53:55+00:00,0,0,#COVID19 #India,Mumbai,Highest spike of 7 964 new COVID19 cases and 265 deaths in the last 24 hours in India Total number of cases in the country now at 1 73 763 including 86422 active cases 82370 cured discharged migrated and 4971 deaths Ministry of Health and Family Welfare,[],,,,,,,
#IMPORTANT #COVID19 #Monsoon plan in #Mumbai &amp; #Maharashtra Massive plan in place @DeccanHerald,2020-05-30 01:10:26+00:00,3,2,#IMPORTANT #COVID19 #Monsoon #Mumbai #Maharashtra,Mumbai,IMPORTANT COVID19 Monsoon plan in Mumbai amp Maharashtra Massive plan in place,[],,,,,,,
@projectmumbai1 is providing an essential service as well. Giving the much needed direction &amp; info to the non-covid patients. Please extend the non-covid beds availability information to the adjoining Mira Road - Bhayandar area as well. #Covid19 #lockdown #NonCovid,2020-05-29 19:53:08+00:00,0,0,#Covid19 #lockdown #NonCovid,Mumbai,is providing an essential service as well Giving the much needed direction amp info to the non covid patients Please extend the non covid beds availability information to the adjoining Mira Road Bhayandar area as well Covid19 lockdown NonCovid,"[{'score': 0.794465, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
"1437 new positive cases of #COVID19 &amp; 38 deaths reported today; the total number of positive cases in #Mumbai is now 36,710: Municipal Corporation Greater Mumbai",2020-05-29 18:43:45+00:00,0,0,#COVID19 #Mumbai,Mumbai,1437 new positive cases of COVID19 amp 38 deaths reported today the total number of positive cases in Mumbai is now 36 710 Municipal Corporation Greater Mumbai,"[{'score': 0.833034, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.829999, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
The total number of #COVID19 positive cases in Assam now stands at 1024: #Assam Health Minister Himanta Biswa Sarma,2020-05-29 18:42:33+00:00,0,0,#COVID19 #Assam,Mumbai,The total number of COVID19 positive cases in Assam now stands at 1024 Assam Health Minister Himanta Biswa Sarma,"[{'score': 0.759674, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.783854, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"302 new #COVID19 positive cases and 11 deaths reported in last 24 hours in #Pune district; total in the city reaches 7,314, including 321 deaths.",2020-05-29 18:40:08+00:00,1,2,#COVID19 #Pune,Mumbai,302 new COVID19 positive cases and 11 deaths reported in last 24 hours in Pune district total in the city reaches 7 314 including 321 deaths,"[{'score': 0.624136, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"We have been distributing homoeopathy medicine Ars Alb 30 free of cost as a immunity booster against #Covid19 in Mumbai and vicinity, though we can fulfill requests throughout India.",2020-05-29 18:22:42+00:00,2,3,#Covid19,Mumbai,We have been distributing homoeopathy medicine Ars Alb 30 free of cost as a immunity booster against Covid19 in Mumbai and vicinity though we can fulfill requests throughout India,[],,,,,,,
We have recorded 264 deaths today. Probably the highest single day deaths. #covid19 RIP,2020-05-29 17:10:09+00:00,0,1,#covid19,Mumbai,We have recorded 264 deaths today Probably the highest single day deaths covid19 RIP,"[{'score': 0.840969, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,1.0,1.0,,
"From the PMO to FM Nirmala Sitharaman, Khadi masks are in vogue during Covid-19 https://retail.economictimes.indiatimes.com/news/apparel-fashion/apparel/from-the-pmo-to-fm-nirmala-sitharaman-khadi-masks-are-in-vogue-during-covid-19/76027503 via @EtRetail #Lockdown #Covid19 #Masks #FaceMasks #Khadi #India",2020-05-29 15:51:56+00:00,0,0,#Lockdown #Covid19 #Masks #FaceMasks #Khadi #India,Mumbai,From the PMO to FM Nirmala Sitharaman Khadi masks are in vogue during Covid 19 via Lockdown Covid19 Masks FaceMasks Khadi India,[],,,,,,,
