Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,analytical,confident,tentative,sadness,fear,anger
"optimistic going into the weekend ! clear skies over Mumbai, and a great sunset ! #IndiaFightsCorona #COVID19 ",2020-03-27 13:15:13+00:00,0,114,#IndiaFightsCorona #COVID19,Mumbai,optimistic going into the weekend clear skies over Mumbai and a great sunset IndiaFightsCorona COVID19,"[{'score': 0.849265, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
"#Breaking | After UK PM @BorisJohnson has been tested positive for #Coronavirus, now UK Health Secretary tests positive. #COVID19 Source: Mirror Now",2020-03-27 13:12:57+00:00,0,0,#Breaking #Coronavirus #COVID19,Mumbai,Breaking After UK PM has been tested positive for Coronavirus now UK Health Secretary tests positive COVID19 Source Mirror Now,"[{'score': 0.598458, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
Just stay home and be safe. #CoronaLockdown #coronavirus #21DaysChallenge #Corona #COVID #COVID19 #BeSafe #CoronaAwareness,2020-03-27 13:04:15+00:00,0,0,#CoronaLockdown #coronavirus #21DaysChallenge #Corona #COVID #COVID19 #BeSafe #CoronaAwareness,Mumbai,Just stay home and be safe CoronaLockdown coronavirus 21DaysChallenge Corona COVID COVID19 BeSafe CoronaAwareness,"[{'score': 0.681699, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
@sachin_rt Sir has donated Rs 25 Lakh each to PM's Relief Fund and Maharashtra Chief Minister's Relief Fund to fight the #COVID19 pandemic. (file pic) @IrfanPathan @BCCI @SGanguly99 @MdShami11 @iamyusufpathan @IAmGulshanJahan @IAmMuhdYusuf @IAmMuhdShoaib @HansrajMeena @BBCHindi,2020-03-27 13:00:04+00:00,2,0,#COVID19,Mumbai,rt Sir has donated Rs 25 Lakh each to PM s Relief Fund and Maharashtra Chief Minister s Relief Fund to fight the COVID19 pandemic file pic,[],,,,,,,
For those defending China... It's high time China...the World needs an answer for this #ChineseBioterrorism #ChineseVirus19 #CoronaVillains #COVID19 ,2020-03-27 12:58:54+00:00,0,0,#ChineseBioterrorism #ChineseVirus19 #CoronaVillains #COVID19,Mumbai,For those defending China It s high time China the World needs an answer for this ChineseBioterrorism ChineseVirus19 CoronaVillains COVID19,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
"39 new #COVID19 positive cases reported in Kerala. 34 from Kasargod, 2 from Kannur and one each from Thrissur, Kozhikode, and Kollam. This takes the total positive cases in the state to 176, including 12 discharged patients: Kerala Chief Minister Pinarayi Vijayan",2020-03-27 12:51:20+00:00,0,6,#COVID19,Mumbai,39 new COVID19 positive cases reported in Kerala 34 from Kasargod 2 from Kannur and one each from Thrissur Kozhikode and Kollam This takes the total positive cases in the state to 176 including 12 discharged patients Kerala Chief Minister Pinarayi Vijayan,"[{'score': 0.525941, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.686557, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
So these people are playing cricket near nutan school malad west sv road during lockdown days... @MumbaiPolice #COVID19 #coronavirus – at Nutan High School,2020-03-27 12:34:44+00:00,1,6,#COVID19 #coronavirus,Mumbai,So these people are playing cricket near nutan school malad west sv road during lockdown days COVID19 coronavirus at Nutan High School,[],,,,,,,
Due to various reasons @BPCLimited is unable to supply Domestic Gas Cylinders in Sion &amp; Matunga area because of which people have to step out of their homes to get the cylinders.@dpradhanbjp sir your intervention is needed in this Matter to help stop spread of #Covid19. @MPLodha,2020-03-27 12:22:46+00:00,3,4,#Covid19,Mumbai,Due to various reasons is unable to supply Domestic Gas Cylinders in Sion amp Matunga area because of which people have to step out of their homes to get the cylinders sir your intervention is needed in this Matter to help stop spread of Covid19,"[{'score': 0.593868, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.817313, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,1.0,,
United Kingdom Prime Minister Boris Johnson tests positive for #COVID19 ,2020-03-27 11:58:35+00:00,0,1,#COVID19,Mumbai,United Kingdom Prime Minister Boris Johnson tests positive for COVID19,"[{'score': 0.547399, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
That is horrendous #India we need to look after our own specially the doctors nurses delivery drivers who are doing the nation immense service during #COVID19 times ,2020-03-27 11:48:36+00:00,0,1,#India #COVID19,Mumbai,That is horrendous India we need to look after our own specially the doctors nurses delivery drivers who are doing the nation immense service during COVID19 times,[],,,,,,,
"Quarantine Day 6 .Homebound Take care my dear Friends. Thanks to the Doctors, Nurse's, police and Other Workers for helping us in this situation. Proud To Be an Indian @IndiaToday #StayHomeSaveLives #StayHomeStaySafe #CoronaLockdown #COVID19 #CoronavirusOutbreak",2020-03-27 11:42:19+00:00,0,0,#StayHomeSaveLives #StayHomeStaySafe #CoronaLockdown #COVID19 #CoronavirusOutbreak,Mumbai,Quarantine Day 6 Homebound Take care my dear Friends Thanks to the Doctors Nurse s police and Other Workers for helping us in this situation Proud To Be an Indian StayHomeSaveLives StayHomeStaySafe CoronaLockdown COVID19 CoronavirusOutbreak,"[{'score': 0.788942, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
#BIG_BREAKING United Kingdom Prime Minister Boris Johnson tests positive for #COVID19,2020-03-27 11:32:41+00:00,0,0,#BIG_BREAKING #COVID19,Mumbai,BIG BREAKING United Kingdom Prime Minister Boris Johnson tests positive for COVID19,"[{'score': 0.80026, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
BREAKING: UK Prime Minister @BorisJohnson tests positive for #COVID19 #CoronavirusOutbreak,2020-03-27 11:29:33+00:00,5,92,#COVID19 #CoronavirusOutbreak,Mumbai,BREAKING UK Prime Minister tests positive for COVID19 CoronavirusOutbreak,"[{'score': 0.874372, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
"All real freedom risks crime. Indeed, freedom *is* crime, because it thinks first of itself and not of the group. #Covid19 #Happyglobe #happyhomoeopathy #52typesofmasti – at Mazagaon",2020-03-27 11:27:25+00:00,0,0,#Covid19 #Happyglobe #happyhomoeopathy #52typesofmasti,Mumbai,All real freedom risks crime Indeed freedom is crime because it thinks first of itself and not of the group Covid19 Happyglobe happyhomoeopathy 52typesofmasti at Mazagaon,"[{'score': 0.839923, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.67368, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,1.0,,,,
"Now, the Prime Minister of UK tests positive for #COVID19",2020-03-27 11:18:43+00:00,0,1,#COVID19,Mumbai,Now the Prime Minister of UK tests positive for COVID19,"[{'score': 0.612848, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
"As you may know, many of our readers are missing receiving ET’s print copy in the past few days due to the #Covid19 outbreak. Snapdeal’s cofounder @1kunalbahl is one among of them, as he wishes for the paper to be back at his doorstep every AM @EconomicTimes",2020-03-27 11:00:04+00:00,16,41,#Covid19,Mumbai,As you may know many of our readers are missing receiving ET s print copy in the past few days due to the Covid19 outbreak Snapdeal s cofounder is one among of them as he wishes for the paper to be back at his doorstep every AM,"[{'score': 0.784105, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
Maharashtra has the highest number of #COVID19 patients. Their numbers have now increased to more than 147. What measures did the government take to prevent this number from rising? What about the Shantidoot in Sangli who spread the disease even when they were irresponsible? ,2020-03-27 10:44:26+00:00,17,36,#COVID19,Mumbai,Maharashtra has the highest number of COVID19 patients Their numbers have now increased to more than 147 What measures did the government take to prevent this number from rising What about the Shantidoot in Sangli who spread the disease even when they were irresponsible,[],,,,,,,
All About 15 April 2020 Must watch #COVID2019 #ChineseVirus #CoronavirusOutbreak #CoronavirusPandemic #CoronavirusOutbreak #COVID #COVID19 #covid19australia #sumeetsuryodhan,2020-03-27 10:06:08+00:00,0,0,#COVID2019 #ChineseVirus #CoronavirusOutbreak #CoronavirusPandemic #CoronavirusOutbreak #COVID #COVID19 #covid19australia #sumeetsuryodhan,Mumbai,All About 15 April 2020 Must watch COVID2019 ChineseVirus CoronavirusOutbreak CoronavirusPandemic CoronavirusOutbreak COVID COVID19 covid19australia sumeetsuryodhan,"[{'score': 0.643246, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
Recommendation no.3 for the #21DaysOfLockdown Travel back in time with one of my recommendations and the other one is created by @sumukhisuresh • It is probably one of the best sitcoms in India. Hope you guys watch it! #Covid19 #21DayLockdown #Lockdown #StayHome #coronavirus – at Prabhadevi,2020-03-27 09:55:54+00:00,0,7,#21DaysOfLockdown #Covid19 #21DayLockdown #Lockdown #StayHome #StayHome #coronavirus,Mumbai,Recommendation no 3 for the 21DaysOfLockdown Travel back in time with one of my recommendations and the other one is created by It is probably one of the best sitcoms in India Hope you guys watch it Covid19 21DayLockdown Lockdown StayHome coronavirus at Prabhadevi,"[{'score': 0.811052, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"""In a #COVID19 pandemic, self-isolation is called quarantine. But, in Buddhism, it is called retreat. From the cave of our home, like the meditators of ancient times, we can consciously kindle the lamp of compassion and connection."" - Lama Willa Miller",2020-03-27 09:37:54+00:00,0,0,#COVID19,Mumbai,In a COVID19 pandemic self isolation is called quarantine But in Buddhism it is called retreat From the cave of our home like the meditators of ancient times we can consciously kindle the lamp of compassion and connection Lama Willa Miller,[],,,,,,,
"#COVID19 #Lockdown21 | @TataMotors has decided to extend the last date, for customers whose OE warranty and free service period (not kms.) are due to expire between 15th March, 2020 and 31st May, 2020, to 31st July, 2020.",2020-03-27 09:31:33+00:00,1,2,#COVID19 #Lockdown21,Mumbai,COVID19 Lockdown21 has decided to extend the last date for customers whose OE warranty and free service period not kms are due to expire between 15th March 2020 and 31st May 2020 to 31st July 2020,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
"Don't throw used mask and hand gloves in the dustbin. Pack it properly then disposed it off. Otherwise it can affect heathy people along with your bai/house maid, sweeper and watchmen too...be alert... be safe #corona #COVID19",2020-03-27 09:27:57+00:00,0,0,#corona #COVID19,Mumbai,Don t throw used mask and hand gloves in the dustbin Pack it properly then disposed it off Otherwise it can affect heathy people along with your bai house maid sweeper and watchmen too be alert be safe corona COVID19,[],,,,,,,
"Thanks Kamal. We all need to show #resilience, #resolve and #restrain in this fight against #covid19 with #humanity4.0",2020-03-27 09:27:03+00:00,3,5,#resilience #resolve #restrain #covid19 #humanity4,Mumbai,Thanks Kamal We all need to show resilience resolve and restrain in this fight against covid19 with humanity4 0,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
"Yes I’m horrible but I shall smile widely when this fat ugly fart uncouth female sloth tests positive for #COVID19 n is thrown in quarantine.udhar jhadu potta kya,apni potty bhi khud saaf karni hogi .only fuckup - she might infect others ",2020-03-27 09:26:14+00:00,0,1,#COVID19,Mumbai,Yes I m horrible but I shall smile widely when this fat ugly fart uncouth female sloth tests positive for COVID19 n is thrown in quarantine udhar jhadu potta kya apni potty bhi khud saaf karni hogi only fuckup she might infect others,[],,,,,,,
" सवाल जनतेचा #CoronaLockdown #coronavirus #COVID19 Unanswered Question Where are Indian #Social Servant ? In such crises their #SocialDistancingNow hearting common man. Society is waiting for them to make Vegetable,Grain distribution arrangements not free atleast paid",2020-03-27 09:25:44+00:00,0,0,#CoronaLockdown #coronavirus #COVID19 #Social #SocialDistancingNow,Mumbai,CoronaLockdown coronavirus COVID19 Unanswered Question Where are Indian Social Servant In such crises their SocialDistancingNow hearting common man Society is waiting for them to make Vegetable Grain distribution arrangements not free atleast paid,"[{'score': 0.67103, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
#COVID19 #Lockdown21 | @Mahindra_Auto assures uninterrupted service through #withyouhamesha,2020-03-27 09:22:54+00:00,0,1,#COVID19 #Lockdown21 #withyouhamesha,Mumbai,COVID19 Lockdown21 Auto assures uninterrupted service through withyouhamesha,"[{'score': 0.898327, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
Dear @HPCL we all know that we have to stay home thanks to #COVID19. However what about supply of #LPG cylinders to households? Shouldn't this be a part of #EssentialGoods? What happens to our online orders if local gas agency is shut? @PMOIndia,2020-03-27 08:43:18+00:00,1,3,#COVID19 #LPG #EssentialGoods,Mumbai,Dear we all know that we have to stay home thanks to COVID19 However what about supply of LPG cylinders to households Shouldn t this be a part of EssentialGoods What happens to our online orders if local gas agency is shut,"[{'score': 0.660245, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,,,,
"@creativecloud Can you please extend the payment deadline to next month? I'm trying best to do the payment if only my clients won't delay anymore... Too tough for freelancers, so requesting being a loyal @Adobe customer. #COVID19 #coronavirus #CoronaLockdown",2020-03-27 08:42:39+00:00,0,0,#COVID19 #coronavirus #CoronaLockdown,Mumbai,Can you please extend the payment deadline to next month I m trying best to do the payment if only my clients won t delay anymore Too tough for freelancers so requesting being a loyal customer COVID19 coronavirus CoronaLockdown,"[{'score': 0.685835, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Third COVID-19 death in Karnataka, 65-year old man who tested positive for coronavirus dies in Tumakuru district: Govt official #COVID19 #COVIDIDIOT Source: PTI",2020-03-27 08:15:06+00:00,0,0,#COVID19 #COVIDIDIOT,Mumbai,Third COVID 19 death in Karnataka 65 year old man who tested positive for coronavirus dies in Tumakuru district Govt official COVID19 COVIDIDIOT Source PTI,"[{'score': 0.860724, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,1.0,,
"@JajpurAdmn @spjajpur @CharanMeena_IPS Both Sir's doing great Job.. #IndiaFightsCorona Take protective measures to protect yourself and your loved ones. Because, together we can fight. #COVID19. #CoronaOutbreak #SwasthaBharat #HealthForAll",2020-03-27 08:08:34+00:00,0,0,#IndiaFightsCorona #COVID19 #CoronaOutbreak #SwasthaBharat #HealthForAll,Mumbai,IPS Both Sir s doing great Job IndiaFightsCorona Take protective measures to protect yourself and your loved ones Because together we can fight COVID19 CoronaOutbreak SwasthaBharat HealthForAll,"[{'score': 0.766646, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
China is responsible for loss of millions of people around the They have hidden the outbreak from @WHO and later on when it started spreading like wildfire they have informed the entire world #CoronaVillains #coronavirus #CoronaLockdown #coronavirusindia #COVID2019 #COVID19,2020-03-27 08:04:20+00:00,0,3,#CoronaVillains #coronavirus #CoronaLockdown #coronavirusindia #COVID2019 #COVID19,Mumbai,China is responsible for loss of millions of people around the They have hidden the outbreak from and later on when it started spreading like wildfire they have informed the entire world CoronaVillains coronavirus CoronaLockdown coronavirusindia COVID2019 COVID19,"[{'score': 0.703432, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Its time to show love for your family , your country , the world and for humanity. . . Please stay indoors #SocialDistancing #CoronaVirus #covıd19 Support the government and their guidelines @mybmc @narendramodi @CPMumbaiPolice @MumbaiPolice",2020-03-27 07:54:57+00:00,0,0,#SocialDistancing #CoronaVirus #cov,Mumbai,Its time to show love for your family your country the world and for humanity Please stay indoors SocialDistancing CoronaVirus cov d19 Support the government and their guidelines,"[{'score': 0.625269, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"6 new positive cases of #Covid19 in TN, 2 family contacts from #MDU #CN12, 2 contacts from #Erode CN5,6 ,1 contact of CN14 of Chennai, 1 25yr old fem, resident of chennai, admitted in Ariyalur GH reported positive #TN_together_AgainstCorona , making the total tally to 35 so far.",2020-03-27 07:53:49+00:00,0,0,#Covid19 #MDU #CN12 #Erode #TN_together_AgainstCorona,Mumbai,6 new positive cases of Covid19 in TN 2 family contacts from MDU CN12 2 contacts from Erode CN5 6 1 contact of CN14 of Chennai 1 25yr old fem resident of chennai admitted in Ariyalur GH reported positive TN together AgainstCorona making the total tally to 35 so far,"[{'score': 0.636585, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.697058, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
All about today #uran @TV9Marathi @News18lokmat @news @ABPNews @bbcnewsmarathi #lockdown #IndiaFightsCorona #COVID19 #coronavirus #India,2020-03-27 07:41:39+00:00,1,1,#uran #lockdown #IndiaFightsCorona #COVID19 #coronavirus #India,Mumbai,All about today uran lockdown IndiaFightsCorona COVID19 coronavirus India,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
( #Covid19 )#NovelCoronavirus is definitely a #ChineseVirus . I think @POTUS should put the strong sanctions against #China as well as the @UN should make them Accountable for the disaster they bring to the world.,2020-03-27 07:41:11+00:00,0,0,#Covid19 #NovelCoronavirus #ChineseVirus #China,Mumbai,Covid19 NovelCoronavirus is definitely a ChineseVirus I think should put the strong sanctions against China as well as the should make them Accountable for the disaster they bring to the world,"[{'score': 0.626078, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.633185, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,1.0,,,,,
