Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,tentative,analytical,confident,sadness,anger,fear
"""Advent of #COVID19 has led to a peculiar scenario- those who can otherwise afford private healthcare are now relying on Govt facilities to be quarantined &amp; tested. It took a pandemic like COVID-19 for some to realise what most of India has been dealing with for decades"" Read ",2020-03-23 07:56:31+00:00,0,0,#COVID19,Delhi,Advent of COVID19 has led to a peculiar scenario those who can otherwise afford private healthcare are now relying on Govt facilities to be quarantined amp tested It took a pandemic like COVID 19 for some to realise what most of India has been dealing with for decades Read,"[{'score': 0.717099, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.536673, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
Stay at home be safe. #COVID19 #Covid19India,2020-03-23 07:46:04+00:00,0,2,#COVID19 #Covid19India,Delhi,Stay at home be safe COVID19 Covid19India,"[{'score': 0.801827, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
So ..the deal for #corona antidote with China is done! US might have trumped China in #TradeWar but China decimated US in this #BiologicalWar !! #COVID19 #CoronavirusPandemic @realDonaldTrump @XHNews It's all Win-Win for China from here on! Keep counting fellas,2020-03-23 07:25:13+00:00,0,0,#corona #TradeWar #BiologicalWar #COVID19 #CoronavirusPandemic,Delhi,So the deal for corona antidote with China is done US might have trumped China in TradeWar but China decimated US in this BiologicalWar COVID19 CoronavirusPandemic It s all Win Win for China from here on Keep counting fellas,"[{'score': 0.624106, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"In a small city like Chandigarh alone, 7 people have tested positive for #COVID19",2020-03-23 07:19:31+00:00,1,4,#COVID19,Delhi,In a small city like Chandigarh alone 7 people have tested positive for COVID19,"[{'score': 0.641778, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
One of the best picture on the net today .... Hats off Bow down .... #salute to the medical persons working tirelessly day and night to fight. #covid_19 #covıd19 @Sector 15 https://www.instagram.com/p/B-EUL7lBM4z/?igshid=1dkclvl64une5,2020-03-23 07:16:05+00:00,0,0,#salute #covid_19 #cov,Delhi,One of the best picture on the net today Hats off Bow down salute to the medical persons working tirelessly day and night to fight covid 19 cov d19 15,"[{'score': 0.666888, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
How can we stop #COVIDIOTS or complain against them to stop spreading #COVID19 ? Please assist.,2020-03-23 07:11:57+00:00,0,1,#COVIDIOTS #COVID19,Delhi,How can we stop COVIDIOTS or complain against them to stop spreading COVID19 Please assist,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
#verma stay home #covıd19 use status on ur pic or tag me @attitudestatus0 Tag your friends or shear Follow Second Acount @bnw_quote *___#___* *___#___* #attitude_status_hindi_english *....#....* #newedition… https://www.instagram.com/p/B-ETe5phTlI/?igshid=tmmashs07w89,2020-03-23 07:10:15+00:00,0,1,#verma #cov #attitude_status_hindi_english #newedition,Delhi,verma stay home cov d19 use status on ur pic or tag me Tag your friends or shear Follow Second Acount quote attitude status hindi english newedition,"[{'score': 0.698904, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
Day 4 of quarantine - Bengalis have turned to Borolene. #covid19 #QuarantineActivities #Quarantine,2020-03-23 07:05:50+00:00,0,0,#covid19 #QuarantineActivities #Quarantine,Delhi,Day 4 of quarantine Bengalis have turned to Borolene covid19 QuarantineActivities Quarantine,[],,,,,,,
A very good illustration to explain the #COVID19 spread. Don't be B. Stay inside and stop corona from spreading. #COVID19outbreak #Covid19India #StayHomeSaveLives,2020-03-23 06:42:53+00:00,4,3,#COVID19 #COVID19outbreak #Covid19India #StayHomeSaveLives,Delhi,A very good illustration to explain the COVID19 spread Don t be B Stay inside and stop corona from spreading COVID19outbreak Covid19India StayHomeSaveLives,"[{'score': 0.560944, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.663387, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
"#Covid19 is a message to humanity to shed their egos and be humble. The world's most powerful have been humbled by something, which is invisible. It has brought the world down to its knees. In reality, coronavirus is the ego inside each one of us. #StayPositive #BeHumble",2020-03-23 06:37:29+00:00,0,2,#Covid19 #StayPositive #BeHumble,Delhi,Covid19 is a message to humanity to shed their egos and be humble The world s most powerful have been humbled by something which is invisible It has brought the world down to its knees In reality coronavirus is the ego inside each one of us StayPositive BeHumble,"[{'score': 0.53378, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Robust #supplychains could prevent #panicbuying during the times of a pandemic. My friend @bharatjoshi_ writes in @EconomicTimes today. #COVID19 ,2020-03-23 06:06:28+00:00,1,4,#supplychains #panicbuying #COVID19,Delhi,Robust supplychains could prevent panicbuying during the times of a pandemic My friend writes in today COVID19,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
#covid19 in my channel ,2020-03-23 06:02:43+00:00,0,10,#covid19,Delhi,covid19 in my channel,[],,,,,,,
The Fight against CoronaVirus has started begins with self care and professional growth at the same time.We have to fight with #Covid19India together. STAY HOME ! STAY SAFE ! WORK FORM HOME #Profshinetech #coronavirusindia #CoronaVirusUpdates #COVID19 #LockdownNow #SafeAtHome,2020-03-23 05:54:23+00:00,0,2,#Covid19India #Profshinetech #coronavirusindia #CoronaVirusUpdates #COVID19 #LockdownNow #SafeAtHome,Delhi,The Fight against CoronaVirus has started begins with self care and professional growth at the same time We have to fight with Covid19India together STAY HOME STAY SAFE WORK FORM HOME Profshinetech coronavirusindia CoronaVirusUpdates COVID19 LockdownNow SafeAtHome,"[{'score': 0.559968, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.731735, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
"Coronavirus Disease (COVID-19) :Symptoms, Tips to Prevent, Read this https://bit.ly/2QGDv4u : : #CoronavirusDiseas #COVID19 #Covid_19india #COVIDIOTS #COVIDー19 @Delhi, India https://www.instagram.com/p/B-EKdONFXCM/?igshid=1voknp6owbmvk",2020-03-23 05:51:04+00:00,0,0,#CoronavirusDiseas #COVID19 #Covid_19india #COVIDIOTS #COVID,Delhi,Coronavirus Disease COVID 19 Symptoms Tips to Prevent Read this CoronavirusDiseas COVID19 Covid 19india COVIDIOTS COVID 19 India,[],,,,,,,
"#CoronVirusUpdate As on 23 Mar 10AM, 415 individuals confirmed positive A total of 18,383 samples from 17,493 individuals have been tested so far:ICMR #Covid19 #IndiaFightsCorona",2020-03-23 05:25:45+00:00,1,1,#CoronVirusUpdate #Covid19 #IndiaFightsCorona,Delhi,CoronVirusUpdate As on 23 Mar 10AM 415 individuals confirmed positive A total of 18 383 samples from 17 493 individuals have been tested so far ICMR Covid19 IndiaFightsCorona,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.773514, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
Legal action against who violate lockdown: Central Govt #COVID19 https://twitter.com/sidhant/status/1241956661830414338,2020-03-23 05:25:05+00:00,64,143,#COVID19,Delhi,Legal action against who violate lockdown Central Govt COVID19,[],,,,,,,
Am sure at this time the director of PGIMS has more imp things to do -like saving the lives of people instead of tolerating the tantrums of #kanikakapur and wasting time explaining about the vip treatment n gluten free food being provided to her #Covid_19india #COVID19 @ABPNews,2020-03-23 04:48:46+00:00,0,0,#kanikakapur #Covid_19india #COVID19,Delhi,Am sure at this time the director of PGIMS has more imp things to do like saving the lives of people instead of tolerating the tantrums of kanikakapur and wasting time explaining about the vip treatment n gluten free food being provided to her Covid 19india COVID19,"[{'score': 0.666279, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,,,,,1.0,
I try to give some tips for managing #anxiety in #LockdownNow in Hindi #delhilockdown #coronavirus #covid19 ,2020-03-23 04:18:02+00:00,0,0,#anxiety #LockdownNow #delhilockdown #coronavirus #covid19,Delhi,I try to give some tips for managing anxiety in LockdownNow in Hindi delhilockdown coronavirus covid19,"[{'score': 0.799922, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.798791, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,1.0
"What is the logic beind locking down the country till March 31, why only till 31 it could also have been March 27 or April 3? #COVID19 #CoronaVirus @MoHFW_INDIA",2020-03-23 03:48:01+00:00,0,0,#COVID19 #CoronaVirus,Delhi,What is the logic beind locking down the country till March 31 why only till 31 it could also have been March 27 or April 3 COVID19 CoronaVirus INDIA,"[{'score': 0.664718, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
@imSU31 Ghanta Bazao #COVIDIOTS Banao #COVID19 Bhagao what a fantastic way to fight corona virus ,2020-03-23 03:44:30+00:00,0,0,#COVIDIOTS #COVID19,Delhi,Ghanta Bazao COVIDIOTS Banao COVID19 Bhagao what a fantastic way to fight corona virus,"[{'score': 0.735368, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
If we think that #coronavirus has just pushed us under temporary lockdown and life will be normal after 2 weeks then we are either #rambharose or #covididiots. We will have to device methods to live with it. It's still 18months for #covid19 #vaccine,2020-03-23 03:13:54+00:00,1,4,#coronavirus #rambharose #covididiots #covid19 #vaccine,Delhi,If we think that coronavirus has just pushed us under temporary lockdown and life will be normal after 2 weeks then we are either rambharose or covididiots We will have to device methods to live with it It s still 18months for covid19 vaccine,"[{'score': 0.722274, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.521892, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,1.0,,,,
ICMR: List of Operational Laboratories for #COVID19 testing. ,2020-03-23 03:10:37+00:00,0,2,#COVID19,Delhi,ICMR List of Operational Laboratories for COVID19 testing,"[{'score': 0.805728, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Teach your child in this crisis times that change in inevitable. How we as parents react makes a difference as they look at us to Make sense of situation . What better way to deal this crisis together as family @MohammadKaif #CoronaVirus #COVID2019 #COVID19 #coronavirusindia,2020-03-23 03:00:01+00:00,0,0,#CoronaVirus #COVID2019 #COVID19 #coronavirusindia,Delhi,Teach your child in this crisis times that change in inevitable How we as parents react makes a difference as they look at us to Make sense of situation What better way to deal this crisis together as family CoronaVirus COVID2019 COVID19 coronavirusindia,"[{'score': 0.597565, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Shout out to all the doctors and medical staff all over the world. You are the real HEROES #COVID19 #coronavirus,2020-03-23 02:57:08+00:00,0,1,#COVID19 #coronavirus,Delhi,Shout out to all the doctors and medical staff all over the world You are the real HEROES COVID19 coronavirus,"[{'score': 0.907648, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.599421, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
#Delhi: Chief Minister Arvind Kejriwal has announced a lockdown in the state from 6 AM today till 31st March in view of #COVID19. Visuals from Rajpath. @Delhi https://www.instagram.com/p/B-DvaG3lcBb/?igshid=gf0t697qqdvh,2020-03-23 01:54:42+00:00,0,1,#Delhi #COVID19,Delhi,Delhi Chief Minister Arvind Kejriwal has announced a lockdown in the state from 6 AM today till 31st March in view of COVID19 Visuals from Rajpath,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
ICMR: List of Operational Laboratories for #COVID19 testing. ,2020-03-23 01:48:00+00:00,1613,4081,#COVID19,Delhi,ICMR List of Operational Laboratories for COVID19 testing,"[{'score': 0.805728, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
China must face the payback from world due to hiding the information about #COVID19 ..They are never trust worthy..,2020-03-23 01:33:45+00:00,0,2,#COVID19,Delhi,China must face the payback from world due to hiding the information about COVID19 They are never trust worthy,"[{'score': 0.793846, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
See these . How could we fight #covid19 when we have many #COVIDIOTS in our country Lawless indiscipline are trademarks of some. Don't blame #JantaCurfew @narendramodi for this,2020-03-23 01:15:03+00:00,0,0,#covid19 #COVIDIOTS #JantaCurfew,Delhi,See these How could we fight covid19 when we have many COVIDIOTS in our country Lawless indiscipline are trademarks of some Don t blame JantaCurfew for this,"[{'score': 0.698904, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
May god stop his fury over Italy. My prayers with the people of Italy. It shall pass. #COVIDItaly #COVID19,2020-03-22 23:40:07+00:00,0,0,#COVIDItaly #COVID19,Delhi,May god stop his fury over Italy My prayers with the people of Italy It shall pass COVIDItaly COVID19,"[{'score': 0.651602, 'tone_id': 'anger', 'tone_name': 'Anger'}, {'score': 0.525007, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,1.0,
"What is coronavirus, how did it start and could the outbreak grow bigger?' | #COVID19 via @telegraph https://www.telegraph.co.uk/news/2020/03/22/what-coronavirus-how-outbreak-start-pandemic-covid-19/",2020-03-22 23:14:23+00:00,0,0,#COVID19,Delhi,What is coronavirus how did it start and could the outbreak grow bigger COVID19 via,"[{'score': 0.647986, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
"Dynamics of #COVID19, when relapses aren't discounted. ",2020-03-22 23:07:37+00:00,0,0,#COVID19,Delhi,Dynamics of COVID19 when relapses aren t discounted,[],,,,,,,
Tag a few billionaires to this tweet. Maybe some one can help. @elonmusk @BillGates @JeffBezos #help #COVID #CoronavirusPandemic #corona #coronavirus #covid19,2020-03-22 21:51:41+00:00,0,9,#help #COVID #CoronavirusPandemic #corona #coronavirus #covid19,Delhi,Tag a few billionaires to this tweet Maybe some one can help help COVID CoronavirusPandemic corona coronavirus covid19,"[{'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,1.0,,,,,
Which one is he goin’ to concentrate on: Unstable economy? Insurgency? Or #covid19? Nigeria is a terrific country and leading this country isn’t a cakewalk. At this time we should join hands and fight this common enemy(corona) later we’ll then start playing game of opposition.,2020-03-22 21:13:07+00:00,1,7,#covid19,Delhi,Which one is he goin to concentrate on Unstable economy Insurgency Or covid19 Nigeria is a terrific country and leading this country isn t a cakewalk At this time we should join hands and fight this common enemy corona later we ll then start playing game of opposition,"[{'score': 0.584783, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
Charity is a very personal equation. Like we say charity begins at home. It starts with your immediate help in the house: people who work for you. #nopaycut #paidleave #noworkfromhome #justfightpandemic #covid19 #coronavirusoutbreakindia #prayfortheworld,2020-03-22 20:58:46+00:00,1,1,#nopaycut #paidleave #noworkfromhome #justfightpandemic #covid19 #coronavirusoutbreakindia #prayfortheworld,Delhi,Charity is a very personal equation Like we say charity begins at home It starts with your immediate help in the house people who work for you nopaycut paidleave noworkfromhome justfightpandemic covid19 coronavirusoutbreakindia prayfortheworld,"[{'score': 0.623411, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"The city will go on complete lockdown from tomorrow March 23rd, 2020 06:00 am till March 31st, 2020 midnight 12:00 am. Swipe left to see complete order . . #stayhomestaysafe #socialdistancing #humanvsvirus #COVID19outbreak #COVID19 ",2020-03-22 20:28:30+00:00,1,0,#stayhomestaysafe #socialdistancing #humanvsvirus #COVID19outbreak #COVID19,Delhi,The city will go on complete lockdown from tomorrow March 23rd 2020 06 00 am till March 31st 2020 midnight 12 00 am Swipe left to see complete order stayhomestaysafe socialdistancing humanvsvirus COVID19outbreak COVID19,[],,,,,,,
That's how the #covid19 pandemic is in the US now. Time to forget sanctions and join hands with all countries including Iran to defeat this crisis. #newyorklockdown #irancoronavirus #IndiaFightsCOVID19,2020-03-22 20:18:21+00:00,0,2,#covid19 #newyorklockdown #irancoronavirus #IndiaFightsCOVID19,Delhi,That s how the covid19 pandemic is in the US now Time to forget sanctions and join hands with all countries including Iran to defeat this crisis newyorklockdown irancoronavirus IndiaFightsCOVID19,"[{'score': 0.608021, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,,1.0
 has no religion #Covid19,2020-03-22 19:47:17+00:00,0,0,#Covid19,Delhi,has no religion Covid19,[],,,,,,,
"Soak #almond before sleeping at night and eat them in the morning, it will improve your #immunesystem. And it has been proven that soaked almonds have more #benefits . #Grefru #Immunity #coronavirus #defeatcoronavirus #GoCorona #delhilockdown #COVID19 #Infection #Precaution",2020-03-22 19:31:37+00:00,0,5,#almond #immunesystem #benefits #Grefru #Immunity #coronavirus #defeatcoronavirus #GoCorona #delhilockdown #COVID19 #Infection #Precaution,Delhi,Soak almond before sleeping at night and eat them in the morning it will improve your immunesystem And it has been proven that soaked almonds have more benefits Grefru Immunity coronavirus defeatcoronavirus GoCorona delhilockdown COVID19 Infection Precaution,"[{'score': 0.531686, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Hundred percent I’m ridiculous Literate Illiterate they make a mock of the whole idea and purpose of remaining inside we know what is idiotic #covid19 doesn’t ,2020-03-22 19:04:39+00:00,0,0,#covid19,Delhi,Hundred percent I m ridiculous Literate Illiterate they make a mock of the whole idea and purpose of remaining inside we know what is idiotic covid19 doesn t,"[{'score': 0.505061, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.738715, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,1.0,,
"#SemcoCare Personal Protective Products and Equipments available for Worldwide supplies. Fast deliveries. CE, FDA and other certified. #Facemasks #n95mask #Eyewear #protectivesuit #Isolationsuit #covid19 rapid #testkit #gloves WA +9810068590 nks@semcoindia.com",2020-03-22 18:53:17+00:00,4,7,#SemcoCare #Facemasks #n95mask #Eyewear #protectivesuit #Isolationsuit #covid19 #testkit #gloves,Delhi,SemcoCare Personal Protective Products and Equipments available for Worldwide supplies Fast deliveries CE FDA and other certified Facemasks n95mask Eyewear protectivesuit Isolationsuit covid19 rapid testkit gloves WA 9810068590 nks com,"[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,,,,
I Salute to all the people who are working together to save our lives from the #COVID19. I appreciate #PMModi @narendramodi decision #JantaCurfew and lockdown India to fighting against Coronavirus #IndiaFightsCorona stay home stay safe and take care of others. – at Delhi,2020-03-22 18:45:37+00:00,0,1,#COVID19 #PMModi #JantaCurfew #IndiaFightsCorona,Delhi,I Salute to all the people who are working together to save our lives from the COVID19 I appreciate PMModi decision JantaCurfew and lockdown India to fighting against Coronavirus IndiaFightsCorona stay home stay safe and take care of others at Delhi,"[{'score': 0.54384, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.678929, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
Meet 's #COVID19 virtual assistant. @CanadainNepal @CanadainBhutan @CanadainIndia,2020-03-22 18:19:09+00:00,0,1,#COVID19,Delhi,Meet s COVID19 virtual assistant,"[{'score': 0.508499, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Today is #WorldWaterDay. Healthcare facilities need good water, sanitation and hygiene services to contain #COVID19 and prevent and contain future disease outbreaks. @DelhiJalBoard",2020-03-22 18:17:42+00:00,0,0,#WorldWaterDay #COVID19,Delhi,Today is WorldWaterDay Healthcare facilities need good water sanitation and hygiene services to contain COVID19 and prevent and contain future disease outbreaks,[],,,,,,,
"Repeatedly @RahulGandhi mentioned the #Covid19 in the parliament, outside the parliament, everywhere he went. Warned the govt, warned the PM and everyone else on tv n social media. No one took his advice n again the arrogant, mindless leaders of BJP have f****d the ppl again. ",2020-03-22 18:15:45+00:00,1,0,#Covid19,Delhi,Repeatedly mentioned the Covid19 in the parliament outside the parliament everywhere he went Warned the govt warned the PM and everyone else on tv n social media No one took his advice n again the arrogant mindless leaders of BJP have f d the ppl again,"[{'score': 0.528185, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
List of NABL accredited diagnostic labs which have the capacity to conduct #COVID19 tests with reagents as per ICMR guidelines #IndiaFightsCorona,2020-03-22 17:52:13+00:00,13,15,#COVID19 #IndiaFightsCorona,Delhi,List of NABL accredited diagnostic labs which have the capacity to conduct COVID19 tests with reagents as per ICMR guidelines IndiaFightsCorona,[],,,,,,,
There have been a total of 81 new positive cases being reported in a day. On Saturday cases were rising by 50. 81 is the new record of #COVID19 in India #CoronavirusPandemic #LockdownNow,2020-03-22 17:27:02+00:00,3,6,#COVID19 #CoronavirusPandemic #LockdownNow,Delhi,There have been a total of 81 new positive cases being reported in a day On Saturday cases were rising by 50 81 is the new record of COVID19 in India CoronavirusPandemic LockdownNow,"[{'score': 0.801337, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,,1.0,,,
His small pee-brain won’t be able to do the math #IndiaFightsCorona #JantaCurfew #COVID19 #coronaupdatesindia,2020-03-22 17:20:03+00:00,0,0,#IndiaFightsCorona #JantaCurfew #COVID19 #coronaupdatesindia,Delhi,His small pee brain won t be able to do the math IndiaFightsCorona JantaCurfew COVID19 coronaupdatesindia,"[{'score': 0.634818, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"We must all give our leaders maximum support, pray for them and above all, seek divine intervention to pull through #Covid19. May God save us, from us.",2020-03-22 17:17:29+00:00,0,0,#Covid19,Delhi,We must all give our leaders maximum support pray for them and above all seek divine intervention to pull through Covid19 May God save us from us,"[{'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,1.0,1.0,,,
"What happened today in India at 5 pm IST , Is Unprecedented . #CoronaVirus hope you are in Awe of #Humanity because Today we are in Awe of ourselves. !! #indiaclaps #IndiaComeTogether #Covid19",2020-03-22 17:13:07+00:00,0,4,#CoronaVirus #Humanity #indiaclaps #IndiaComeTogether #Covid19,Delhi,What happened today in India at 5 pm IST Is Unprecedented CoronaVirus hope you are in Awe of Humanity because Today we are in Awe of ourselves indiaclaps IndiaComeTogether Covid19,[],,,,,,,
And the prime minister says.. This is just the beginning of a long battle against #COVID19 and there is a long way to go. ,2020-03-22 17:12:58+00:00,0,2,#COVID19,Delhi,And the prime minister says This is just the beginning of a long battle against COVID19 and there is a long way to go,[],,,,,,,
