Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,sadness,joy,fear,confident,analytical,tentative,anger
Let's unite in lighting lamps at 9 pm Today to mark the fight against Coronavirus outbreak. #stayhome #staysafe #indiafightscorona #covid19 #coronavirus #india #together #ruseducation #overseaseducation,2020-04-05 12:02:40+00:00,2,14,#stayhome #stayhome #staysafe #indiafightscorona #covid19 #coronavirus #india #together #ruseducation #overseaseducation,Delhi,Let s unite in lighting lamps at 9 pm Today to mark the fight against Coronavirus outbreak stayhome staysafe indiafightscorona covid19 coronavirus india together ruseducation overseaseducation,[],,,,,,,
Police carrying food packets for those who needs the most in Sector 55-56 Gurgaon #gurgaon #21daylockdown #9pm9mins #covid19 #ArtificialIntelligence #innovation #blockchain #google #fmcg #biotech #brandind #BREAKING #virtualreality #energy #developers #healthcare,2020-04-05 11:33:15+00:00,1,0,#gurgaon #21daylockdown #9pm9mins #covid19 #ArtificialIntelligence #innovation #blockchain #google #fmcg #biotech #brandind #BREAKING #virtualreality #energy #developers #healthcare,Delhi,Police carrying food packets for those who needs the most in Sector 55 56 Gurgaon gurgaon 21daylockdown 9pm9mins covid19 ArtificialIntelligence innovation blockchain google fmcg biotech brandind BREAKING virtualreality energy developers healthcare,[],,,,,,,
"MY REQUEST to all.When U switch off your lights this evening at 9pm & light a candle,diya or torch to show U are united against #COVID19, PLS ensure U don’t use sanitiser on your hand before lighting the fire.Sanitisers are highly inflammable. #9pm9Minute #StaySafe #StayHome",2020-04-05 11:28:03+00:00,1169,13678,#COVID19 #9pm9Minute #StaySafe #StayHome #StayHome,Delhi,MY REQUEST to all When U switch off your lights this evening at 9pm light a candle diya or torch to show U are united against COVID19 PLS ensure U don t use sanitiser on your hand before lighting the fire Sanitisers are highly inflammable 9pm9Minute StaySafe StayHome,[],,,,,,,
"A big ""THANKYOU"" to real heroes of every department and government of India. @jairamthakurbjp @narendramodi @myogiadityanath #covid19 #india #IndiaFightsCoronavirus #indiafightsback #IndiaFightsCOVID19 #thankyoudoctors",2020-04-05 11:15:17+00:00,0,0,#covid19 #india #IndiaFightsCoronavirus #indiafightsback #IndiaFightsCOVID19 #thankyoudoctors,Delhi,A big THANKYOU to real heroes of every department and government of India covid19 india IndiaFightsCoronavirus indiafightsback IndiaFightsCOVID19 thankyoudoctors,"[{'score': 0.779716, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.783854, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"Though little attention has been paid to this aspect of the waste management sector, today it becomes imperative that we start demanding transparency & traceability metrics along with strictly implementing BMW (Bio Medical Waste) rules 2016. #COVID19 #india #Medical #environment",2020-04-05 11:07:29+00:00,1,3,#COVID19 #india #Medical #environment,Delhi,Though little attention has been paid to this aspect of the waste management sector today it becomes imperative that we start demanding transparency traceability metrics along with strictly implementing BMW Bio Medical Waste rules 2016 COVID19 india Medical environment,"[{'score': 0.652313, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
Don't forget to lighten up with positivity. 9pm For 9 min. #spreadlove #spreadpositivity #humhongekamyab #weshallovercome #covid19 #nv_theartist #lightthecandle @Olive County https://www.instagram.com/p/B-mMN2kJNwX/?igshid=1feqt84qespzz,2020-04-05 11:05:48+00:00,0,0,#spreadlove #spreadpositivity #humhongekamyab #weshallovercome #covid19 #nv_theartist #lightthecandle,Delhi,Don t forget to lighten up with positivity 9pm For 9 min spreadlove spreadpositivity humhongekamyab weshallovercome covid19 nv theartist lightthecandle County,"[{'score': 0.668189, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.598602, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,1.0,,,
"Doubling rate of #COVID19 cases in India is at present is 4.1 days. If Additional cases reported due to the #TablighiJammat event, had not taken place, then the doubling rate of #CoronavirusOutbreakindia would have been 7.4 days: Lav Aggarwal, Joint Secy, Health Ministry.",2020-04-05 11:01:15+00:00,0,0,#COVID19 #TablighiJammat #CoronavirusOutbreakindia,Delhi,Doubling rate of COVID19 cases in India is at present is 4 1 days If Additional cases reported due to the TablighiJammat event had not taken place then the doubling rate of CoronavirusOutbreakindia would have been 7 4 days Lav Aggarwal Joint Secy Health Ministry,"[{'score': 0.579367, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"In every 2 or 3 decades one incident happens which change the world. Now #COVID19 hit around the world &amp; this year is starting of new decades.I hope one day this #PANDAMIC will be over, but world will be not same as it was previously. This will chane the thinking of whole world.",2020-04-05 10:55:32+00:00,0,0,#COVID19 #PANDAMIC,Delhi,In every 2 or 3 decades one incident happens which change the world Now COVID19 hit around the world amp this year is starting of new decades I hope one day this PANDAMIC will be over but world will be not same as it was previously This will chane the thinking of whole world,[],,,,,,,
"#COVID19 Apr 04 global: 1.2 million cases 64,691 deaths 1 in 4 cases worldwide are in the U.S. Spain surpasses Italy in cases Italy has more than 15,000 deaths, Spain almost 12,000 Germany and France rapid increase in cases ",2020-04-05 10:42:01+00:00,1,1,#COVID19,Delhi,COVID19 Apr 04 global 1 2 million cases 64 691 deaths 1 in 4 cases worldwide are in the U S Spain surpasses Italy in cases Italy has more than 15 000 deaths Spain almost 12 000 Germany and France rapid increase in cases,"[{'score': 0.712911, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"Lack of testing kits is the main reason why there are so few people tested for #COVID19. Lack of protective gear for doctors, lack of testing. Is this how we are going to fight the Corona Virus? #TestKaroNa",2020-04-05 10:32:12+00:00,0,0,#COVID19 #TestKaroNa,Delhi,Lack of testing kits is the main reason why there are so few people tested for COVID19 Lack of protective gear for doctors lack of testing Is this how we are going to fight the Corona Virus TestKaroNa,"[{'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
"Everyone is doing their part in this #COVID19 crisis. People r donating money,time anything n everything they can. The government is doing their bit...I urge the PM to ask the huge religious institutions to donate their holdings to fight the virus n the economic downturn.",2020-04-05 10:27:24+00:00,0,2,#COVID19,Delhi,Everyone is doing their part in this COVID19 crisis People r donating money time anything n everything they can The government is doing their bit I urge the PM to ask the huge religious institutions to donate their holdings to fight the virus n the economic downturn,[],,,,,,,
"@narendramodi ji although we are following the #Social_Distancing during #lockdownindia but we are together in fighting against #COVID19 . आज रात, एक दिया देश के नाम #9PM9minute",2020-04-05 10:23:23+00:00,0,0,#Social_Distancing #lockdownindia #COVID19 #9PM9minute,Delhi,ji although we are following the Social Distancing during lockdownindia but we are together in fighting against COVID19 9PM9minute,[],,,,,,,
Feeling lonely? Tired of the #SocialDistanacing and #quarantine? She's there for company! #HelloMG! @MGmotor @MGMotorIn #MGZSElectric #covid19 #CoronavirusPandemic,2020-04-05 10:15:07+00:00,0,3,#SocialDistanacing #quarantine #HelloMG #MGZSElectric #covid19 #CoronavirusPandemic,Delhi,Feeling lonely Tired of the SocialDistanacing and quarantine She s there for company HelloMG MGZSElectric covid19 CoronavirusPandemic,"[{'score': 0.945688, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
"A simple instructional video on how #COVID19 spreads via micro droplets and how we can stop the spread by social isolation and adequate ventilation. Even after 20 minutes micro droplets don’t settle down,remain in the same room @PMOIndia @narendramodi @ArvindKejriwal @AtishiAAP – at AIIMS",2020-04-05 10:05:04+00:00,2,9,#COVID19,Delhi,A simple instructional video on how COVID19 spreads via micro droplets and how we can stop the spread by social isolation and adequate ventilation Even after 20 minutes micro droplets don t settle down remain in the same room at AIIMS,[],,,,,,,
"Switch off all lights of home and illuminate surrounding by lighting up candles, diyas, torches or mobile flashlights tonight at 9PM for 9 mins. Let's fight this together. #coronavirus #COVID19 #9pm9mins #IndiaFightsCorona #StayHomeStaySafe #WaveCares #MakingLivesBetter",2020-04-05 09:26:09+00:00,1,1,#coronavirus #COVID19 #9pm9mins #IndiaFightsCorona #StayHomeStaySafe #WaveCares #MakingLivesBetter,Delhi,Switch off all lights of home and illuminate surrounding by lighting up candles diyas torches or mobile flashlights tonight at 9PM for 9 mins Let s fight this together coronavirus COVID19 9pm9mins IndiaFightsCorona StayHomeStaySafe WaveCares MakingLivesBetter,"[{'score': 0.573084, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
#Covid19 testing with doctor’s prescription at home- aap log #Sunday ko kyaa karr rahe hei? #stayhome #staysafe #staysane #thenewworldorder,2020-04-05 08:50:09+00:00,1,4,#Covid19 #Sunday #stayhome #stayhome #staysafe #staysane #thenewworldorder,Delhi,Covid19 testing with doctor s prescription at home aap log Sunday ko kyaa karr rahe hei stayhome staysafe staysane thenewworldorder,[],,,,,,,
PM @narendramodi today called 2 former Presidents Pranab Mukherjee &amp; Pratibha Patil and had a discussion on #COVID19 related issues. He similarly called 2 former Prime Ministers Manmohan Singh &amp; HD Deve Gowda to discuss #COVID19 ,2020-04-05 08:46:16+00:00,5,30,#COVID19 #COVID19,Delhi,PM today called 2 former Presidents Pranab Mukherjee amp Pratibha Patil and had a discussion on COVID19 related issues He similarly called 2 former Prime Ministers Manmohan Singh amp HD Deve Gowda to discuss COVID19,"[{'score': 0.560649, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
@TheArunGovil starring #Ramayan created record again.. It is because we all are connected to our roots which belongs to #ShriRam Thanks @DDNational and @narendramodi ji for this amazing gift during #lockdown. My #family wake up with this show and goes to bed with it. #Covid19 ,2020-04-05 08:36:41+00:00,3,3,#Ramayan #ShriRam #lockdown #family #Covid19,Delhi,starring Ramayan created record again It is because we all are connected to our roots which belongs to ShriRam Thanks and ji for this amazing gift during lockdown My family wake up with this show and goes to bed with it Covid19,"[{'score': 0.92066, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"@madankaushikbjp @PIBDehradun @DrRPNishank Domestic help are being called in Haridwar even during lockdown, wonder the authorities are even serious about the pandemic. Request your intervention Sir. #alllivesmatter #COVID19 #lockdown",2020-04-05 08:35:49+00:00,1,0,#alllivesmatter #COVID19 #lockdown,Delhi,Domestic help are being called in Haridwar even during lockdown wonder the authorities are even serious about the pandemic Request your intervention Sir alllivesmatter COVID19 lockdown,"[{'score': 0.867767, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
"India is not going to light torches, flash and lamps to celebrate anyone's anniversary,they will do because they want to showing that they are strong,and we'll win someday from this #covid19. #9baje9mintues #IndiaFightsCorona",2020-04-05 08:25:28+00:00,0,1,#covid19 #9baje9mintues #IndiaFightsCorona,Delhi,India is not going to light torches flash and lamps to celebrate anyone s anniversary they will do because they want to showing that they are strong and we ll win someday from this covid19 9baje9mintues IndiaFightsCorona,"[{'score': 0.827017, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
"appalled to see , so many jumping to criticise , mimic any action being rolled out to help with #Covid19 - No one is perfect but together we have power to tide over any challenge ..sincerely Urge all to resist &amp; instead shine a light on great work being done by those around us ",2020-04-05 08:20:15+00:00,0,4,#Covid19,Delhi,appalled to see so many jumping to criticise mimic any action being rolled out to help with Covid19 No one is perfect but together we have power to tide over any challenge sincerely Urge all to resist amp instead shine a light on great work being done by those around us,"[{'score': 0.779934, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,1.0,,,,,
Celebrate Festival of Unity to Fight Corona Virus Epidemic. Show unity and reject stupidity. Maintain Social Distancing and stay inside. #IndianFightsCorona #CoronaVirus #SocialDistancing #Covid19 #Lockdown #RealEstate #Housing,2020-04-05 07:56:13+00:00,1,1,#IndianFightsCorona #CoronaVirus #SocialDistancing #Covid19 #Lockdown #RealEstate #Housing,Delhi,Celebrate Festival of Unity to Fight Corona Virus Epidemic Show unity and reject stupidity Maintain Social Distancing and stay inside IndianFightsCorona CoronaVirus SocialDistancing Covid19 Lockdown RealEstate Housing,[],,,,,,,
Let me correct if anyone have false idea of lighting tonight at #9pm9minutes is of solidarity towards our fight against #COVID19 ... Rather this is the 40th anniversary celebration of BJP's foundation day WAH MODI JI WAH ,2020-04-05 07:54:26+00:00,1,1,#9pm9minutes #COVID19,Delhi,Let me correct if anyone have false idea of lighting tonight at 9pm9minutes is of solidarity towards our fight against COVID19 Rather this is the 40th anniversary celebration of BJP s foundation day WAH MODI JI WAH,"[{'score': 0.682911, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,,1.0,,
Let’s end the darkness of #COVID19 together by lighting candles and diyas. #9bje9minute #FightAgainstCorona #covid19 #indiafightscorona #stayhome #staysafe #gocorona #fightagainstcovid19,2020-04-05 07:31:28+00:00,0,0,#COVID19 #9bje9minute #FightAgainstCorona #covid19 #indiafightscorona #stayhome #stayhome #staysafe #gocorona #fightagainstcovid19,Delhi,Let s end the darkness of COVID19 together by lighting candles and diyas 9bje9minute FightAgainstCorona covid19 indiafightscorona stayhome staysafe gocorona fightagainstcovid19,[],,,,,,,
Let's all stay united to fight against COVID19. #9bje9minute #FightAgainstCorona #indiafightscorona #covid19 #covid #stayhome #staysafe,2020-04-05 07:23:21+00:00,0,1,#9bje9minute #FightAgainstCorona #indiafightscorona #covid19 #covid #stayhome #stayhome #staysafe,Delhi,Let s all stay united to fight against COVID19 9bje9minute FightAgainstCorona indiafightscorona covid19 covid stayhome staysafe,"[{'score': 0.704642, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,1.0,,,
"@MoHFW_INDIA @makeinindia aerosol boxes for protection against sneeze and cough in hospitals #covid19 #StayHome #SocialDistancing #doctor #hospital #StayHomeIndia #MakeInIndia can be easily sanitised, Reusable @ArvindKejriwal @drharshvardhan @SatyendarJain",2020-04-05 07:11:03+00:00,0,0,#covid19 #StayHome #StayHome #SocialDistancing #doctor #hospital #StayHomeIndia #MakeInIndia,Delhi,INDIA aerosol boxes for protection against sneeze and cough in hospitals covid19 StayHome SocialDistancing doctor hospital StayHomeIndia MakeInIndia can be easily sanitised Reusable,[],,,,,,,
Feeling bored at home? Try these activities to keep yourself active and healthy during #CoronaLockdown Together we will fight #COVID19 @narendramodi @AmitShah @akshaykumar @imVkohli @msdhoni,2020-04-05 07:07:34+00:00,0,0,#CoronaLockdown #COVID19,Delhi,Feeling bored at home Try these activities to keep yourself active and healthy during CoronaLockdown Together we will fight COVID19,"[{'score': 0.580041, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",1.0,,,,,,
