Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,confident,tentative,analytical,sadness,fear,anger
#BeActive and stay #HealthyAtHome ! Here are some physical activities you can do at home during #COVID19 outbreak: ‍Try exercise classes online Dance to music Try skipping rope Do some muscle strength &amp; balance training #IndiaFightsCorona #Ahmedabad,2020-04-15 19:09:06+00:00,4,9,#BeActive #HealthyAtHome #HealthyAtHome #COVID19 #IndiaFightsCorona #Ahmedabad,Ahmadabad,BeActive and stay HealthyAtHome Here are some physical activities you can do at home during COVID19 outbreak Try exercise classes online Dance to music Try skipping rope Do some muscle strength amp balance training IndiaFightsCorona Ahmedabad,"[{'score': 0.772446, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.733088, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,1.0,,,,
#Ramayan #Ramayana #Ramayanmemes #रामायण #Ramayanam #Ramayanamemes #RamayanOnDDNational #coronavirusindia #CoronavirusLockdown . Probably the only guy who can save us from the situation of #COVID19(virus). ,2020-04-15 17:04:09+00:00,4,9,#Ramayan #Ramayana #Ramayanmemes #Ramayanam #Ramayanamemes #RamayanOnDDNational #coronavirusindia #CoronavirusLockdown #COVID19,Ahmadabad,Ramayan Ramayana Ramayanmemes Ramayanam Ramayanamemes RamayanOnDDNational coronavirusindia CoronavirusLockdown Probably the only guy who can save us from the situation of COVID19 virus,[],,,,,,,
"Organising an election normally is a big task, and to be held in pandemic situation takes more than just a normal efforts, as the first priority remains is to make sure people are unscathed from virus. #southkorea #elections #covid19 ",2020-04-15 16:17:08+00:00,0,0,#southkorea #elections #covid19,Ahmadabad,Organising an election normally is a big task and to be held in pandemic situation takes more than just a normal efforts as the first priority remains is to make sure people are unscathed from virus southkorea elections covid19,[],,,,,,,
"#Muradabad Take strictest action against culprits who took law in their hand &amp; pelted stones on doctors. One such incident happened in muradabad. Shame on all of us, as we all failed to protect doctors &amp; medical staffs. @Uppolice @TheLallantop @PMOIndia @myogiadityanath #COVID19 ",2020-04-15 15:37:22+00:00,0,0,#Muradabad #COVID19,Ahmadabad,Muradabad Take strictest action against culprits who took law in their hand amp pelted stones on doctors One such incident happened in muradabad Shame on all of us as we all failed to protect doctors amp medical staffs COVID19,"[{'score': 0.713834, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
" Stay Home, Stay Safe! #Lockdown2 #COVID19 #StayHome #IndiaFightsCorona",2020-04-15 14:02:06+00:00,0,1,#Lockdown2 #COVID19 #StayHome #StayHome #IndiaFightsCorona,Ahmadabad,Stay Home Stay Safe Lockdown2 COVID19 StayHome IndiaFightsCorona,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"See the pace of #covid19 cases in #Ahmedabad from April 8th onwards! Thanks to measures like INTENSIVE SURVEILLANCE &amp; ENHANCED TESTING taken by @AmdavadAMC, we hv been able to #ChaseTheVirus timely and contain the spread. @vnehra @DrOM_Machra @kumarmanish9 https://twitter.com/vnehra/status/1247182429720322052?s=21",2020-04-15 12:21:46+00:00,7,7,#covid19 #Ahmedabad #ChaseTheVirus,Ahmadabad,See the pace of covid19 cases in Ahmedabad from April 8th onwards Thanks to measures like INTENSIVE SURVEILLANCE amp ENHANCED TESTING taken by we hv been able to ChaseTheVirus timely and contain the spread Machra,"[{'score': 0.669835, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Wow! Another's Completed #Website #Development #project! COVID-19 Community Help India https://covidcommunityhelp.in/ . . #Lockdown2 #lockdown #lockdown2020 #corona #CoronaStopKaroNa #covid19 #Coronavirus #CoronavirusPandemic #CoronaVirusOutbreak #CoronaVirusUpdates #IndiaFightsCorona,2020-04-15 11:01:58+00:00,0,1,#Website #Development #project #Lockdown2 #lockdown #lockdown2020 #corona #CoronaStopKaroNa #covid19 #Coronavirus #CoronavirusPandemic #CoronaVirusOutbreak #CoronaVirusUpdates #IndiaFightsCorona,Ahmadabad,Wow Another s Completed Website Development project COVID 19 Community Help India Lockdown2 lockdown lockdown2020 corona CoronaStopKaroNa covid19 Coronavirus CoronavirusPandemic CoronaVirusOutbreak CoronaVirusUpdates IndiaFightsCorona,"[{'score': 0.710323, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Lockdown 2.0 Till 3rd MAY 2020 #modiji #narendramodi #corona #lockdown #indialockdown #lockdown2020 #quorantine #pendamic #stayhome #act144 #curfew #staysafe #covid19 #Humpday #WorkoutWednesday #WisdomWednesday #WellnessWednesday #WayBackWednesday #WoofWednesday,2020-04-15 10:02:57+00:00,0,2,#modiji #narendramodi #corona #lockdown #indialockdown #lockdown2020 #quorantine #pendamic #stayhome #stayhome #act144 #curfew #staysafe #covid19 #Humpday #WorkoutWednesday #WisdomWednesday #WellnessWednesday #WayBackWednesday #WoofWednesday,Ahmadabad,Lockdown 2 0 Till 3rd MAY 2020 modiji narendramodi corona lockdown indialockdown lockdown2020 quorantine pendamic stayhome act144 curfew staysafe covid19 Humpday WorkoutWednesday WisdomWednesday WellnessWednesday WayBackWednesday WoofWednesday,[],,,,,,,
"Today's #coronavirus recap -1.9 million+ cases &amp; 120,000+ deaths as of 14 Apr -471,000+ recovered -India extends lockdown -IMF: economy faces worst recession since Great Depression - slowly reopen -UK #COVID19 deaths surge -1.5 billion out of school ",2020-04-15 09:38:34+00:00,0,2,#coronavirus #COVID19,Ahmadabad,Today s coronavirus recap 1 9 million cases amp 120 000 deaths as of 14 Apr 471 000 recovered India extends lockdown IMF economy faces worst recession since Great Depression slowly reopen UK COVID19 deaths surge 1 5 billion out of school,"[{'score': 0.81315, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
I’m SAFE Aarogya Setu App will be very useful in coming days. I request everyone to please install it and use it as frequently as possible. Let’s fight COVID19 together. #IndiaFightsCorona #AarogyaSetuApp #COVID19 #SocialDistanacing #StopTheSpread,2020-04-15 07:21:08+00:00,0,0,#IndiaFightsCorona #AarogyaSetuApp #COVID19 #SocialDistanacing #StopTheSpread,Ahmadabad,I m SAFE Aarogya Setu App will be very useful in coming days I request everyone to please install it and use it as frequently as possible Let s fight COVID19 together IndiaFightsCorona AarogyaSetuApp COVID19 SocialDistanacing StopTheSpread,[],,,,,,,
Thank You #Surendranagarteam In our #surendranagar yet not found any case of #corona and all the credit goes to #surendranagarTeam who are working 24/7 to fight against #COVID19 Salute to All. @SamajSurkshaSRN @CollectorSRN @MunjaparaDr @DhanjiPatelBJP @CMOGuj @narendramodi,2020-04-15 06:53:51+00:00,0,3,#Surendranagarteam #surendranagar #corona #surendranagarTeam #COVID19,Ahmadabad,Thank You Surendranagarteam In our surendranagar yet not found any case of corona and all the credit goes to surendranagarTeam who are working 24 7 to fight against COVID19 Salute to All,"[{'score': 0.903998, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
"Hello @CollectorGnr Can you please share address and name of all 16 #Covid19 positive cases of #Gandhinagar? If already shared, can you pls help me with the link. Thanks. #WeFightAgainstCovid19",2020-04-15 05:44:07+00:00,2,0,#Covid19 #Gandhinagar #WeFightAgainstCovid19,Ahmadabad,Hello Can you please share address and name of all 16 Covid19 positive cases of Gandhinagar If already shared can you pls help me with the link Thanks WeFightAgainstCovid19,"[{'score': 0.73959, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
I urge all political parties to stop politics on migrant workers issue or any other issues. #Migrantworkers is the issue where all state Govt failed miserably. Pls stop politics &amp; focus on fighting #Covid19. @PMOIndia #BJP #CONGRESS #SP #BSP #JDU #NCP #TDP #AAP #Covid19India,2020-04-15 03:49:12+00:00,0,0,#Migrantworkers #Covid19 #BJP #CONGRESS #SP #BSP #JDU #NCP #TDP #AAP #Covid19India,Ahmadabad,I urge all political parties to stop politics on migrant workers issue or any other issues Migrantworkers is the issue where all state Govt failed miserably Pls stop politics amp focus on fighting Covid19 BJP CONGRESS SP BSP JDU NCP TDP AAP Covid19India,"[{'score': 0.606512, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"#ImranKhedawala, Congress MLA from Jamalpur tests #Covid19+ .After undergoing test for corona in the morning, Khedawala went to Gandhinagar to meet CM #VijayRupani. Result came in the evening. CM himself not wearing mask in the meeting.I guess taking #Covid19 lightly. @PMOIndia",2020-04-15 03:35:24+00:00,0,0,#ImranKhedawala #Covid19 #VijayRupani #Covid19,Ahmadabad,ImranKhedawala Congress MLA from Jamalpur tests Covid19 After undergoing test for corona in the morning Khedawala went to Gandhinagar to meet CM VijayRupani Result came in the evening CM himself not wearing mask in the meeting I guess taking Covid19 lightly,"[{'score': 0.515035, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"#StaySafeStayHealthy * COVID-19 updates as on 15.04.2020 at 8 AM * india Active Cases: *9,756* Cured/Discharged/Migrated cases: *1,306* Death cases: *377* #COVID #COVID19 #AlertaCOVID19",2020-04-15 03:19:46+00:00,1,1,#StaySafeStayHealthy #COVID #COVID19 #AlertaCOVID19,Ahmadabad,StaySafeStayHealthy COVID 19 updates as on 15 04 2020 at 8 AM india Active Cases 9 756 Cured Discharged Migrated cases 1 306 Death cases 377 COVID COVID19 AlertaCOVID19,[],,,,,,,
"The MORE you STAY HOME, The MORE you are SAFER. #StaySafeStayHealthy #Covid_19india #Covid19 #StayHome",2020-04-15 02:47:54+00:00,0,1,#StaySafeStayHealthy #Covid_19india #Covid19 #StayHome #StayHome,Ahmadabad,The MORE you STAY HOME The MORE you are SAFER StaySafeStayHealthy Covid 19india Covid19 StayHome,"[{'score': 0.532616, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
Majburi ka Naam #MahatmaGandhi hein ! This is how #USFDA act towards indian pharma companies amidst pandemic #COVID19 . Otherwise there is always biased behaviour. ,2020-04-15 01:06:18+00:00,4,8,#MahatmaGandhi #USFDA #COVID19,Ahmadabad,Majburi ka Naam MahatmaGandhi hein This is how USFDA act towards indian pharma companies amidst pandemic COVID19 Otherwise there is always biased behaviour,"[{'score': 0.560944, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
"#covid19 will need to be fought through, it cannot be fought by sitting at homes, we will need to devise smart strategies. #Warzone #FightAgainstCorona",2020-05-02 19:08:02+00:00,0,1,#covid19 #Warzone #FightAgainstCorona,Pune,covid19 will need to be fought through it cannot be fought by sitting at homes we will need to devise smart strategies Warzone FightAgainstCorona,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"#Lockdown3 @PMOIndia If #COVID19 is here to stay for long time, it cannot hold #India, world humanity to ransom. There are ways this can be dealt with. 1. Everyone involved in mass connect should be tested, 2. This would include, all cab and auto drivers",2020-05-02 19:07:59+00:00,1,3,#Lockdown3 #COVID19 #India,Pune,Lockdown3 If COVID19 is here to stay for long time it cannot hold India world humanity to ransom There are ways this can be dealt with 1 Everyone involved in mass connect should be tested 2 This would include all cab and auto drivers,[],,,,,,,
Pray for the real heroes who fight for us and make us always happy and put laughter on our face .......happy laughter day . #worldlaughtersay #ThankYouRamayan #laughter #laugh #SundayThoughts #Smile #lockdown #COVID19 #3may2020 #happy,2020-05-02 18:59:24+00:00,0,1,#worldlaughtersay #ThankYouRamayan #laughter #laugh #SundayThoughts #Smile #lockdown #COVID19 #3may2020 #happy,Pune,Pray for the real heroes who fight for us and make us always happy and put laughter on our face happy laughter day worldlaughtersay ThankYouRamayan laughter laugh SundayThoughts Smile lockdown COVID19 3may2020 happy,"[{'score': 0.979346, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,,,,,
"Can we stop use of word ""viral"" for showing popularity of certain video please? Context has changed. #COVID19 #thinkingaloud",2020-05-02 18:07:34+00:00,0,5,#COVID19 #thinkingaloud,Pune,Can we stop use of word viral for showing popularity of certain video please Context has changed COVID19 thinkingaloud,"[{'score': 0.638987, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
Homemade spinach paneer/cottage cheese ravioli! check out the details on the process in highlights! What are you enjoying for dinner tonight? #foodiesofindia #pasta #homemade #cooking #covid19 #lockdown #mumbai @… https://www.instagram.com/p/B_sDgk1pg4W/?igshid=1ujmzdsqp8m8w,2020-05-02 14:11:24+00:00,0,1,#foodiesofindia #pasta #homemade #cooking #covid19 #lockdown #mumbai,Pune,Homemade spinach paneer cottage cheese ravioli check out the details on the process in highlights What are you enjoying for dinner tonight foodiesofindia pasta homemade cooking covid19 lockdown mumbai,"[{'score': 0.723231, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Labour Day 2020: How coronavirus lockdown left migrant workers in distress....... . @satejss . #satejshinde #midday #middayonline #instaphoto #lockdown #37thday #COVID19 #labourday #migrant #worker – at Four Bungalows,2020-05-02 11:46:18+00:00,0,0,#satejshinde #midday #middayonline #instaphoto #lockdown #37thday #COVID19 #labourday #migrant #worker,Pune,Labour Day 2020 How coronavirus lockdown left migrant workers in distress satejshinde midday middayonline instaphoto lockdown 37thday COVID19 labourday migrant worker at Four Bungalows,[],,,,,,,
"Wheat pasta with sautéed veggies and olive oil for a change to surprise my tummy! What is your go to pasta? #foodiesofindia #pasta #cooking #homemade #covid19 #lockdown #mumbai @Mumbai, Maharashtra https://www.instagram.com/p/B_ruI7IJrtL/?igshid=e1c4b4iqnfc0",2020-05-02 11:04:39+00:00,0,1,#foodiesofindia #pasta #cooking #homemade #covid19 #lockdown #mumbai,Pune,Wheat pasta with saut ed veggies and olive oil for a change to surprise my tummy What is your go to pasta foodiesofindia pasta cooking homemade covid19 lockdown mumbai Maharashtra,"[{'score': 0.62849, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Next year (2021), I don’t want to hear about the Oscars, Golden Globes.I don’t want to see celebrities..Next year, I want to see Doctor,Nurse, Health care worker, Police,Farmer, Electric,BusDrivers,Shop,grocery_workers, and all other essential workers..as Celebrities..#COVID19.. ",2020-05-02 10:46:33+00:00,0,7,#COVID19,Pune,Next year 2021 I don t want to hear about the Oscars Golden Globes I don t want to see celebrities Next year I want to see Doctor Nurse Health care worker Police Farmer Electric BusDrivers Shop grocery workers and all other essential workers as Celebrities COVID19,[],,,,,,,
#Important information for the migrants those who want to return #homestate from Maharashtra. #lockdown #covid19 #migrants @OdiaCulture @icesoumya @1990Tusar @TOIMumbai @News18Odia,2020-05-02 10:21:38+00:00,0,0,#Important #homestate #lockdown #covid19 #migrants,Pune,Important information for the migrants those who want to return homestate from Maharashtra lockdown covid19 migrants,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
gaurgopaldas A Heartwarming Birthday Celebration • @panchkulapolice surprise an elderly gentleman who lives alone on his 71st #birthday during the #covid19 #lockdown. Look at how the man has tears in eyes being moved by this loving gesture.,2020-05-02 09:44:47+00:00,0,1,#birthday #covid19 #lockdown,Pune,gaurgopaldas A Heartwarming Birthday Celebration surprise an elderly gentleman who lives alone on his 71st birthday during the covid19 lockdown Look at how the man has tears in eyes being moved by this loving gesture,"[{'score': 0.558719, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.641954, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
"@R_MIG86 TB, Air Pollution, Diabetes, Infant Mortality - take your pick - each kills more Indians per year than #COVID19 will. But #COVID19 is given this enormous attention coz it is ""new"", there is no vaccine for it, and most importantly it has been hugely hyped up by the West !",2020-05-02 08:07:36+00:00,0,1,#COVID19 #COVID19,Pune,MIG86 TB Air Pollution Diabetes Infant Mortality take your pick each kills more Indians per year than COVID19 will But COVID19 is given this enormous attention coz it is new there is no vaccine for it and most importantly it has been hugely hyped up by the West,"[{'score': 0.70944, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
Salute to corona warriors... #thankyou #salute #respect #frontlinewarriors #indianpolice #waragainstvirus #covid19 #TheChakravartiTheatreGroup @The Chakravarti Theatre Group https://www.instagram.com/p/B_rRf4HJykN/?igshid=xuhnjvp7whwy,2020-05-02 06:54:23+00:00,0,0,#thankyou #thankyou #salute #respect #frontlinewarriors #indianpolice #waragainstvirus #covid19 #TheChakravartiTheatreGroup,Pune,Salute to corona warriors thankyou salute respect frontlinewarriors indianpolice waragainstvirus covid19 TheChakravartiTheatreGroup Chakravarti Theatre Group,"[{'score': 0.773277, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Your Food will always take CENTRESTAGE We will be working in the background tirelessly, in the shadows, with the highest hygiene intact #covid19 #safetyfirst #safety… https://www.instagram.com/p/B_rIyVTFanK/?igshid=1rxo701yco2uy",2020-05-02 05:38:15+00:00,0,0,#covid19 #safetyfirst #safety,Pune,Your Food will always take CENTRESTAGE We will be working in the background tirelessly in the shadows with the highest hygiene intact covid19 safetyfirst safety,"[{'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.649361, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
"The death toll due to #COVID19 rises to 1,218; number of cases climb to 37,336 in #India: Union Health Ministry http://www.sakaltimes.com #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #lockdownindia",2020-05-02 05:24:03+00:00,1,0,#COVID19 #India #Sakal #SakalNews #viral #ViralNews #SakalTimes #news #Corona #COVID #COVID2019india #lockdownindia,Pune,The death toll due to COVID19 rises to 1 218 number of cases climb to 37 336 in India Union Health Ministry Sakal SakalNews viral ViralNews SakalTimes news Corona COVID COVID2019india lockdownindia,"[{'score': 0.504127, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"Let's face it, on #COVID19 all States are shooting in the dark. #lockdown is their only weapon, so they are loath to not use it ! Tragic if cost of fighting the virus ends up greater than the damage caused. As for deaths, remember, India lives with 450,000 TB deaths each year !",2020-05-02 04:51:53+00:00,0,0,#COVID19 #lockdown,Pune,Let s face it on COVID19 all States are shooting in the dark lockdown is their only weapon so they are loath to not use it Tragic if cost of fighting the virus ends up greater than the damage caused As for deaths remember India lives with 450 000 TB deaths each year,"[{'score': 0.753096, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
Yesterday india tested 74000 plus with approx 2400 new cases and approx 960 recoveries... It means we still have protected us from the community spread... Let us fight #COVID19,2020-05-02 04:35:38+00:00,0,0,#COVID19,Pune,Yesterday india tested 74000 plus with approx 2400 new cases and approx 960 recoveries It means we still have protected us from the community spread Let us fight COVID19,[],,,,,,,
"On matters #COVID19 we - and much of the world - continue to shoot in the dark ! Let's be thankful India's deaths are low. Let's live with them till a vaccine is developed, moving sensibly back to normal life. Not to forget, we normally live with 450,000 TB deaths each year !",2020-05-02 04:28:01+00:00,0,0,#COVID19,Pune,On matters COVID19 we and much of the world continue to shoot in the dark Let s be thankful India s deaths are low Let s live with them till a vaccine is developed moving sensibly back to normal life Not to forget we normally live with 450 000 TB deaths each year,"[{'score': 0.516202, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,1.0,,
"#lockdown 3-0 here is what’s allowed and for which zone #covid19 -19 #pandemic #coronavirus @Mumbai, Maharashtra https://www.instagram.com/p/B_qvlhFpWRt/?igshid=cj6c4ikvvaij",2020-05-02 01:58:03+00:00,0,1,#lockdown #covid19 #pandemic #coronavirus,Pune,lockdown 3 0 here is what s allowed and for which zone covid19 19 pandemic coronavirus Maharashtra,[],,,,,,,
While #Mumbai crossing 10000+ active #Covid19 cases now . This behaviour #mumbailockdown is really scary ! All need to follow #Lockdownextention and cooperate with officials as #IndiaFightsCorona #StayHomeStaySafe #IndiaFightsCOVID19 @OfficeofUT @MumbaiPolice,2020-05-02 01:49:03+00:00,0,0,#Mumbai #Covid19 #mumbailockdown #Lockdownextention #IndiaFightsCorona #StayHomeStaySafe #IndiaFightsCOVID19,Pune,While Mumbai crossing 10000 active Covid19 cases now This behaviour mumbailockdown is really scary All need to follow Lockdownextention and cooperate with officials as IndiaFightsCorona StayHomeStaySafe IndiaFightsCOVID19,"[{'score': 0.720184, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,,1.0,
"According to your specific zone, look which activity to be allowed in your area effective from 4th May 2020. #COVID19 #CoronavirusLockdown #gohelpmate",2020-05-01 18:40:27+00:00,0,1,#COVID19 #CoronavirusLockdown #gohelpmate,Pune,According to your specific zone look which activity to be allowed in your area effective from 4th May 2020 COVID19 CoronavirusLockdown gohelpmate,"[{'score': 0.947982, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"On Friday, #Maharashtra recorded the greatest spike in #COVID19 patients with 1,008 new cases. #Pune city recorded 93 new cases. Total cases in Maharashtra are now 11,506 #Covid_19india #CovidUpdates #lockdownindia #pandemic",2020-05-01 18:22:46+00:00,2,8,#Maharashtra #COVID19 #Pune #Covid_19india #CovidUpdates #lockdownindia #pandemic,Pune,On Friday Maharashtra recorded the greatest spike in COVID19 patients with 1 008 new cases Pune city recorded 93 new cases Total cases in Maharashtra are now 11 506 Covid 19india CovidUpdates lockdownindia pandemic,"[{'score': 0.732214, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Lockdown extended for another 2 weeks until 17th May 2020... Stay Home and Stay Safe #COVID19 #lockdown,2020-05-01 13:22:20+00:00,0,5,#COVID19 #lockdown,Pune,Lockdown extended for another 2 weeks until 17th May 2020 Stay Home and Stay Safe COVID19 lockdown,"[{'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,,
Government of India (MHA) extends the Lockdown for a further period of two weeks beyond May 4. #Lockdown #Covid19 #IndiaFightsCoronavirus #coronaupdatesindia,2020-05-01 13:09:32+00:00,0,2,#Lockdown #Covid19 #IndiaFightsCoronavirus #coronaupdatesindia,Pune,Government of India MHA extends the Lockdown for a further period of two weeks beyond May 4 Lockdown Covid19 IndiaFightsCoronavirus coronaupdatesindia,[],,,,,,,
