Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,joy,sadness,confident,analytical,tentative,anger,fear
"We have set goal to lit 100,000,000 candles on #5April9PM9Minutes @BorisJohnson should learn something from @narendramodi ""UK government sets goal of reaching 100,000 tests for coronavirus per day by the end of April"" #COVID19 ",2020-04-03 19:35:06+00:00,0,0,#5April9PM9Minutes #COVID19,Mumbai,We have set goal to lit 100 000 000 candles on 5April9PM9Minutes should learn something from UK government sets goal of reaching 100 000 tests for coronavirus per day by the end of April COVID19,"[{'score': 0.675968, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Dashing leader X-Min of Maha @naseemkhaninc distributed (PPE) Kits to local doctors of Chandiwali As the nation goes on lockdown, and the Coronavirus seems far from controlled, taken initiative for serving people... @sharifmrcc @INCIndia @INCMumbai #Covid19 ",2020-04-03 18:49:56+00:00,1,1,#Covid19,Mumbai,Dashing leader X Min of Maha distributed PPE Kits to local doctors of Chandiwali As the nation goes on lockdown and the Coronavirus seems far from controlled taken initiative for serving people Covid19,[],,,,,,,
"15 #COVID19 positive cases confirmed. 7 close contacts of Suryanagar case (including wife, daughter &amp; tenants, 3 persons of Bomikhal, 1 case of Cuttack, 1 case of Puri 1 of Jajpur, 2 of Bhadrak. Total positive cases in the State are 20: Dept of Health &amp; Family Welfare, Odisha Ani",2020-04-03 18:07:38+00:00,0,1,#COVID19,Mumbai,15 COVID19 positive cases confirmed 7 close contacts of Suryanagar case including wife daughter amp tenants 3 persons of Bomikhal 1 case of Cuttack 1 case of Puri 1 of Jajpur 2 of Bhadrak Total positive cases in the State are 20 Dept of Health amp Family Welfare Odisha Ani,"[{'score': 0.744107, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.673454, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,1.0,,,
Need for scientific temper Dawn #corona #quarantine #selfisolation #healthcareprofessional #covid19 #coronavirus #docsneedgear #scientifictemper #bhabhaatomicresearchcentre #likes #like #follow #likeforlikes… https://www.instagram.com/p/B-ht5KElbik/?igshid=16c2hqy0d9zgr,2020-04-03 17:18:42+00:00,0,0,#corona #quarantine #selfisolation #healthcareprofessional #covid19 #coronavirus #docsneedgear #scientifictemper #bhabhaatomicresearchcentre #likes #like #follow #likeforlikes,Mumbai,Need for scientific temper Dawn corona quarantine selfisolation healthcareprofessional covid19 coronavirus docsneedgear scientifictemper bhabhaatomicresearchcentre likes like follow likeforlikes,[],,,,,,,
"See you all there tune in and listen to this woman we love! rayiyer #selflove #covid19 #slowliving @Mumbai, Maharashtra https://www.instagram.com/p/B-htclnpwAP/?igshid=qqqn0620v4u3",2020-04-03 17:14:48+00:00,0,0,#selflove #covid19 #slowliving,Mumbai,See you all there tune in and listen to this woman we love rayiyer selflove covid19 slowliving Maharashtra,"[{'score': 0.922379, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.660207, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
@MetOpera thank you for the amazing nightly streams during this #covid19 #lockdown!! Now watching Don Carlo by Verdi!,2020-04-03 16:56:17+00:00,0,0,#covid19 #lockdown,Mumbai,thank you for the amazing nightly streams during this covid19 lockdown Now watching Don Carlo by Verdi,"[{'score': 0.937737, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Ministry of Home Affairs issues Addendum to the guidelines issued regarding lockdown to exempt - ●Shops of Agricultural machinery, its spare parts (inc. supply chain) & repair; Truck repair shops on highways ●Tea industry, including plantations with max 50 workers #COVID19 ",2020-04-03 16:22:20+00:00,0,1,#COVID19,Mumbai,Ministry of Home Affairs issues Addendum to the guidelines issued regarding lockdown to exempt Shops of Agricultural machinery its spare parts inc supply chain repair Truck repair shops on highways Tea industry including plantations with max 50 workers COVID19,[],,,,,,,
Great efforts taken during the pandemic to save the world in such situations. True way of saying together we got this! Technology has come way too far well done @TheWelspunGroup for the Al-enabled robot! @BKGoenka #WellAndSafe #IndiaFightsCorona #COVID19 ,2020-04-03 16:12:50+00:00,0,2,#WellAndSafe #IndiaFightsCorona #COVID19,Mumbai,Great efforts taken during the pandemic to save the world in such situations True way of saying together we got this Technology has come way too far well done for the Al enabled robot WellAndSafe IndiaFightsCorona COVID19,"[{'score': 0.762434, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
When are #MoneyHeist memes going to take over twitter ? #Moneyheistseason4 Bored of #COVID19 memes,2020-04-03 15:26:33+00:00,0,4,#MoneyHeist #Moneyheistseason4 #COVID19,Mumbai,When are MoneyHeist memes going to take over twitter Moneyheistseason4 Bored of COVID19 memes,"[{'score': 0.621511, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
@TheOfficialSBI @RBI Pl go through the graphics. HL Interest has been reducing every month until last month (29Feb) when ROI was 9.2%. Now ROI is reduced to 8.4 wef 30.03.20 but instead of reducing interest it is increased (31Mar) over the previous month (29Feb). #COVID19 impact? ,2020-04-03 14:50:54+00:00,0,0,#COVID19,Mumbai,Pl go through the graphics HL Interest has been reducing every month until last month 29Feb when ROI was 9 2 Now ROI is reduced to 8 4 wef 30 03 20 but instead of reducing interest it is increased 31Mar over the previous month 29Feb COVID19 impact,[],,,,,,,
"BOOM found that the video actually shows a symbolic practice that is associated with not wasting a single grain of food, carried out by the Bohra community. The clip is old an has no relation to the #CoronavirusOutbreak. #BOOMFactCheck #FakeNews #COVID19 ",2020-04-03 13:52:45+00:00,0,0,#CoronavirusOutbreak #BOOMFactCheck #FakeNews #COVID19,Mumbai,BOOM found that the video actually shows a symbolic practice that is associated with not wasting a single grain of food carried out by the Bohra community The clip is old an has no relation to the CoronavirusOutbreak BOOMFactCheck FakeNews COVID19,"[{'score': 0.598119, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Forget flowers buy me a milkshake ! Follow us for a better life @thinkdeliciousrestaurant #covid19 #quarantine #strong #stayhome #stayhealthy #thehungrymumbaikar #huffposttaste #buzzfeedfood #f52grams #food52 #feedfeed #foodcoma #foodgram #foodstagram #homemade,2020-04-03 13:48:27+00:00,0,0,#covid19 #quarantine #strong #stayhome #stayhome #stayhealthy #thehungrymumbaikar #huffposttaste #buzzfeedfood #f52grams #food52 #feedfeed #foodcoma #foodgram #foodstagram #homemade,Mumbai,Forget flowers buy me a milkshake Follow us for a better life covid19 quarantine strong stayhome stayhealthy thehungrymumbaikar huffposttaste buzzfeedfood f52grams food52 feedfeed foodcoma foodgram foodstagram homemade,"[{'score': 0.782476, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Big basket Started delivering . Only Essential items like Candles / Diyas on the list . #COVID19 #9baje9minute @AbijitG,2020-04-03 13:36:15+00:00,0,0,#COVID19 #9baje9minute,Mumbai,Big basket Started delivering Only Essential items like Candles Diyas on the list COVID19 9baje9minute,"[{'score': 0.541414, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"Parent by example. Think of your kids as little bipedal copy machines who will mimic everything you do. If you behave badly, you are giving them permission to act in the same ways. Check in with yourself, and don’t lose it in front of the children. #covid19 #washinghands",2020-04-03 13:35:18+00:00,0,0,#covid19 #washinghands,Mumbai,Parent by example Think of your kids as little bipedal copy machines who will mimic everything you do If you behave badly you are giving them permission to act in the same ways Check in with yourself and don t lose it in front of the children covid19 washinghands,"[{'score': 0.5329, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.818876, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,1.0,,1.0,,,
"""UK government sets goal of reaching 100,000 tests for coronavirus per day by the end of April"" #COVID19 ",2020-04-03 11:53:34+00:00,0,1,#COVID19,Mumbai,UK government sets goal of reaching 100 000 tests for coronavirus per day by the end of April COVID19,[],,,,,,,
"Human life is disrupted, Nature is at peace. #covid19 #lockdown – at Juhu Beach, Mumbai",2020-04-03 11:30:47+00:00,0,2,#covid19 #lockdown,Mumbai,Human life is disrupted Nature is at peace covid19 lockdown at Juhu Beach Mumbai,"[{'score': 0.864729, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
Light always conquers darkness. Let's respond to Hon. PM @narendramodi's call with a solid show of solidarity on 5th April. https://bit.ly/2wQhLMV @PMOIndia #COVID19 #IndiaFightsCorona #9Baje9Minutes #WNS,2020-04-03 10:57:45+00:00,1,12,#COVID19 #IndiaFightsCorona #9Baje9Minutes #WNS,Mumbai,Light always conquers darkness Let s respond to Hon PM s call with a solid show of solidarity on 5th April COVID19 IndiaFightsCorona 9Baje9Minutes WNS,"[{'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,1.0,,,,
#StayHomeSaveLives #COVID19 #21daylockdown Realised one thing in this Lockdown. Normal living expenses are very low. It's just the show-off and lifestyle that makes it expensive @CNBCTV18News @dmuthuk,2020-04-03 10:46:31+00:00,0,0,#StayHomeSaveLives #COVID19 #21daylockdown,Mumbai,StayHomeSaveLives COVID19 21daylockdown Realised one thing in this Lockdown Normal living expenses are very low It s just the show off and lifestyle that makes it expensive,"[{'score': 0.574477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"@RFhospital is making a remarkable contribution to fight against the novel #coronavirus with its entire medical team, making tireless efforts, selflessly. @IMAIndiaOrg @mybmc #CoronaHaaregaIndiaJeetega #RILHero #Sakal #viralvideos #SakalNews #SakalTimes #Reliance #COVID19 ",2020-04-03 09:50:22+00:00,0,1,#coronavirus #CoronaHaaregaIndiaJeetega #RILHero #Sakal #viralvideos #SakalNews #SakalTimes #Reliance #COVID19,Mumbai,is making a remarkable contribution to fight against the novel coronavirus with its entire medical team making tireless efforts selflessly CoronaHaaregaIndiaJeetega RILHero Sakal viralvideos SakalNews SakalTimes Reliance COVID19,"[{'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",,,,1.0,,,
"Singapore Prime Minister Lee Hsien Loong announces 1-month shutdown starting next Tuesday (7th April), says most workplaces, except for essential services and key economic sectors, to be closed. #COVID19 #Singapore #lockdown #CoronavirusPandemic",2020-04-03 09:47:14+00:00,0,0,#COVID19 #Singapore #lockdown #CoronavirusPandemic,Mumbai,Singapore Prime Minister Lee Hsien Loong announces 1 month shutdown starting next Tuesday 7th April says most workplaces except for essential services and key economic sectors to be closed COVID19 Singapore lockdown CoronavirusPandemic,"[{'score': 0.54894, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
How cases of #Covid19 in Dharavi have made situation in Mumbai explosive. My report. ,2020-04-03 09:32:19+00:00,1,3,#Covid19,Mumbai,How cases of Covid19 in Dharavi have made situation in Mumbai explosive My report,[],,,,,,,
Arpan is situated in the heart of a community in Mumbai. The lockdown has affected many pockets of the city deeply. Our team contributed towards buying ration supplies for the community. We urge you to do your bit in these difficult times. #Arpan #COVID19 ,2020-04-03 09:23:25+00:00,3,12,#Arpan #COVID19,Mumbai,Arpan is situated in the heart of a community in Mumbai The lockdown has affected many pockets of the city deeply Our team contributed towards buying ration supplies for the community We urge you to do your bit in these difficult times Arpan COVID19,"[{'score': 0.575821, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,1.0,,,,,
Here's how you can spend your leisure time this quarantine. #Corona #GoCoronaGo #Coronavirus #COVID19 #StayHomeStaySafe #TakePrecautionAgainstCorona #SocialDistancing #Viral #Quarantine #LetsBeatCorona #IndiaFightsCorona #ThingsToDoThisQuarantine #IndiaStaysHome #LockDown,2020-04-03 09:04:31+00:00,0,0,#Corona #GoCoronaGo #Coronavirus #COVID19 #StayHomeStaySafe #TakePrecautionAgainstCorona #SocialDistancing #Viral #Quarantine #LetsBeatCorona #IndiaFightsCorona #ThingsToDoThisQuarantine #IndiaStaysHome #LockDown,Mumbai,Here s how you can spend your leisure time this quarantine Corona GoCoronaGo Coronavirus COVID19 StayHomeStaySafe TakePrecautionAgainstCorona SocialDistancing Viral Quarantine LetsBeatCorona IndiaFightsCorona ThingsToDoThisQuarantine IndiaStaysHome LockDown,"[{'score': 0.542424, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
And Australians fine 1400$if you don’t follow their directions in 3rd stage of #COVID19,2020-04-03 09:04:02+00:00,0,1,#COVID19,Mumbai,And Australians fine 1400 if you don t follow their directions in 3rd stage of COVID19,"[{'score': 0.532865, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.562568, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,1.0,,,
"6th #COVID19 positive case of Odisha detected in Cuttack with recent travel history to Delhi: Department of Health &amp; Family Welfare, Government of Odisha.",2020-04-03 08:45:33+00:00,0,0,#COVID19,Mumbai,6th COVID19 positive case of Odisha detected in Cuttack with recent travel history to Delhi Department of Health amp Family Welfare Government of Odisha,"[{'score': 0.769604, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.592138, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
"8 more persons have tested positive for #COVID19 in Haryana, taking the total number of cases to 43 including 13 discharged. Of the 8 new cases, 5 are from Gurugram and 3 from Nuh: State Health Department &amp; Ani",2020-04-03 08:14:54+00:00,0,0,#COVID19,Mumbai,8 more persons have tested positive for COVID19 in Haryana taking the total number of cases to 43 including 13 discharged Of the 8 new cases 5 are from Gurugram and 3 from Nuh State Health Department amp Ani,"[{'score': 0.697936, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,,1.0,,,,
"No positive #COVID19 case reported in Gautam Buddh Nagar in the last 24 hours. Total number of cases in Gautam Buddh Nagar is 48 till now, of which 6 have been cured and discharged: Suhas LY, District Magistrate of Gautam Buddh Nagar @ANI",2020-04-03 08:00:38+00:00,0,0,#COVID19,Mumbai,No positive COVID19 case reported in Gautam Buddh Nagar in the last 24 hours Total number of cases in Gautam Buddh Nagar is 48 till now of which 6 have been cured and discharged Suhas LY District Magistrate of Gautam Buddh Nagar,[],,,,,,,
8 more #COVID19 cases reported today in Haryana of which 5 are from Gurugram and 3 from Nuh. Total cases in the state till now are 43(13 discharged): Haryana Government,2020-04-03 07:53:58+00:00,0,0,#COVID19,Mumbai,8 more COVID19 cases reported today in Haryana of which 5 are from Gurugram and 3 from Nuh Total cases in the state till now are 43 13 discharged Haryana Government,[],,,,,,,
"Imma put the ""No"" in #नौ_मिनट &amp; ""Nein"" in #9PM instead of participating in Abhi-neta @narendramodi's Sound &amp; Lights Show. Tired of this media circus &amp; want a real solution? Please join @VITspeaks &amp; me to #HelpHealthWarriors fight #Covid19 in #Maharashtra by donating &amp; RTing:",2020-04-03 07:51:05+00:00,2,3,#9PM #HelpHealthWarriors #Covid19 #Maharashtra,Mumbai,Imma put the No in amp Nein in 9PM instead of participating in Abhi neta s Sound amp Lights Show Tired of this media circus amp want a real solution Please join amp me to HelpHealthWarriors fight Covid19 in Maharashtra by donating amp RTing,[],,,,,,,
"Please Help me in These #COVID19 Lockdown, #Please #Donate Please Help 1Lac Upi: aazamansari63@oksbi A/C 31937231671 IFSC: SBIN0000331 Bank: SBI @deepikapadukone @RanveerOfficial @BeingSalmanKhan – at Bhiwandi",2020-04-03 07:46:02+00:00,0,0,#COVID19 #Please #Donate,Mumbai,Please Help me in These COVID19 Lockdown Please Donate Please Help 1Lac Upi aazamansari63 A C 31937231671 IFSC SBIN0000331 Bank SBI at Bhiwandi,[],,,,,,,
"12 people test positive for #Coronavirus in Andhra Pradesh- eight in Nellore, three in Vizag and one in Kadapa- tally rises to 161 in the state #COVID19",2020-04-03 07:43:57+00:00,0,1,#Coronavirus #COVID19,Mumbai,12 people test positive for Coronavirus in Andhra Pradesh eight in Nellore three in Vizag and one in Kadapa tally rises to 161 in the state COVID19,"[{'score': 0.595712, 'tone_id': 'joy', 'tone_name': 'Joy'}]",1.0,,,,,,
"55-year-old #COVID19 positive man dies in Vijayawada, first death in Andhra Pradesh #coronavirus",2020-04-03 07:40:23+00:00,1,2,#COVID19 #coronavirus,Mumbai,55 year old COVID19 positive man dies in Vijayawada first death in Andhra Pradesh coronavirus,"[{'score': 0.872093, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
"55-year-old #COVID19 positive man dies in Vijayawada, first death in Andhra Pradesh #coronavirus",2020-04-03 07:39:53+00:00,0,0,#COVID19 #coronavirus,Mumbai,55 year old COVID19 positive man dies in Vijayawada first death in Andhra Pradesh coronavirus,"[{'score': 0.872093, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.727798, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,1.0,,,,
