Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,anger,sadness,joy,fear,tentative,confident
"""I've heard a lot of big words and instructions on TV, but the best part of it was ""Stay home, stay safe""!"" Full Story >> http://bit.ly/2UBu07z #CoronavirusOutbreak #COVID19 #CoronavirusLockdown #StayHomeIndia #StayHomeSaveLives #India #Covid19 #QuarantineAndChill #StaySafe – at Sri Nagar Colony",2020-03-25 12:11:05+00:00,1,3,#CoronavirusOutbreak #COVID19 #CoronavirusLockdown #StayHomeIndia #StayHomeSaveLives #India #Covid19 #QuarantineAndChill #StaySafe,Hyderabad,I ve heard a lot of big words and instructions on TV but the best part of it was Stay home stay safe Full Story CoronavirusOutbreak COVID19 CoronavirusLockdown StayHomeIndia StayHomeSaveLives India Covid19 QuarantineAndChill StaySafe at Sri Nagar Colony,"[{'score': 0.723165, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
#SocialDistancing Is UpTo The #Individual #CoronaVirus #Covid19 #CoronavirusLockdown #coronavirusindia #StaySafe @TelanganaDGP @narendramodi @PMOIndia @KTRTRS @TelanganaCMO,2020-03-25 12:04:34+00:00,0,0,#SocialDistancing #Individual #CoronaVirus #Covid19 #CoronavirusLockdown #coronavirusindia #StaySafe,Hyderabad,SocialDistancing Is UpTo The Individual CoronaVirus Covid19 CoronavirusLockdown coronavirusindia StaySafe,[],,,,,,,
@RachakondaCop @KTRTRS @TelanganaDGP @KTRoffice sub :- permission for going to home ...i came from AP since 10 days to serching fora job ..due to #COVID19 i stucked in the city my parent's watting for me please grant me permission to go to the home Thanking you sir,2020-03-25 11:07:03+00:00,0,3,#COVID19,Hyderabad,sub permission for going to home i came from AP since 10 days to serching fora job due to COVID19 i stucked in the city my parent s watting for me please grant me permission to go to the home Thanking you sir,[],,,,,,,
Omg. I’m so bored that I’m reading shiz I normally don’t care about. #covid19 #coronavirus,2020-03-25 11:06:15+00:00,0,0,#covid19 #coronavirus,Hyderabad,Omg I m so bored that I m reading shiz I normally don t care about covid19 coronavirus,"[{'score': 0.751447, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"Well, for those of you who care, Prince Charles has #coronavirus. #covid19 #extraextra",2020-03-25 11:04:45+00:00,0,0,#coronavirus #covid19 #extraextra,Hyderabad,Well for those of you who care Prince Charles has coronavirus covid19 extraextra,[],,,,,,,
"This makes me really sad, not only because I did not get my supplies but because delivery services are stuck with unnecessary bureaucracies. I feel you @bigbasket_com hang in there. I hope things get sorted out soon. Keep safe everyone. #COVID19 #crisis #lockdownindia",2020-03-25 08:30:55+00:00,0,2,#COVID19 #crisis #lockdownindia,Hyderabad,This makes me really sad not only because I did not get my supplies but because delivery services are stuck with unnecessary bureaucracies I feel you com hang in there I hope things get sorted out soon Keep safe everyone COVID19 crisis lockdownindia,"[{'score': 0.760257, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,1.0,,,,
#covid19 to #indians right now Unhone : #chinese Aap Log : Indians who take it as a joke A message to think upon. @iHrithik #kaabil #hrithikroshan #hrithik #tiktok @Secunderabad https://www.instagram.com/p/B-JenqIJxWs/?igshid=1mmvrflx1pxpm,2020-03-25 08:07:31+00:00,0,0,#covid19 #indians #chinese #kaabil #hrithikroshan #hrithik #tiktok,Hyderabad,covid19 to indians right now Unhone chinese Aap Log Indians who take it as a joke A message to think upon kaabil hrithikroshan hrithik tiktok,"[{'score': 0.500536, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
For #Ethnic #Needs #SouthCentralRailway Which #Runs More Than #200GoodsTrains #EveryDay #IAm #Proud To Be An #INDIANRAILWAY { #ELECTRICLOCOSHED #EMPLOYEE } #CORONAVIRUS #COVID19 @PiyushGoyal @PiyushGoyalOffc @RailMinIndia @narendramodi @PMOIndia #coronavirusindia,2020-03-25 07:57:49+00:00,1,0,#Ethnic #Needs #SouthCentralRailway #Runs #200GoodsTrains #EveryDay #IAm #Proud #INDIANRAILWAY #ELECTRICLOCOSHED #EMPLOYEE #CORONAVIRUS #COVID19 #coronavirusindia,Hyderabad,For Ethnic Needs SouthCentralRailway Which Runs More Than 200GoodsTrains EveryDay IAm Proud To Be An INDIANRAILWAY ELECTRICLOCOSHED EMPLOYEE CORONAVIRUS COVID19 coronavirusindia,"[{'score': 0.841862, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
These #Chinese #Commies are a greater threat to the human beings. #Covid19 ,2020-03-25 07:45:52+00:00,0,0,#Chinese #Commies #Covid19,Hyderabad,These Chinese Commies are a greater threat to the human beings Covid19,"[{'score': 0.788054, 'tone_id': 'fear', 'tone_name': 'Fear'}]",,,,,1.0,,
"Now that the world economy is fucked up due to the #ChinaVirus, also there are many such viruses released into the world by the #Commy #Chinese, the world nations should realise that they're doing it on purpose and we all should #isolate #China. #Covid19",2020-03-25 07:41:52+00:00,0,0,#ChinaVirus #Commy #Chinese #isolate #China #Covid19,Hyderabad,Now that the world economy is fucked up due to the ChinaVirus also there are many such viruses released into the world by the Commy Chinese the world nations should realise that they re doing it on purpose and we all should isolate China Covid19,[],,,,,,,
"Jai Mata di..! Let's stay strong and fight the #COVID19 outbreak by taking all precautionary measures. Stay safe, be vigilant. *Prevention is better than cure. Please take care everyone* *Happy Ugadi* Naman agarwal #HappyUgadi #HappyNavratri #StayAtHomeSaveLives",2020-03-25 06:07:22+00:00,0,0,#COVID19 #HappyUgadi #HappyNavratri #StayAtHomeSaveLives #StayAtHomeSaveLives,Hyderabad,Jai Mata di Let s stay strong and fight the COVID19 outbreak by taking all precautionary measures Stay safe be vigilant Prevention is better than cure Please take care everyone Happy Ugadi Naman agarwal HappyUgadi HappyNavratri StayAtHomeSaveLives,"[{'score': 0.784934, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Wishing you all joyous festivities As we welcome the fresh #NewYear and embark on a path of happiness and prosperity. #HappyUgadi Let us stay home and self quarantined to fight against the pandemic #covid_19 #Covid19 #CoronavirusLockdown #lockdownindia #StayHomeIndia,2020-03-25 04:17:21+00:00,0,1,#NewYear #HappyUgadi #covid_19 #Covid19 #CoronavirusLockdown #lockdownindia #StayHomeIndia,Hyderabad,Wishing you all joyous festivities As we welcome the fresh NewYear and embark on a path of happiness and prosperity HappyUgadi Let us stay home and self quarantined to fight against the pandemic covid 19 Covid19 CoronavirusLockdown lockdownindia StayHomeIndia,"[{'score': 0.953661, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
#Covid19 Live Tracker Just click and know exact info don't belive rumors Ravi kishore Pallapu ,2020-03-25 04:16:35+00:00,0,0,#Covid19,Hyderabad,Covid19 Live Tracker Just click and know exact info don t belive rumors Ravi kishore Pallapu,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Always wished for this in #games..But not in real. Stay safe..Stay quarantined #covid19 #lockdown #pandemic @RK Puram https://www.instagram.com/p/B-JF-d0panb/?igshid=674hrjqbwktv,2020-03-25 03:48:07+00:00,0,0,#games #covid19 #lockdown #pandemic,Hyderabad,Always wished for this in games But not in real Stay safe Stay quarantined covid19 lockdown pandemic Puram,[],,,,,,,
#COVID19 #CoronavirusLockdown @KTRTRS @TelanganaDGP kindly let me know how to report people not following lockdown . I have a bunch of idiots near my home playing our door volley ball .,2020-03-25 03:15:39+00:00,0,1,#COVID19 #CoronavirusLockdown,Hyderabad,COVID19 CoronavirusLockdown kindly let me know how to report people not following lockdown I have a bunch of idiots near my home playing our door volley ball,"[{'score': 0.680407, 'tone_id': 'anger', 'tone_name': 'Anger'}]",,1.0,,,,,
"Police is doing their best in helping the Govt to tackle #COVID19 but assaulting doctor who is a woman is strongly objectionable, doctors throughout the world are risking their lives fighting this disease and only a doctor can cure the patient after almighty. ",2020-03-24 23:23:21+00:00,2,2,#COVID19,Hyderabad,Police is doing their best in helping the Govt to tackle COVID19 but assaulting doctor who is a woman is strongly objectionable doctors throughout the world are risking their lives fighting this disease and only a doctor can cure the patient after almighty,"[{'score': 0.529833, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
@Dushyant_MRA @ShoneeKapoor @498aT @498aLawMisuse Found this test results of #498A virus during #Covid19 #lockdownindia 25mar2020,2020-03-24 19:40:22+00:00,1,1,#498A #Covid19 #lockdownindia,Hyderabad,MRA Found this test results of 498A virus during Covid19 lockdownindia 25mar2020,"[{'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
National Lockdown: World's biggest lockdown. @NarendraModi @PMOIndia #GovernmentOfIndia @TelanganaCMO has taken a decisive step. #IndiaFightsCorona #IStayHomeFor Our Safety. #CoronaVirus #Covid19 @Republic @The_Hindu @TimesNow @TimesOfIndia @NDTV @IndiaToday @ReadersDigest @WHO,2020-03-24 17:27:12+00:00,0,0,#GovernmentOfIndia #IndiaFightsCorona #IStayHomeFor #CoronaVirus #Covid19,Hyderabad,National Lockdown World s biggest lockdown GovernmentOfIndia has taken a decisive step IndiaFightsCorona IStayHomeFor Our Safety CoronaVirus Covid19 Hindu,"[{'score': 0.705784, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Be thankful. For the home you're safely quarantining yourself in! #CoronaVirus #CoronavirusLockdown #CoronavirusOutbreak #Society #HelpUsHelpYou #Homeless #COVID19 #awareness #PublicSafety #Healthcare #Protection #People #indialockdown #Telangana #Hyderabad #HumansofHyderabad – at Hyderabad,2020-03-24 17:18:50+00:00,0,0,#CoronaVirus #CoronavirusLockdown #CoronavirusOutbreak #Society #HelpUsHelpYou #Homeless #COVID19 #awareness #PublicSafety #Healthcare #Protection #People #indialockdown #Telangana #Hyderabad #HumansofHyderabad,Hyderabad,Be thankful For the home you re safely quarantining yourself in CoronaVirus CoronavirusLockdown CoronavirusOutbreak Society HelpUsHelpYou Homeless COVID19 awareness PublicSafety Healthcare Protection People indialockdown Telangana Hyderabad HumansofHyderabad at Hyderabad,"[{'score': 0.692862, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
Even the mighty Charminar looks deserted while the Disaster Response Force Team works hard to sanitise the surroundings! #CoronaVirus #CoronavirusLockdown #Coronaindia #IndiaFightsCorona #HyderabadCityPolice #COVID19 #TelanganaGovernment #Hyderabad #HumansofHyderabad @NDRFHQ – at Charminar,2020-03-24 16:57:48+00:00,2,3,#CoronaVirus #CoronavirusLockdown #Coronaindia #IndiaFightsCorona #HyderabadCityPolice #COVID19 #TelanganaGovernment #Hyderabad #HumansofHyderabad,Hyderabad,Even the mighty Charminar looks deserted while the Disaster Response Force Team works hard to sanitise the surroundings CoronaVirus CoronavirusLockdown Coronaindia IndiaFightsCorona HyderabadCityPolice COVID19 TelanganaGovernment Hyderabad HumansofHyderabad at Charminar,"[{'score': 0.546148, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Even Public transport has come to a halt as a precaution in Hyderabad! #CoronavirusLockdown #coronavirus #IndiaFightsCorona #TSRTC #Corona #HyderabadCityPolice #TelanganaGovernment #SafetyFirst #COVID19 #Awareness #healthcare #Government #PublicSafety @TSRTCHQ @hydcitypolice – at Mahatma Gandhi Bus Station (MGBS),2020-03-24 16:50:15+00:00,1,4,#CoronavirusLockdown #coronavirus #IndiaFightsCorona #TSRTC #Corona #HyderabadCityPolice #TelanganaGovernment #SafetyFirst #COVID19 #Awareness #healthcare #Government #PublicSafety,Hyderabad,Even Public transport has come to a halt as a precaution in Hyderabad CoronavirusLockdown coronavirus IndiaFightsCorona TSRTC Corona HyderabadCityPolice TelanganaGovernment SafetyFirst COVID19 Awareness healthcare Government PublicSafety at Mahatma Gandhi Bus Station MGBS,"[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
World Health Organization (WHO) said India helped eradicate Small Pox and Polio viruses. We can defeat #COVID19 as well. Please continue to follow #SocialDiscipline and stay at home. #AIGCares #IndiaFightsCorona,2020-03-24 16:40:47+00:00,0,0,#COVID19 #SocialDiscipline #AIGCares #IndiaFightsCorona,Hyderabad,World Health Organization WHO said India helped eradicate Small Pox and Polio viruses We can defeat COVID19 as well Please continue to follow SocialDiscipline and stay at home AIGCares IndiaFightsCorona,"[{'score': 0.588572, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
The ( empty ) Bazaars of Hyderabad. If the nightingale Sarojini Devi wrote in 2020! #CoronavirusLockdown #CoronaVirusUpdate #IndiaFightsCorona #QuarantineAndChill #HyderabadCityPolice #TelanganaGovernment #Police #health #Doctors #Precaution #Responsibility #Citizens #COVID19 – at Abids,2020-03-24 16:38:54+00:00,0,0,#CoronavirusLockdown #CoronaVirusUpdate #IndiaFightsCorona #QuarantineAndChill #HyderabadCityPolice #TelanganaGovernment #Police #health #Doctors #Precaution #Responsibility #Citizens #COVID19,Hyderabad,The empty Bazaars of Hyderabad If the nightingale Sarojini Devi wrote in 2020 CoronavirusLockdown CoronaVirusUpdate IndiaFightsCorona QuarantineAndChill HyderabadCityPolice TelanganaGovernment Police health Doctors Precaution Responsibility Citizens COVID19 at Abids,[],,,,,,,
Belfast Helth and Social Care Trust Doctors and nurses on the front line of the #Coronavirus crisis have issued a direct massage appeal to the public - stay at home to save lives. #COVID19 #StayAtHomeSaveLives @UKinIndia @Andrew007Uk @DrRamanaCardiac @RRPillarisetti,2020-03-24 16:28:08+00:00,1,10,#Coronavirus #COVID19 #StayAtHomeSaveLives #StayAtHomeSaveLives,Hyderabad,Belfast Helth and Social Care Trust Doctors and nurses on the front line of the Coronavirus crisis have issued a direct massage appeal to the public stay at home to save lives COVID19 StayAtHomeSaveLives,"[{'score': 0.511454, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Time to refrain ourselves going out .For y(our) sake. From 00:00 Hours to night for 21 days #IndiaLockDown #StayHomeStaySafe #StayHealth #StayAtHomeSaveLives #CoronaVirus #COVID19 #IndiaFightsCorona,2020-03-24 15:39:43+00:00,2,6,#IndiaLockDown #StayHomeStaySafe #StayHealth #StayAtHomeSaveLives #StayAtHomeSaveLives #CoronaVirus #COVID19 #IndiaFightsCorona,Hyderabad,Time to refrain ourselves going out For y our sake From 00 00 Hours to night for 21 days IndiaLockDown StayHomeStaySafe StayHealth StayAtHomeSaveLives CoronaVirus COVID19 IndiaFightsCorona,"[{'score': 0.538903, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,,1.0,,,
"Please provide special vehicles or atleast Ambulances for Doctors, and hospital staff. So that police won't get confused. Start a police helpline too for others. This way we can win against #COVID19 during lockdown. @PMOIndia @UN @hydcitypolice @GHMCOnline @WHO @MoHFW_INDIA",2020-03-24 15:38:06+00:00,2,4,#COVID19,Hyderabad,Please provide special vehicles or atleast Ambulances for Doctors and hospital staff So that police won t get confused Start a police helpline too for others This way we can win against COVID19 during lockdown INDIA,"[{'score': 0.649361, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.5687, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,,1.0,
"@PMOIndia #COVID19 Social distancing is only way to contain the disease now ,Your carelessness will not only harm you but also others India under 21 day lock down from today midnight ,This is for interest of nation States must put health Care first ,15K Crore fund announced ",2020-03-24 15:23:01+00:00,0,0,#COVID19,Hyderabad,COVID19 Social distancing is only way to contain the disease now Your carelessness will not only harm you but also others India under 21 day lock down from today midnight This is for interest of nation States must put health Care first 15K Crore fund announced,"[{'score': 0.817217, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Any of the symptoms are valid for someone to get tested for #COVID19,2020-03-24 15:09:27+00:00,0,0,#COVID19,Hyderabad,Any of the symptoms are valid for someone to get tested for COVID19,"[{'score': 0.716301, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,,1.0,
Real fighters #Hantavirus #COVID19 #FightCoronaWithMeditation,2020-03-24 14:46:35+00:00,2,6,#Hantavirus #COVID19 #FightCoronaWithMeditation,Hyderabad,Real fighters Hantavirus COVID19 FightCoronaWithMeditation,"[{'score': 0.849827, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,,,,,,1.0
"If required, we don’t hesitate to give shoot at sight orders or imposing 24 hours curfew or bringing up army.. Requesting everyone to follow the lockdown strictly to protect ourselves from #COVID19 breakout - Telangana CM KCR",2020-03-24 14:12:00+00:00,2,4,#COVID19,Hyderabad,If required we don t hesitate to give shoot at sight orders or imposing 24 hours curfew or bringing up army Requesting everyone to follow the lockdown strictly to protect ourselves from COVID19 breakout Telangana CM KCR,"[{'score': 0.739732, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.609749, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,1.0,
"The announcement came after AIMIM President & Hyd MP Barrister @asadowaisi tagged MA &amp; UD Principal Secretary Arvind Kumar, and said, please continue the Rs 5 meal scheme at all the centres of twin cities. #COVID19 #Telangana",2020-03-24 13:44:31+00:00,0,2,#COVID19 #Telangana,Hyderabad,The announcement came after AIMIM President Hyd MP Barrister tagged MA amp UD Principal Secretary Arvind Kumar and said please continue the Rs 5 meal scheme at all the centres of twin cities COVID19 Telangana,[],,,,,,,
"All the efforts taken by Govt is getting spoiled by some pepole even after lockdown,else no one is in mood to understand the seriousness of the situation.Inspite of Govt taking so much of effort to take the situation under control.#COVID19 @cyberabadpolice @HYDTP @TelanganaCMO ",2020-03-24 13:15:34+00:00,0,3,#COVID19,Hyderabad,All the efforts taken by Govt is getting spoiled by some pepole even after lockdown else no one is in mood to understand the seriousness of the situation Inspite of Govt taking so much of effort to take the situation under control COVID19,"[{'score': 0.707201, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
"10 seconds, if you still don't UNDERSTAND! #COVID19 ",2020-03-24 12:43:10+00:00,3,2,#COVID19,Hyderabad,10 seconds if you still don t UNDERSTAND COVID19,"[{'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Follow Instructions Given Only by the Government for Your Safety Regarding #Coronavirus #CoronavirusLockdown #covid19 #fightagainstcovid19 #india #coronavirusindia #corona #coronaawareness #coronasafety #lapaloma #apila #rivera #flora #RiverEdgevillas #skyila #floatilla #villas,2020-03-24 11:51:18+00:00,0,3,#Coronavirus #CoronavirusLockdown #covid19 #fightagainstcovid19 #india #coronavirusindia #corona #coronaawareness #coronasafety #lapaloma #apila #rivera #flora #RiverEdgevillas #skyila #floatilla #villas,Hyderabad,Follow Instructions Given Only by the Government for Your Safety Regarding Coronavirus CoronavirusLockdown covid19 fightagainstcovid19 india coronavirusindia corona coronaawareness coronasafety lapaloma apila rivera flora RiverEdgevillas skyila floatilla villas,"[{'score': 0.646387, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
I just got an Idea if Railway coaches can be used as #COVID19 isolation wards by making necessary adjustments.. Is that possible? @MoHFW_INDIA @WHO @RailMinIndia @drharshvardhan @waltermitty_13,2020-03-24 11:35:31+00:00,0,2,#COVID19,Hyderabad,I just got an Idea if Railway coaches can be used as COVID19 isolation wards by making necessary adjustments Is that possible INDIA 13,"[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
"The announcement came after AIMIM President & Hyd MP Barrister @asadowaisi tagged MA &amp; UD Principal Secretary Arvind Kumar, and said, please continue the Rs 5 meal scheme at all the centres of twin cities. #COVID19 #Telangana",2020-03-24 11:22:00+00:00,6,16,#COVID19 #Telangana,Hyderabad,The announcement came after AIMIM President Hyd MP Barrister tagged MA amp UD Principal Secretary Arvind Kumar and said please continue the Rs 5 meal scheme at all the centres of twin cities COVID19 Telangana,[],,,,,,,
Congratulating my son DrRahul Gandhi Goud a frontline warrior working relentlessly to contain #COVID19. @KTRTRS @MPsantoshtrs,2020-03-24 10:45:57+00:00,0,1,#COVID19,Hyderabad,Congratulating my son DrRahul Gandhi Goud a frontline warrior working relentlessly to contain COVID19,[],,,,,,,
"PGs, interns, sisters & staff of medical colleges-the front line workers against #COVID19 are not given any PPE, &amp; are not being tested even with suspected symptoms But politicians &amp; VIPs effortlessly use N95 masks, get tests for COVID on recommendations #ProtectOurHealthWorkers",2020-03-24 09:06:26+00:00,3,4,#COVID19 #ProtectOurHealthWorkers,Hyderabad,PGs interns sisters staff of medical colleges the front line workers against COVID19 are not given any PPE amp are not being tested even with suspected symptoms But politicians amp VIPs effortlessly use N95 masks get tests for COVID on recommendations ProtectOurHealthWorkers,"[{'score': 0.567603, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.669483, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,,1.0,
"@raghukarumanchi decided to be self quarantined for next 1 week in home to avoid #COVID19 and Challenging his dear friends #Rajivkanakala #deepasurendarreddy, @DhanrajOffl #satya and hero @ActorNandu #stayhomechallenge @DirSurender @ItsSumaKanakala",2020-03-24 07:19:21+00:00,0,0,#COVID19 #Rajivkanakala #deepasurendarreddy #satya #stayhomechallenge #stayhomechallenge,Hyderabad,decided to be self quarantined for next 1 week in home to avoid COVID19 and Challenging his dear friends Rajivkanakala deepasurendarreddy satya and hero stayhomechallenge,"[{'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.60456, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,1.0
World vide Covid update increasing death rate +9.4% #covid19 #Covid19India,2020-03-24 06:37:16+00:00,0,0,#covid19 #Covid19India,Hyderabad,World vide Covid update increasing death rate 9 4 covid19 Covid19India,"[{'score': 0.702463, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,1.0,,,,
Please think once.. please stay at home.. Share this post with your family and friends! #coronaprecautions #safetytips #stayhealthy #selfisolation #coronavirusindia #safetyfromcorona #coronavirusoutbreak #COVID #awareness #COVID19 #savenation #firstchoice,2020-03-24 04:14:12+00:00,0,0,#coronaprecautions #safetytips #stayhealthy #selfisolation #coronavirusindia #safetyfromcorona #coronavirusoutbreak #COVID #awareness #COVID19 #savenation #firstchoice,Hyderabad,Please think once please stay at home Share this post with your family and friends coronaprecautions safetytips stayhealthy selfisolation coronavirusindia safetyfromcorona coronavirusoutbreak COVID awareness COVID19 savenation firstchoice,"[{'score': 0.724236, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
