Text,Date,Retweets,Favorites,HashTags,City,clean_tweet,document_tones,analytical,confident,joy,anger,tentative,sadness,fear
"@PMOIndia @narendramodi WHY, WHY, WHY?#WineShopsOpen may earn govt revenue but at what cost?Thanks #Centre &amp; #StateGovts.You made sure that India reaches 3rd stage of #COVID19. You haven't cared for families already struggling wid no money. Call yourself Welfare state? SHAME!!!",2020-05-06 21:45:41+00:00,0,0,#WineShopsOpen #Centre #StateGovts #COVID19,Delhi,WHY WHY WHY WineShopsOpen may earn govt revenue but at what cost Thanks Centre amp StateGovts You made sure that India reaches 3rd stage of COVID19 You haven t cared for families already struggling wid no money Call yourself Welfare state SHAME,"[{'score': 0.700598, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,,1.0,
Hit it now https://bit.ly/3fsIqRi . . #StayHome . #lockdownextension #COVID19 #coronavirusinpakistan #TikTok #ahmedabadcorona #NS10vs10 #love #lockdown #NationalNursesDay #art #Coronavirus #CuidemonosEntreTodos #tarafsizbölge #tarafsizBoelge #CuidemosElEmpleo,2020-05-06 21:43:25+00:00,0,2,#StayHome #StayHome #lockdownextension #COVID19 #coronavirusinpakistan #TikTok #ahmedabadcorona #NS10vs10 #love #lockdown #NationalNursesDay #art #Coronavirus #CuidemonosEntreTodos #tarafsizb #tarafsizBoelge #CuidemosElEmpleo,Delhi,Hit it now StayHome lockdownextension COVID19 coronavirusinpakistan TikTok ahmedabadcorona NS10vs10 love lockdown NationalNursesDay art Coronavirus CuidemonosEntreTodos tarafsizb lge tarafsizBoelge CuidemosElEmpleo,"[{'score': 0.891198, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
 D day @Abhinav_Bindra won India's First individual Gold in Men's #10MtrAirRifle at #Beijing2008 @Olympics! Don't Panic #CoronaVirus 24x7 #TollFree 1075 &amp; 9013151515 to Fight against #COVID19.. All d Bst! B Sporty Happy.. जय हिन्द! #HappyYadav https://twitter.com/anupamyad/status/1257972044886691840 – at HUDCO Place,2020-05-06 21:15:55+00:00,0,1,#10MtrAirRifle #Beijing2008 #CoronaVirus #TollFree #COVID19 #HappyYadav,Delhi,D day Bindra won India s First individual Gold in Men s 10MtrAirRifle at Beijing2008 Don t Panic CoronaVirus 24x7 TollFree 1075 amp 9013151515 to Fight against COVID19 All d Bst B Sporty Happy HappyYadav at HUDCO Place,"[{'score': 0.725562, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
 Overthinking kills your happiness.- @vkb_18 《《 pc- @sidd.97 《《 #memories #flashback #oldphoto #googlephotos #stayhome #quarantine #44day #17maychallenge #refreshing #covid19 #indiafightscorona #travel_food_photography #Vaibhavbhatnagar @vaibhavbhatnag2,2020-05-06 20:46:19+00:00,0,2,#memories #flashback #oldphoto #googlephotos #stayhome #stayhome #quarantine #44day #17maychallenge #refreshing #covid19 #indiafightscorona #travel_food_photography #Vaibhavbhatnagar,Delhi,Overthinking kills your happiness 18 pc 97 memories flashback oldphoto googlephotos stayhome quarantine 44day 17maychallenge refreshing covid19 indiafightscorona travel food photography Vaibhavbhatnagar,"[{'score': 0.890307, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
Climate change and coronavirus: Five charts about the biggest carbon crash #ClimateChange #COVID19 #carbonfootprint #cleanenergy #climatemitigation,2020-05-06 19:09:29+00:00,0,1,#ClimateChange #COVID19 #carbonfootprint #cleanenergy #climatemitigation,Delhi,Climate change and coronavirus Five charts about the biggest carbon crash ClimateChange COVID19 carbonfootprint cleanenergy climatemitigation,[],,,,,,,
#COVID19 is invisible enemy. Few pictures of last 40 days. @ICFJ #CoveringCovid #COVID19outbreak – at Sector 31,2020-05-06 18:39:12+00:00,4,36,#COVID19 #CoveringCovid #COVID19outbreak,Delhi,COVID19 is invisible enemy Few pictures of last 40 days CoveringCovid COVID19outbreak at Sector 31,"[{'score': 0.517715, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,,1.0,
Who ever develop d #vaccine 4 #covid19 recover the economy along with saving lives of the millions- rulling parties then nd now or should learn from their failures! Jhoothe the vaade jhooti thi kasme Mujhko nahi tha yeh pata Mann mein milan ki aas lagi hai Hoton pe mere hai dua.,2020-05-06 18:38:17+00:00,0,0,#vaccine #covid19,Delhi,Who ever develop d vaccine 4 covid19 recover the economy along with saving lives of the millions rulling parties then nd now or should learn from their failures Jhoothe the vaade jhooti thi kasme Mujhko nahi tha yeh pata Mann mein milan ki aas lagi hai Hoton pe mere hai dua,[],,,,,,,
"#DelhiFightsCorona #COVID19 428 fresh cases highest single - day spike in the national capital reported in 24 hours, total #coronacases now 5532; death toll 65 @ArvindKejriwal @SatyendarJain @TheDailyPioneer Source : Delhi government ( Health Dept.)",2020-05-06 18:19:06+00:00,1,1,#DelhiFightsCorona #COVID19 #coronacases,Delhi,DelhiFightsCorona COVID19 428 fresh cases highest single day spike in the national capital reported in 24 hours total coronacases now 5532 death toll 65 Source Delhi government Health Dept,[],,,,,,,
A Message from Co-Founder and CEO Brian Chesky #LayOff #Covid19 ,2020-05-06 18:07:57+00:00,0,0,#LayOff #Covid19,Delhi,A Message from Co Founder and CEO Brian Chesky LayOff Covid19,"[{'score': 0.653099, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Well done @IYC and Srinivas ji. Request Ms Rahman to not post such pictures which violates Social Distancing. May be group picture was taken before #COVID19 still such pictures must be avoided. Thank you for understanding ,2020-05-06 18:00:00+00:00,0,0,#COVID19,Delhi,Well done and Srinivas ji Request Ms Rahman to not post such pictures which violates Social Distancing May be group picture was taken before COVID19 still such pictures must be avoided Thank you for understanding,[],,,,,,,
"Video goes LIVE tomorrow morning at 11 on my Instagram handle and Youtube channel. It's something a little different this time that 3 of us friends have tried. So, do show some support & love; means the world to us. #lockdown #covid19 #contentcreators #nosmallcreator",2020-05-06 17:42:33+00:00,0,3,#lockdown #covid19 #contentcreators #nosmallcreator,Delhi,Video goes LIVE tomorrow morning at 11 on my Instagram handle and Youtube channel It s something a little different this time that 3 of us friends have tried So do show some support love means the world to us lockdown covid19 contentcreators nosmallcreator,"[{'score': 0.643113, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.565693, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,1.0,,
"Circular from @DineshMunicipal @AMRUTCityGzb to RWAs to advice docs, paramedics of their societies who work in Delhi to stay there &amp; not spread infection in GZB. After all we r untouchables right? What’s the difference between you &amp; landlords who threw us out? #COVID19 ",2020-05-06 17:25:15+00:00,2,10,#COVID19,Delhi,Circular from to RWAs to advice docs paramedics of their societies who work in Delhi to stay there amp not spread infection in GZB After all we r untouchables right What s the difference between you amp landlords who threw us out COVID19,[],,,,,,,
"I bow to deceased Ct. Amit Rana, he has done exceptional work and exhibited examplary service & high glory for Delhi Police Department. #COVID19 #Ministryofhomeaffairs #LGDelhi #delhipolicefightscovid #ArvindKejriwal #CoronaWarriors",2020-05-06 17:21:59+00:00,0,0,#COVID19 #Ministryofhomeaffairs #LGDelhi #delhipolicefightscovid #ArvindKejriwal #CoronaWarriors,Delhi,I bow to deceased Ct Amit Rana he has done exceptional work and exhibited examplary service high glory for Delhi Police Department COVID19 Ministryofhomeaffairs LGDelhi delhipolicefightscovid ArvindKejriwal CoronaWarriors,[],,,,,,,
Why you are spreading fake news at social media This act shows that how much you are greedy for the politics and power You want the power at any cost Stop for god says stop at this time This is crucial time for India #congress_been_intolerant #COVID19 #FakeNewsAlert,2020-05-06 17:18:04+00:00,0,0,#congress_been_intolerant #COVID19 #FakeNewsAlert,Delhi,Why you are spreading fake news at social media This act shows that how much you are greedy for the politics and power You want the power at any cost Stop for god says stop at this time This is crucial time for India congress been intolerant COVID19 FakeNewsAlert,"[{'score': 0.507151, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,,1.0,
#Tripura is at 64 #COVID19 positive cases now all linked to a single @BSF_India camp. We have to be cautious #coronavirusinindia #CoronavirusOutbreakindia,2020-05-06 17:14:30+00:00,7,21,#Tripura #COVID19 #coronavirusinindia #CoronavirusOutbreakindia,Delhi,Tripura is at 64 COVID19 positive cases now all linked to a single India camp We have to be cautious coronavirusinindia CoronavirusOutbreakindia,"[{'score': 0.63555, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.670204, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.906808, 'tone_id': 'confident', 'tone_name': 'Confident'}]",1.0,1.0,1.0,,,,
Get up stand up” is the iconic slogan from the “BOB MARLEY” classic of the same name. While “meri awaaz suno” is a freedom anthem from the band “junoon” #kashmir #covid19 #globalpandemic #revolution #jamiamilliaislamia #2020,2020-05-06 17:11:39+00:00,0,1,#kashmir #covid19 #globalpandemic #revolution #jamiamilliaislamia,Delhi,Get up stand up is the iconic slogan from the BOB MARLEY classic of the same name While meri awaaz suno is a freedom anthem from the band junoon kashmir covid19 globalpandemic revolution jamiamilliaislamia 2020,[],,,,,,,
More than 39 crore people till now got benefit of @PMOIndia Garib Kalyan Yojana with financial assistance of 34 thousand crore. *impact of #DBT unparalleled during #COVID19 crisis *free 3 LPG cylinders to #ujjawala beneficiaries *women #JanDhanAccounts benefitted @News18India,2020-05-06 16:42:26+00:00,2,6,#DBT #COVID19 #ujjawala #JanDhanAccounts,Delhi,More than 39 crore people till now got benefit of Garib Kalyan Yojana with financial assistance of 34 thousand crore impact of DBT unparalleled during COVID19 crisis free 3 LPG cylinders to ujjawala beneficiaries women JanDhanAccounts benefitted,[],,,,,,,
#COVID19 #SGXNIFTY #DowJones #lockdownend Corona cases in India crossed 52000 we are at 13th place in world although we started 45 days late we will move to top 5 by month end due to wine shop Dow flat SGX 200 points down will see in morning but lower levels are visible now,2020-05-06 16:39:30+00:00,0,1,#COVID19 #SGXNIFTY #DowJones #lockdownend,Delhi,COVID19 SGXNIFTY DowJones lockdownend Corona cases in India crossed 52000 we are at 13th place in world although we started 45 days late we will move to top 5 by month end due to wine shop Dow flat SGX 200 points down will see in morning but lower levels are visible now,"[{'score': 0.548153, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Air India evacuations flts #Del-Sin @7th May, Del-sfo.@8th May, Bom Lhr @8th May, Bom Ewr @9th May, Del Ord @10th May, Del Lhr @10th May, Del Washington @11th May, Del Lhr @11th May, Bom Lhr @12th May, Del SFO @12th May #COVID19",2020-05-06 16:32:10+00:00,2,4,#Del #COVID19,Delhi,Air India evacuations flts Del Sin May Del sfo May Bom Lhr May Bom Ewr May Del Ord May Del Lhr May Del Washington May Del Lhr May Bom Lhr May Del SFO May COVID19,"[{'score': 0.990161, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,,,1.0,,
"@ndtv @RavishNdtv76 Stop being pessimist and broadcast positives rather than crying what government could have done, should do. Count the blessings of the government in fighting #COVID19",2020-05-06 16:22:38+00:00,0,0,#COVID19,Delhi,Stop being pessimist and broadcast positives rather than crying what government could have done should do Count the blessings of the government in fighting COVID19,"[{'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.669068, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",1.0,,,,1.0,,
What is the Economics of Tourism? How countries will face the trouble due to Tourism? Tourism which is the most important wheel of Economy and opens the cultural diversity. Governments across the globe must take some prompt action to overcome this after #COVID19. @TheEconomist,2020-05-06 16:17:47+00:00,0,1,#COVID19,Delhi,What is the Economics of Tourism How countries will face the trouble due to Tourism Tourism which is the most important wheel of Economy and opens the cultural diversity Governments across the globe must take some prompt action to overcome this after COVID19,"[{'score': 0.510565, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
Government has announced summer vacations of schools from 11may to 30st june for students. Also University is also discussing that if situation of #COVID19 takes time marks will be given based on Earlier Semester. #summervacations #lockdownextension #Schoolnurses #COVID19 #CBSE,2020-05-06 16:12:56+00:00,1,0,#COVID19 #summervacations #lockdownextension #Schoolnurses #COVID19 #CBSE,Delhi,Government has announced summer vacations of schools from 11may to 30st june for students Also University is also discussing that if situation of COVID19 takes time marks will be given based on Earlier Semester summervacations lockdownextension Schoolnurses COVID19 CBSE,[],,,,,,,
#COVID19 Ghaziabad authority restricts Doctors and para medical staff working in Delhi to return home till lockdown. ,2020-05-06 16:10:53+00:00,0,2,#COVID19,Delhi,COVID19 Ghaziabad authority restricts Doctors and para medical staff working in Delhi to return home till lockdown,[],,,,,,,
Crematorium No 3 has been earmarked for Covid-19 positive patients who failed to fight off the disease. They are coughed out of ambulance vans and wheeled in on a crude push-cart through a side gate. #india #COVID19 #photojournalism @Openthemag,2020-05-06 16:08:34+00:00,0,4,#india #COVID19 #photojournalism,Delhi,Crematorium No 3 has been earmarked for Covid 19 positive patients who failed to fight off the disease They are coughed out of ambulance vans and wheeled in on a crude push cart through a side gate india COVID19 photojournalism,"[{'score': 0.72426, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]",,,,,,1.0,
Who agrees? #golgappa #delhistreetfood #incredibleIndia #lockdown #wednesdaymorning #quarantine #covid19 ,2020-05-06 16:06:29+00:00,0,3,#golgappa #delhistreetfood #incredibleIndia #lockdown #wednesdaymorning #quarantine #covid19,Delhi,Who agrees golgappa delhistreetfood incredibleIndia lockdown wednesdaymorning quarantine covid19,"[{'score': 0.520674, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Just in: @airindiain evacuation flights to UK, US delayed as #COVID19 test reports of crew members still awaited. #evacuationplan #VandeBharatMission I report ",2020-05-06 16:06:05+00:00,8,19,#COVID19 #evacuationplan #VandeBharatMission,Delhi,Just in evacuation flights to UK US delayed as COVID19 test reports of crew members still awaited evacuationplan VandeBharatMission I report,[],,,,,,,
A start has been made by @adgpi and hopefully shall be maintained. Let this be a new normal of post #COVID19 era,2020-05-06 16:00:55+00:00,0,5,#COVID19,Delhi,A start has been made by and hopefully shall be maintained Let this be a new normal of post COVID19 era,"[{'score': 0.552657, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
What Zone are you in? #COVID19 #lockdownextension #day41oflockdown,2020-05-06 15:54:31+00:00,2,6,#COVID19 #lockdownextension #day41oflockdown,Delhi,What Zone are you in COVID19 lockdownextension day41oflockdown,"[{'score': 0.511982, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
PM @narendramodi to participate in Virtual Vesak Global Celebrations on #BuddhaPurnima May7 *PM to address in morning * @MinOfCultureGoI &amp;IBC holding event.All supreme heads of Buddhist Sanghas to participate *VirtualVisakday in honour of Victims&amp;warriors of #COVID19 @News18India,2020-05-06 15:45:02+00:00,0,2,#BuddhaPurnima #COVID19,Delhi,PM to participate in Virtual Vesak Global Celebrations on BuddhaPurnima May7 PM to address in morning amp IBC holding event All supreme heads of Buddhist Sanghas to participate VirtualVisakday in honour of Victims amp warriors of COVID19,[],,,,,,,
#COVID19 update: India crosses 15000 recoveries From 1 to 1000- 59 days From 1001 to 5000- 11 days From 5001 to 10000- 8 days From 10001 to 15000- 5 days #COVID2019india #COVID19India #IndiaFightsCorona,2020-05-06 15:23:20+00:00,0,1,#COVID19 #COVID2019india #COVID19India #IndiaFightsCorona,Delhi,COVID19 update India crosses 15000 recoveries From 1 to 1000 59 days From 1001 to 5000 11 days From 5001 to 10000 8 days From 10001 to 15000 5 days COVID2019india COVID19India IndiaFightsCorona,"[{'score': 0.522318, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"Confidentiality of Covid testing results must be ensured at every cost. Let's Police, Adminstration & RWAs not isolate & ostracise patients with #COVID19 For action, please @ICMRDELHI @MoHFW_INDIA @Arogyasetu @drharshvardhan @PIBHomeAffairs 'बीमारी से घृणा करो, बीमार से नहीं'",2020-05-06 14:15:24+00:00,1,3,#COVID19,Delhi,Confidentiality of Covid testing results must be ensured at every cost Let s Police Adminstration RWAs not isolate ostracise patients with COVID19 For action please INDIA,"[{'score': 0.674728, 'tone_id': 'confident', 'tone_name': 'Confident'}]",,1.0,,,,,
life game can change any time #COVID19 #lockdownextension #TimsTwitterListeningParty,2020-05-06 14:07:13+00:00,0,1,#COVID19 #lockdownextension #TimsTwitterListeningParty #TimsTwitterListeningParty,Delhi,life game can change any time COVID19 lockdownextension TimsTwitterListeningParty,"[{'score': 0.611331, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]",,,1.0,,1.0,,
#SixSigma Certification by @PMInstitute! @LinkedIn @LinkedInMktg Done and Dusted #QuarantineLife #COVID19 #StayHome @PMInstitute,2020-05-06 14:06:26+00:00,0,2,#SixSigma #QuarantineLife #COVID19 #StayHome #StayHome,Delhi,SixSigma Certification by Done and Dusted QuarantineLife COVID19 StayHome,[],,,,,,,
Cooked meals distribution... Day after day the queue is increasing.... We can fight this pandemic only if we are together and help each other... #COVID19 #lockdownextension #FightAgainstCoronavirus @dm_ghaziabad @dmgbnagar @ChiefSecyUP,2020-05-06 13:49:57+00:00,8,11,#COVID19 #lockdownextension #FightAgainstCoronavirus,Delhi,Cooked meals distribution Day after day the queue is increasing We can fight this pandemic only if we are together and help each other COVID19 lockdownextension FightAgainstCoronavirus ghaziabad,"[{'score': 0.597466, 'tone_id': 'joy', 'tone_name': 'Joy'}]",,,1.0,,,,
"#IndiaHealthHour So far, a total of 14,183 people have been cured.The total number of confirmed cases is now 49,391. Since yesterday, an increase of 2958 has been noted in the number of #COVID19 confirmed cases in #India",2020-05-06 13:38:27+00:00,0,0,#IndiaHealthHour #COVID19 #India,Delhi,IndiaHealthHour So far a total of 14 183 people have been cured The total number of confirmed cases is now 49 391 Since yesterday an increase of 2958 has been noted in the number of COVID19 confirmed cases in India,"[{'score': 0.798195, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]",1.0,,,,,,
